; Candidate 14203
; ADRP+ADD at VM 0xfffffff00974d9cc (fileoff 0x27499cc): page=0x1fde4a000 add_imm=0xdc6

0xfffffff00974d94c: bf031df8  stur	xzr, [x29, #-0x30]
0xfffffff00974d950: a2c300d1  sub	x2, x29, #0x30
0xfffffff00974d954: 80028052  mov	w0, #0x14
0xfffffff00974d958: 01488852  mov	w1, #0x4240
0xfffffff00974d95c: e101a072  movk	w1, #0xf, lsl #16
0xfffffff00974d960: df1b9e97  bl	#0xfffffff007ed48dc
0xfffffff00974d964: a0a300d1  sub	x0, x29, #0x28
0xfffffff00974d968: e1008052  mov	w1, #7
0xfffffff00974d96c: e980ae97  bl	#0xfffffff0082edd10
0xfffffff00974d970: e00200b4  cbz	x0, #0xfffffff00974d9cc
0xfffffff00974d974: e86100f0  adrp	x8, #0xfffffff00a38c000
0xfffffff00974d978: 08090c91  add	x8, x8, #0x302
0xfffffff00974d97c: f4a300a9  stp	x20, x8, [sp, #8]
0xfffffff00974d980: 28008052  mov	w8, #1
0xfffffff00974d984: a9035df8  ldur	x9, [x29, #-0x30]
0xfffffff00974d988: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00974d98c: e8f301b2  mov	x8, #-0x5555555555555556
0xfffffff00974d990: e8ff02a9  stp	x8, xzr, [sp, #0x28]
0xfffffff00974d994: f52b00b9  str	w21, [sp, #0x28]
0xfffffff00974d998: ff1f00f9  str	xzr, [sp, #0x38]
0xfffffff00974d99c: c8360011  add	w8, w22, #0xd
0xfffffff00974d9a0: e8570829  stp	w8, w21, [sp, #0x40]
0xfffffff00974d9a4: e02700f9  str	x0, [sp, #0x48]
0xfffffff00974d9a8: e0230091  add	x0, sp, #8
0xfffffff00974d9ac: 36fdff97  bl	#0xfffffff00974ce84
0xfffffff00974d9b0: e20300aa  mov	x2, x0
0xfffffff00974d9b4: e00314aa  mov	x0, x20
0xfffffff00974d9b8: e10313aa  mov	x1, x19
0xfffffff00974d9bc: 97ffff97  bl	#0xfffffff00974d818
0xfffffff00974d9c0: 1f000071  cmp	w0, #0
0xfffffff00974d9c4: e013961a  csel	w0, wzr, w22, ne
0xfffffff00974d9c8: 05000014  b	#0xfffffff00974d9dc
0xfffffff00974d9cc: 40f2fed0  adrp	x0, #0xfffffff007597000
0xfffffff00974d9d0: 00183791  add	x0, x0, #0xdc6
0xfffffff00974d9d4: 9325b097  bl	#0xfffffff008357020
0xfffffff00974d9d8: c0060011  add	w0, w22, #1
0xfffffff00974d9dc: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff00974d9e0: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff00974d9e4: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff00974d9e8: ff430291  add	sp, sp, #0x90
0xfffffff00974d9ec: ff0f5fd6  retab	
0xfffffff00974d9f0: 7f2303d5  pacibsp	
0xfffffff00974d9f4: ff0302d1  sub	sp, sp, #0x80
0xfffffff00974d9f8: fc6f02a9  stp	x28, x27, [sp, #0x20]
0xfffffff00974d9fc: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff00974da00: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff00974da04: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff00974da08: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff00974da0c: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff00974da10: fdc30191  add	x29, sp, #0x70
0xfffffff00974da14: f40306aa  mov	x20, x6
0xfffffff00974da18: f50305aa  mov	x21, x5
0xfffffff00974da1c: f60304aa  mov	x22, x4
0xfffffff00974da20: f70303aa  mov	x23, x3
0xfffffff00974da24: f80302aa  mov	x24, x2
0xfffffff00974da28: f90301aa  mov	x25, x1
0xfffffff00974da2c: fa0300aa  mov	x26, x0
0xfffffff00974da30: 08d040b9  ldr	w8, [x0, #0xd0]
0xfffffff00974da34: e90308aa  mov	x9, x8
0xfffffff00974da38: 0a910171  subs	w10, w8, #0x64
0xfffffff00974da3c: 43010054  b.lo	#0xfffffff00974da64
0xfffffff00974da40: 5f910171  cmp	w10, #0x64
0xfffffff00974da44: e2020054  b.hs	#0xfffffff00974daa0
0xfffffff00974da48: 091d0012  and	w9, w8, #0xff
