; Candidate 9930
; ADRP+ADD at VM 0xfffffff008bcb1c4 (fileoff 0x1bc71c4): page=0x1feec9000 add_imm=0xdf0

0xfffffff008bcb144: b00240f9  ldr	x16, [x21]
0xfffffff008bcb148: f10315aa  mov	x17, x21
0xfffffff008bcb14c: 5129f6f2  movk	x17, #0xb14a, lsl #48
0xfffffff008bcb150: 301ac1da  autda	x16, x17
0xfffffff008bcb154: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff008bcb158: e90310aa  mov	x9, x16
0xfffffff008bcb15c: e2f30091  add	x2, sp, #0x3c
0xfffffff008bcb160: e00315aa  mov	x0, x21
0xfffffff008bcb164: f10309aa  mov	x17, x9
0xfffffff008bcb168: 7133fff2  movk	x17, #0xf99b, lsl #48
0xfffffff008bcb16c: 11093fd7  blraa	x8, x17
0xfffffff008bcb170: 60020036  tbz	w0, #0, #0xfffffff008bcb1bc
0xfffffff008bcb174: e03f40bd  ldr	s0, [sp, #0x3c]
0xfffffff008bcb178: 900240f9  ldr	x16, [x20]
0xfffffff008bcb17c: f10314aa  mov	x17, x20
0xfffffff008bcb180: 5129f6f2  movk	x17, #0xb14a, lsl #48
0xfffffff008bcb184: 301ac1da  autda	x16, x17
0xfffffff008bcb188: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff008bcb18c: e90310aa  mov	x9, x16
0xfffffff008bcb190: e00314aa  mov	x0, x20
0xfffffff008bcb194: e10316aa  mov	x1, x22
0xfffffff008bcb198: f10309aa  mov	x17, x9
0xfffffff008bcb19c: 317ae0f2  movk	x17, #0x3d1, lsl #48
0xfffffff008bcb1a0: 11093fd7  blraa	x8, x17
0xfffffff008bcb1a4: 800c0034  cbz	w0, #0xfffffff008bcb334
0xfffffff008bcb1a8: c8060091  add	x8, x22, #1
0xfffffff008bcb1ac: ff0216eb  cmp	x23, x22
0xfffffff008bcb1b0: f60308aa  mov	x22, x8
0xfffffff008bcb1b4: e1fbff54  b.ne	#0xfffffff008bcb130
0xfffffff008bcb1b8: 5f000014  b	#0xfffffff008bcb334
0xfffffff008bcb1bc: 00008052  mov	w0, #0
0xfffffff008bcb1c0: 5d000014  b	#0xfffffff008bcb334
0xfffffff008bcb1c4: 4076ffb0  adrp	x0, #0xfffffff007a94000
0xfffffff008bcb1c8: 00c03791  add	x0, x0, #0xdf0
0xfffffff008bcb1cc: ca2cde97  bl	#0xfffffff0083564f4
0xfffffff008bcb1d0: fb0300aa  mov	x27, x0
0xfffffff008bcb1d4: 3076fff0  adrp	x16, #0xfffffff007a92000
0xfffffff008bcb1d8: 10c22e91  add	x16, x16, #0xbb0
0xfffffff008bcb1dc: 10420091  add	x16, x16, #0x10
0xfffffff008bcb1e0: f10300aa  mov	x17, x0
0xfffffff008bcb1e4: b1e1e7f2  movk	x17, #0x3f0d, lsl #48
0xfffffff008bcb1e8: 300ac1da  pacda	x16, x17
0xfffffff008bcb1ec: 107c00a9  stp	x16, xzr, [x0]
0xfffffff008bcb1f0: 1ffc01a9  stp	xzr, xzr, [x0, #0x18]
0xfffffff008bcb1f4: 1a0800f9  str	x26, [x0, #0x10]
0xfffffff008bcb1f8: 28008052  mov	w8, #1
0xfffffff008bcb1fc: 08a00039  strb	w8, [x0, #0x28]
0xfffffff008bcb200: 5f0300f1  cmp	x26, #0
0xfffffff008bcb204: 0800f0d2  mov	x8, #-0x8000000000000000
0xfffffff008bcb208: 00b19a9a  csel	x0, x8, x26, lt
0xfffffff008bcb20c: ca2ede97  bl	#0xfffffff008356d34
0xfffffff008bcb210: 600700f9  str	x0, [x27, #8]
0xfffffff008bcb214: 680b40f9  ldr	x8, [x27, #0x10]
0xfffffff008bcb218: 60a301a9  stp	x0, x8, [x27, #0x18]
0xfffffff008bcb21c: 800640f9  ldr	x0, [x20, #8]
0xfffffff008bcb220: 400100b4  cbz	x0, #0xfffffff008bcb248
0xfffffff008bcb224: 100040f9  ldr	x16, [x0]
0xfffffff008bcb228: f10300aa  mov	x17, x0
0xfffffff008bcb22c: b1e1e7f2  movk	x17, #0x3f0d, lsl #48
0xfffffff008bcb230: 301ac1da  autda	x16, x17
0xfffffff008bcb234: 088e40f8  ldr	x8, [x16, #8]!
0xfffffff008bcb238: e90310aa  mov	x9, x16
0xfffffff008bcb23c: f10309aa  mov	x17, x9
0xfffffff008bcb240: 511af3f2  movk	x17, #0x98d2, lsl #48
