; Candidate 92
; ADRP+ADD at VM 0xfffffff007e1bea8 (fileoff 0xe17ea8): page=0x1ff230000 add_imm=0xd70

0xfffffff007e1be28: 1f01096b  cmp	w8, w9
0xfffffff007e1be2c: 690a0054  b.ls	#0xfffffff007e1bf78
0xfffffff007e1be30: 281b44b9  ldr	w8, [x25, #0x418]
0xfffffff007e1be34: c9c20191  add	x9, x22, #0x70
0xfffffff007e1be38: e20308aa  mov	x2, x8
0xfffffff007e1be3c: 3ffda288  casl	w2, wzr, [x9]
0xfffffff007e1be40: 5f00086b  cmp	w2, w8
0xfffffff007e1be44: 81080054  b.ne	#0xfffffff007e1bf54
0xfffffff007e1be48: 080080d2  mov	x8, #0
0xfffffff007e1be4c: 1ca30191  add	x28, x24, #0x68
0xfffffff007e1be50: 291b44b9  ldr	w9, [x25, #0x418]
0xfffffff007e1be54: 0ac30191  add	x10, x24, #0x70
0xfffffff007e1be58: 497de8c8  casa	x8, x9, [x10]
0xfffffff007e1be5c: 1f0100f1  cmp	x8, #0
0xfffffff007e1be60: 21080054  b.ne	#0xfffffff007e1bf64
0xfffffff007e1be64: 680a40b9  ldr	w8, [x19, #8]
0xfffffff007e1be68: 1f011b6b  cmp	w8, w27
0xfffffff007e1be6c: 81030054  b.ne	#0xfffffff007e1bedc
0xfffffff007e1be70: 68220091  add	x8, x19, #8
0xfffffff007e1be74: e9031b4b  neg	w9, w27
0xfffffff007e1be78: 080129b8  ldadd	w9, w8, [x8]
0xfffffff007e1be7c: 60120091  add	x0, x19, #4
0xfffffff007e1be80: 08008012  mov	w8, #-1
0xfffffff007e1be84: 080068b8  ldaddl	w8, w8, [x0]
0xfffffff007e1be88: e8200034  cbz	w8, #0xfffffff007e1c2a4
0xfffffff007e1be8c: 1f050071  cmp	w8, #1
0xfffffff007e1be90: 000b0054  b.eq	#0xfffffff007e1bff0
0xfffffff007e1be94: 68988052  mov	w8, #0x4c3
0xfffffff007e1be98: 8991ff90  adrp	x9, #0xfffffff00704b000
0xfffffff007e1be9c: 293d3091  add	x9, x9, #0xc0f
0xfffffff007e1bea0: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007e1bea4: f30300f9  str	x19, [sp]
0xfffffff007e1bea8: 8091ff90  adrp	x0, #0xfffffff00704b000
0xfffffff007e1beac: 00c03591  add	x0, x0, #0xd70
0xfffffff007e1beb0: 97e11994  bl	#0xfffffff00849450c
0xfffffff007e1beb4: a81a44b9  ldr	w8, [x21, #0x418]
0xfffffff007e1beb8: 69c20191  add	x9, x19, #0x70
0xfffffff007e1bebc: e20308aa  mov	x2, x8
0xfffffff007e1bec0: 3ffda288  casl	w2, wzr, [x9]
0xfffffff007e1bec4: 5f00086b  cmp	w2, w8
0xfffffff007e1bec8: c0010054  b.eq	#0xfffffff007e1bf00
0xfffffff007e1becc: e00314aa  mov	x0, x20
0xfffffff007e1bed0: e10315aa  mov	x1, x21
0xfffffff007e1bed4: 2442fe97  bl	#0xfffffff007dac764
0xfffffff007e1bed8: 0a000014  b	#0xfffffff007e1bf00
0xfffffff007e1bedc: 281b44b9  ldr	w8, [x25, #0x418]
0xfffffff007e1bee0: 09c30191  add	x9, x24, #0x70
0xfffffff007e1bee4: e20308aa  mov	x2, x8
0xfffffff007e1bee8: 3ffda288  casl	w2, wzr, [x9]
0xfffffff007e1beec: 5f00086b  cmp	w2, w8
0xfffffff007e1bef0: e1040054  b.ne	#0xfffffff007e1bf8c
0xfffffff007e1bef4: 7a0000b4  cbz	x26, #0xfffffff007e1bf00
0xfffffff007e1bef8: e0031aaa  mov	x0, x26
0xfffffff007e1befc: ea33fe97  bl	#0xfffffff007da8ea4
0xfffffff007e1bf00: a0008052  mov	w0, #5
0xfffffff007e1bf04: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff007e1bf08: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff007e1bf0c: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff007e1bf10: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff007e1bf14: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff007e1bf18: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff007e1bf1c: ffc30291  add	sp, sp, #0xb0
0xfffffff007e1bf20: ff0f5fd6  retab	
0xfffffff007e1bf24: e00314aa  mov	x0, x20
