; Candidate 16307
; ADRP+ADD at VM 0xfffffff009e502bc (fileoff 0x2e4c2bc): page=0x1fda07000 add_imm=0xe74

0xfffffff009e5023c: 79ffffb5  cbnz	x25, #0xfffffff009e50228
0xfffffff009e50240: 56008052  mov	w22, #2
0xfffffff009e50244: 21000014  b	#0xfffffff009e502c8
0xfffffff009e50248: 083e8452  mov	w8, #0x21f0
0xfffffff009e5024c: e802088b  add	x8, x23, x8
0xfffffff009e50250: c9788052  mov	w9, #0x3c6
0xfffffff009e50254: cacefef0  adrp	x10, #0xfffffff00782b000
0xfffffff009e50258: 4ad12f91  add	x10, x10, #0xbf4
0xfffffff009e5025c: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e50260: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009e50264: c0cefef0  adrp	x0, #0xfffffff00782b000
0xfffffff009e50268: 002c3091  add	x0, x0, #0xc0b
0xfffffff009e5026c: 96bd0094  bl	#0xfffffff009e7f8c4
0xfffffff009e50270: b6008052  mov	w22, #5
0xfffffff009e50274: f8f777b6  tbz	x24, #0x2e, #0xfffffff009e50170
0xfffffff009e50278: 200740f9  ldr	x0, [x25, #8]
0xfffffff009e5027c: e4a78397  bl	#0xfffffff007f3a20c
0xfffffff009e50280: efbb0094  bl	#0xfffffff009e7f23c
0xfffffff009e50284: 200740f9  ldr	x0, [x25, #8]
0xfffffff009e50288: 26e58297  bl	#0xfffffff007f09720
0xfffffff009e5028c: 0f000014  b	#0xfffffff009e502c8
0xfffffff009e50290: 200740f9  ldr	x0, [x25, #8]
0xfffffff009e50294: b9440294  bl	#0xfffffff009ee1578
0xfffffff009e50298: e0010034  cbz	w0, #0xfffffff009e502d4
0xfffffff009e5029c: f60300aa  mov	x22, x0
0xfffffff009e502a0: 083e8452  mov	w8, #0x21f0
0xfffffff009e502a4: e802088b  add	x8, x23, x8
0xfffffff009e502a8: 29778052  mov	w9, #0x3b9
0xfffffff009e502ac: cacefef0  adrp	x10, #0xfffffff00782b000
0xfffffff009e502b0: 4ad12f91  add	x10, x10, #0xbf4
0xfffffff009e502b4: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e502b8: e85b01a9  stp	x8, x22, [sp, #0x10]
0xfffffff009e502bc: 20d0fef0  adrp	x0, #0xfffffff007857000
0xfffffff009e502c0: 00d03991  add	x0, x0, #0xe74
0xfffffff009e502c4: 80bd0094  bl	#0xfffffff009e7f8c4
0xfffffff009e502c8: e00313aa  mov	x0, x19
0xfffffff009e502cc: f1b40094  bl	#0xfffffff009e7d690
0xfffffff009e502d0: a8ffff17  b	#0xfffffff009e50170
0xfffffff009e502d4: 200740f9  ldr	x0, [x25, #8]
0xfffffff009e502d8: cda78397  bl	#0xfffffff007f3a20c
0xfffffff009e502dc: 010080d2  mov	x1, #0
0xfffffff009e502e0: 9dbb0094  bl	#0xfffffff009e7f154
0xfffffff009e502e4: b0ffff17  b	#0xfffffff009e501a4
0xfffffff009e502e8: 7f2303d5  pacibsp	
0xfffffff009e502ec: ffc304d1  sub	sp, sp, #0x130
0xfffffff009e502f0: fc6f0da9  stp	x28, x27, [sp, #0xd0]
0xfffffff009e502f4: fa670ea9  stp	x26, x25, [sp, #0xe0]
0xfffffff009e502f8: f85f0fa9  stp	x24, x23, [sp, #0xf0]
0xfffffff009e502fc: f65710a9  stp	x22, x21, [sp, #0x100]
0xfffffff009e50300: f44f11a9  stp	x20, x19, [sp, #0x110]
0xfffffff009e50304: fd7b12a9  stp	x29, x30, [sp, #0x120]
0xfffffff009e50308: fd830491  add	x29, sp, #0x120
0xfffffff009e5030c: f40305aa  mov	x20, x5
0xfffffff009e50310: f70304aa  mov	x23, x4
0xfffffff009e50314: a38737a9  stp	x3, x1, [x29, #-0x88]
0xfffffff009e50318: a20319f8  stur	x2, [x29, #-0x70]
0xfffffff009e5031c: f30300aa  mov	x19, x0
0xfffffff009e50320: bf031af8  stur	xzr, [x29, #-0x60]
0xfffffff009e50324: e00304aa  mov	x0, x4
0xfffffff009e50328: b5138e97  bl	#0xfffffff0081d51fc
0xfffffff009e5032c: 402cf8b7  tbnz	x0, #0x3f, #0xfffffff009e508b4
0xfffffff009e50330: e00317aa  mov	x0, x23
0xfffffff009e50334: b7128e97  bl	#0xfffffff0081d4e10
0xfffffff009e50338: 202c00b4  cbz	x0, #0xfffffff009e508bc
