; Candidate 7297
; ADRP+ADD at VM 0xfffffff0088659f8 (fileoff 0x18619f8): page=0x1fe984000 add_imm=0xe80

0xfffffff008865978: 007c1191  add	x0, x0, #0x45f
0xfffffff00886597c: f42300a9  stp	x20, x8, [sp]
0xfffffff008865980: b846d597  bl	#0xfffffff007db7460
0xfffffff008865984: 23000014  b	#0xfffffff008865a10
0xfffffff008865988: a10358f8  ldur	x1, [x29, #-0x80]
0xfffffff00886598c: 606240f9  ldr	x0, [x19, #0xc0]
0xfffffff008865990: 99530094  bl	#0xfffffff00887a7f4
0xfffffff008865994: 063a0194  bl	#0xfffffff0088b41ac
0xfffffff008865998: f40300aa  mov	x20, x0
0xfffffff00886599c: e0008052  mov	w0, #7
0xfffffff0088659a0: ac570094  bl	#0xfffffff00887b850
0xfffffff0088659a4: f70300aa  mov	x23, x0
0xfffffff0088659a8: b80358f8  ldur	x24, [x29, #-0x80]
0xfffffff0088659ac: 606240f9  ldr	x0, [x19, #0xc0]
0xfffffff0088659b0: 794240b9  ldr	w25, [x19, #0x40]
0xfffffff0088659b4: e10318aa  mov	x1, x24
0xfffffff0088659b8: 8f530094  bl	#0xfffffff00887a7f4
0xfffffff0088659bc: a9237229  ldp	w9, w8, [x29, #-0x70]
0xfffffff0088659c0: e82705a9  stp	x8, x9, [sp, #0x50]
0xfffffff0088659c4: f80304a9  stp	x24, x0, [sp, #0x40]
0xfffffff0088659c8: f36703a9  stp	x19, x25, [sp, #0x30]
0xfffffff0088659cc: 687a8052  mov	w8, #0x3d3
0xfffffff0088659d0: 094efff0  adrp	x9, #0xfffffff007228000
0xfffffff0088659d4: 29813091  add	x9, x9, #0xc20
0xfffffff0088659d8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088659dc: 084effd0  adrp	x8, #0xfffffff007227000
0xfffffff0088659e0: 08811191  add	x8, x8, #0x460
0xfffffff0088659e4: f72301a9  stp	x23, x8, [sp, #0x10]
0xfffffff0088659e8: 680c8052  mov	w8, #0x63
0xfffffff0088659ec: 834fffb0  adrp	x3, #0xfffffff007256000
0xfffffff0088659f0: 639c3a91  add	x3, x3, #0xea7
0xfffffff0088659f4: f42300a9  stp	x20, x8, [sp]
0xfffffff0088659f8: 204cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088659fc: 00003a91  add	x0, x0, #0xe80
0xfffffff008865a00: 018dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008865a04: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008865a08: 02008052  mov	w2, #0
0xfffffff008865a0c: c935eb97  bl	#0xfffffff008333130
0xfffffff008865a10: 603a40f9  ldr	x0, [x19, #0x70]
0xfffffff008865a14: a10b7229  ldp	w1, w2, [x29, #-0x70]
0xfffffff008865a18: 03008052  mov	w3, #0
0xfffffff008865a1c: 04008052  mov	w4, #0
0xfffffff008865a20: d3cf0094  bl	#0xfffffff00889996c
0xfffffff008865a24: a0040034  cbz	w0, #0xfffffff008865ab8
0xfffffff008865a28: f40300aa  mov	x20, x0
0xfffffff008865a2c: 600c8052  mov	w0, #0x63
0xfffffff008865a30: 81008052  mov	w1, #4
0xfffffff008865a34: 67570094  bl	#0xfffffff00887b7d0
0xfffffff008865a38: 20a0ff34  cbz	w0, #0xfffffff008864e3c
0xfffffff008865a3c: 600c8052  mov	w0, #0x63
0xfffffff008865a40: 76570094  bl	#0xfffffff00887b818
0xfffffff008865a44: f70300aa  mov	x23, x0
0xfffffff008865a48: d9390194  bl	#0xfffffff0088b41ac
0xfffffff008865a4c: f50300aa  mov	x21, x0
0xfffffff008865a50: 80008052  mov	w0, #4
0xfffffff008865a54: 7f570094  bl	#0xfffffff00887b850
0xfffffff008865a58: 37080034  cbz	w23, #0xfffffff008865b5c
0xfffffff008865a5c: f60300aa  mov	x22, x0
0xfffffff008865a60: 783a40f9  ldr	x24, [x19, #0x70]
0xfffffff008865a64: b70358f8  ldur	x23, [x29, #-0x80]
0xfffffff008865a68: 606240f9  ldr	x0, [x19, #0xc0]
0xfffffff008865a6c: e10317aa  mov	x1, x23
0xfffffff008865a70: 61530094  bl	#0xfffffff00887a7f4
0xfffffff008865a74: e80314aa  mov	x8, x20
