; Candidate 13250
; ADRP+ADD at VM 0xfffffff0092456f4 (fileoff 0x22416f4): page=0x1fe274000 add_imm=0xeb3

0xfffffff009245674: 0b054ab9  ldr	w11, [x8, #0xa04]
0xfffffff009245678: 18094ab9  ldr	w24, [x8, #0xa08]
0xfffffff00924567c: 190d4ab9  ldr	w25, [x8, #0xa0c]
0xfffffff009245680: 09114ab9  ldr	w9, [x8, #0xa10]
0xfffffff009245684: 08154ab9  ldr	w8, [x8, #0xa14]
0xfffffff009245688: 080d4092  and	x8, x8, #0xf
0xfffffff00924568c: 2a3f0853  ubfx	w10, w25, #8, #8
0xfffffff009245690: aa0319f8  stur	x10, [x29, #-0x70]
0xfffffff009245694: 3b5f1053  ubfx	w27, w25, #0x10, #8
0xfffffff009245698: 080109aa  orr	x8, x8, x9
0xfffffff00924569c: a8af39a9  stp	x8, x11, [x29, #-0x68]
0xfffffff0092456a0: 36170012  and	w22, w25, #0x3f
0xfffffff0092456a4: 17671653  ubfx	w23, w24, #0x16, #4
0xfffffff0092456a8: 1c570253  ubfx	w28, w24, #2, #0x14
0xfffffff0092456ac: 1a070012  and	w26, w24, #3
0xfffffff0092456b0: e10316aa  mov	x1, x22
0xfffffff0092456b4: 65000094  bl	#0xfffffff009245848
0xfffffff0092456b8: a80240b9  ldr	w8, [x21]
0xfffffff0092456bc: 69588052  mov	w9, #0x2c3
0xfffffff0092456c0: aa13ff90  adrp	x10, #0xfffffff0074b9000
0xfffffff0092456c4: 4ab51a91  add	x10, x10, #0x6ad
0xfffffff0092456c8: ea2707a9  stp	x10, x9, [sp, #0x70]
0xfffffff0092456cc: fc6b06a9  stp	x28, x26, [sp, #0x60]
0xfffffff0092456d0: fb5f05a9  stp	x27, x23, [sp, #0x50]
0xfffffff0092456d4: a90359f8  ldur	x9, [x29, #-0x70]
0xfffffff0092456d8: e02704a9  stp	x0, x9, [sp, #0x40]
0xfffffff0092456dc: f61f00f9  str	x22, [sp, #0x38]
0xfffffff0092456e0: a98359f8  ldur	x9, [x29, #-0x68]
0xfffffff0092456e4: f9a702a9  stp	x25, x9, [sp, #0x28]
0xfffffff0092456e8: f81300f9  str	x24, [sp, #0x20]
0xfffffff0092456ec: a9035af8  ldur	x9, [x29, #-0x60]
0xfffffff0092456f0: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0092456f4: a013ff90  adrp	x0, #0xfffffff0074b9000
0xfffffff0092456f8: 00cc3a91  add	x0, x0, #0xeb3
0xfffffff0092456fc: f44f00a9  stp	x20, x19, [sp]
0xfffffff009245700: 833bc997  bl	#0xfffffff00849450c
0xfffffff009245704: 7f2303d5  pacibsp	
0xfffffff009245708: ff8301d1  sub	sp, sp, #0x60
0xfffffff00924570c: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff009245710: fd430191  add	x29, sp, #0x50
0xfffffff009245714: 084c218b  add	x8, x0, w1, uxtw #3
0xfffffff009245718: 086d40f9  ldr	x8, [x8, #0xd8]
0xfffffff00924571c: 08114cb9  ldr	w8, [x8, #0xc10]
0xfffffff009245720: 093d0c53  ubfx	w9, w8, #0xc, #4
0xfffffff009245724: 0a2d0853  ubfx	w10, w8, #8, #4
0xfffffff009245728: 0b1d0012  and	w11, w8, #0xff
0xfffffff00924572c: 4c0040b9  ldr	w12, [x2]
0xfffffff009245730: 6d4d8052  mov	w13, #0x26b
0xfffffff009245734: ae13ff90  adrp	x14, #0xfffffff0074b9000
0xfffffff009245738: ceb51a91  add	x14, x14, #0x6ad
0xfffffff00924573c: eeb703a9  stp	x14, x13, [sp, #0x38]
0xfffffff009245740: eaaf02a9  stp	x10, x11, [sp, #0x28]
0xfffffff009245744: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff009245748: e4b300a9  stp	x4, x12, [sp, #8]
0xfffffff00924574c: a013ff90  adrp	x0, #0xfffffff0074b9000
0xfffffff009245750: 00883591  add	x0, x0, #0xd62
0xfffffff009245754: e10300f9  str	x1, [sp]
0xfffffff009245758: 6d3bc997  bl	#0xfffffff00849450c
0xfffffff00924575c: 7f2303d5  pacibsp	
0xfffffff009245760: ffc303d1  sub	sp, sp, #0xf0
0xfffffff009245764: fa670aa9  stp	x26, x25, [sp, #0xa0]
0xfffffff009245768: f85f0ba9  stp	x24, x23, [sp, #0xb0]
0xfffffff00924576c: f6570ca9  stp	x22, x21, [sp, #0xc0]
0xfffffff009245770: f44f0da9  stp	x20, x19, [sp, #0xd0]
