; Candidate 12304
; ADRP+ADD at VM 0xfffffff0090860f0 (fileoff 0x20820f0): page=0x1fe3d3000 add_imm=0xe24

0xfffffff009086070: 740100b4  cbz	x20, #0xfffffff00908609c
0xfffffff009086074: 900240f9  ldr	x16, [x20]
0xfffffff009086078: f10314aa  mov	x17, x20
0xfffffff00908607c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009086080: 301ac1da  autda	x16, x17
0xfffffff009086084: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff009086088: e90310aa  mov	x9, x16
0xfffffff00908608c: e00314aa  mov	x0, x20
0xfffffff009086090: f10309aa  mov	x17, x9
0xfffffff009086094: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009086098: 11093fd7  blraa	x8, x17
0xfffffff00908609c: 750100b4  cbz	x21, #0xfffffff0090860c8
0xfffffff0090860a0: b00240f9  ldr	x16, [x21]
0xfffffff0090860a4: f10315aa  mov	x17, x21
0xfffffff0090860a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0090860ac: 301ac1da  autda	x16, x17
0xfffffff0090860b0: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0090860b4: e90310aa  mov	x9, x16
0xfffffff0090860b8: e00315aa  mov	x0, x21
0xfffffff0090860bc: f10309aa  mov	x17, x9
0xfffffff0090860c0: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0090860c4: 11093fd7  blraa	x8, x17
0xfffffff0090860c8: 08034039  ldrb	w8, [x24]
0xfffffff0090860cc: ff02086b  cmp	w23, w8
0xfffffff0090860d0: 63010054  b.lo	#0xfffffff0090860fc
0xfffffff0090860d4: c87e4093  sxtw	x8, w22
0xfffffff0090860d8: a91effd0  adrp	x9, #0xfffffff00745c000
0xfffffff0090860dc: 298d2e91  add	x9, x9, #0xba3
0xfffffff0090860e0: 8a1efff0  adrp	x10, #0xfffffff007459000
0xfffffff0090860e4: 4a2d3f91  add	x10, x10, #0xfcb
0xfffffff0090860e8: ea2700a9  stp	x10, x9, [sp]
0xfffffff0090860ec: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090860f0: 801efff0  adrp	x0, #0xfffffff007459000
0xfffffff0090860f4: 00903891  add	x0, x0, #0xe24
0xfffffff0090860f8: ca43cb97  bl	#0xfffffff008357020
0xfffffff0090860fc: e00316aa  mov	x0, x22
0xfffffff009086100: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff009086104: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff009086108: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff00908610c: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff009086110: ffc30191  add	sp, sp, #0x70
0xfffffff009086114: ff0f5fd6  retab	
0xfffffff009086118: 08034039  ldrb	w8, [x24]
0xfffffff00908611c: 1fa10071  cmp	w8, #0x28
0xfffffff009086120: 28010054  b.hi	#0xfffffff009086144
0xfffffff009086124: a81effd0  adrp	x8, #0xfffffff00745c000
0xfffffff009086128: 088d2e91  add	x8, x8, #0xba3
0xfffffff00908612c: 891efff0  adrp	x9, #0xfffffff007459000
0xfffffff009086130: 292d3f91  add	x9, x9, #0xfcb
0xfffffff009086134: e92300a9  stp	x9, x8, [sp]
0xfffffff009086138: a01effd0  adrp	x0, #0xfffffff00745c000
0xfffffff00908613c: 002c3191  add	x0, x0, #0xc4b
0xfffffff009086140: b843cb97  bl	#0xfffffff008357020
0xfffffff009086144: 150080d2  mov	x21, #0
0xfffffff009086148: beffff17  b	#0xfffffff009086040
0xfffffff00908614c: 68bd8152  mov	w8, #0xdeb
0xfffffff009086150: 891efff0  adrp	x9, #0xfffffff007459000
0xfffffff009086154: 29493f91  add	x9, x9, #0xfd2
0xfffffff009086158: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff00908615c: 881efff0  adrp	x8, #0xfffffff007459000
0xfffffff009086160: 08b92d91  add	x8, x8, #0xb6e
0xfffffff009086164: aa1effd0  adrp	x10, #0xfffffff00745c000
0xfffffff009086168: 4a2d2f91  add	x10, x10, #0xbcb
0xfffffff00908616c: ffa300a9  stp	xzr, x8, [sp, #8]
