; Candidate 15590
; ADRP+ADD at VM 0xfffffff009c42c84 (fileoff 0x2c3ec84): page=0x778000 add_imm=0xd58

0xfffffff009c42c04: 00009852  mov	w0, #0xc000
0xfffffff009c42c08: a0a5a072  movk	w0, #0x52d, lsl #16
0xfffffff009c42c0c: a3008052  mov	w3, #5
0xfffffff009c42c10: 050080d2  mov	x5, #0
0xfffffff009c42c14: bcec9417  b	#0xfffffff00817df04
0xfffffff009c42c18: c0035fd6  ret	
0xfffffff009c42c1c: 0c000000  udf	#0xc
0xfffffff009c42c20: 44000000  udf	#0x44
0xfffffff009c42c24: 78000000  udf	#0x78
0xfffffff009c42c28: ac000000  udf	#0xac
0xfffffff009c42c2c: e0000000  udf	#0xe0
0xfffffff009c42c30: 18010000  udf	#0x118
0xfffffff009c42c34: 64010000  udf	#0x164
0xfffffff009c42c38: a8010000  udf	#0x1a8
0xfffffff009c42c3c: 5f2403d5  bti	c
0xfffffff009c42c40: 082c40f9  ldr	x8, [x0, #0x58]
0xfffffff009c42c44: 880000b4  cbz	x8, #0xfffffff009c42c54
0xfffffff009c42c48: 082940f9  ldr	x8, [x8, #0x50]
0xfffffff009c42c4c: 00210091  add	x0, x8, #8
0xfffffff009c42c50: c0035fd6  ret	
0xfffffff009c42c54: 000080d2  mov	x0, #0
0xfffffff009c42c58: c0035fd6  ret	
0xfffffff009c42c5c: 5f2403d5  bti	c
0xfffffff009c42c60: a5869a17  b	#0xfffffff0082e46f4
0xfffffff009c42c64: 5f2403d5  bti	c
0xfffffff009c42c68: a3869a17  b	#0xfffffff0082e46f4
0xfffffff009c42c6c: 5f2403d5  bti	c
0xfffffff009c42c70: a1869a17  b	#0xfffffff0082e46f4
0xfffffff009c42c74: 7f2303d5  pacibsp	
0xfffffff009c42c78: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009c42c7c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009c42c80: fd430091  add	x29, sp, #0x10
0xfffffff009c42c84: c03b0090  adrp	x0, #0xfffffff00a3ba000
0xfffffff009c42c88: 00603591  add	x0, x0, #0xd58
0xfffffff009c42c8c: 01d0fef0  adrp	x1, #0xfffffff007645000
0xfffffff009c42c90: 21e82a91  add	x1, x1, #0xaba
0xfffffff009c42c94: e204ffd0  adrp	x2, #0xfffffff007ce0000
0xfffffff009c42c98: 425446f9  ldr	x2, [x2, #0xca8]
0xfffffff009c42c9c: 03098052  mov	w3, #0x48
0xfffffff009c42ca0: a6839a97  bl	#0xfffffff0082e3b38
0xfffffff009c42ca4: 5005ff90  adrp	x16, #0xfffffff007cea000
0xfffffff009c42ca8: 10c20d91  add	x16, x16, #0x370
0xfffffff009c42cac: 10420091  add	x16, x16, #0x10
0xfffffff009c42cb0: f10300aa  mov	x17, x0
0xfffffff009c42cb4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c42cb8: 300ac1da  pacda	x16, x17
0xfffffff009c42cbc: 100000f9  str	x16, [x0]
0xfffffff009c42cc0: d33b0090  adrp	x19, #0xfffffff00a3ba000
0xfffffff009c42cc4: 73023691  add	x19, x19, #0xd80
0xfffffff009c42cc8: 01d0fef0  adrp	x1, #0xfffffff007645000
0xfffffff009c42ccc: 21f42b91  add	x1, x1, #0xafd
0xfffffff009c42cd0: e204ffd0  adrp	x2, #0xfffffff007ce0000
0xfffffff009c42cd4: 424446f9  ldr	x2, [x2, #0xc88]
0xfffffff009c42cd8: e00313aa  mov	x0, x19
0xfffffff009c42cdc: 03088052  mov	w3, #0x40
0xfffffff009c42ce0: 96839a97  bl	#0xfffffff0082e3b38
0xfffffff009c42ce4: 5005ff90  adrp	x16, #0xfffffff007cea000
0xfffffff009c42ce8: 10221791  add	x16, x16, #0x5c8
0xfffffff009c42cec: 10420091  add	x16, x16, #0x10
0xfffffff009c42cf0: f10313aa  mov	x17, x19
0xfffffff009c42cf4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009c42cf8: 300ac1da  pacda	x16, x17
0xfffffff009c42cfc: 700200f9  str	x16, [x19]
0xfffffff009c42d00: c03b0090  adrp	x0, #0xfffffff00a3ba000
