; Candidate 15941
; ADRP+ADD at VM 0xfffffff009dee0cc (fileoff 0x2dea0cc): page=0x5d0000 add_imm=0xda8

0xfffffff009dee04c: e00313aa  mov	x0, x19
0xfffffff009dee050: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009dee054: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009dee058: ff2303d5  autibsp	
0xfffffff009dee05c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009dee060: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009dee068
0xfffffff009dee064: 208e38d4  brk	#0xc471
0xfffffff009dee068: 39e59317  b	#0xfffffff0082e754c
0xfffffff009dee06c: 7f2303d5  pacibsp	
0xfffffff009dee070: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009dee074: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009dee078: fd430091  add	x29, sp, #0x10
0xfffffff009dee07c: f30300aa  mov	x19, x0
0xfffffff009dee080: e3ffff97  bl	#0xfffffff009dee00c
0xfffffff009dee084: c0f9fed0  adrp	x0, #0xfffffff007d28000
0xfffffff009dee088: 00e02b91  add	x0, x0, #0xaf8
0xfffffff009dee08c: e10313aa  mov	x1, x19
0xfffffff009dee090: 02128052  mov	w2, #0x90
0xfffffff009dee094: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009dee098: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009dee09c: ff2303d5  autibsp	
0xfffffff009dee0a0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009dee0a4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009dee0ac
0xfffffff009dee0a8: 208e38d4  brk	#0xc471
0xfffffff009dee0ac: 7ce59317  b	#0xfffffff0082e769c
0xfffffff009dee0b0: 5f2403d5  bti	c
0xfffffff009dee0b4: e20301aa  mov	x2, x1
0xfffffff009dee0b8: e10300aa  mov	x1, x0
0xfffffff009dee0bc: c0f9fed0  adrp	x0, #0xfffffff007d28000
0xfffffff009dee0c0: 00e02b91  add	x0, x0, #0xaf8
0xfffffff009dee0c4: 76e59317  b	#0xfffffff0082e769c
0xfffffff009dee0c8: 5f2403d5  bti	c
0xfffffff009dee0cc: 802e0090  adrp	x0, #0xfffffff00a3be000
0xfffffff009dee0d0: 00a03691  add	x0, x0, #0xda8
0xfffffff009dee0d4: c0035fd6  ret	
0xfffffff009dee0d8: 7f2303d5  pacibsp	
0xfffffff009dee0dc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009dee0e0: fd030091  mov	x29, sp
0xfffffff009dee0e4: 81c5fef0  adrp	x1, #0xfffffff0076a1000
0xfffffff009dee0e8: 21b81191  add	x1, x1, #0x46e
0xfffffff009dee0ec: 62f9fef0  adrp	x2, #0xfffffff007d1d000
0xfffffff009dee0f0: 427843f9  ldr	x2, [x2, #0x6f0]
0xfffffff009dee0f4: 03128052  mov	w3, #0x90
0xfffffff009dee0f8: 90d69397  bl	#0xfffffff0082e3b38
0xfffffff009dee0fc: b0f9fef0  adrp	x16, #0xfffffff007d25000
0xfffffff009dee100: 10220c91  add	x16, x16, #0x308
0xfffffff009dee104: 10420091  add	x16, x16, #0x10
0xfffffff009dee108: f10300aa  mov	x17, x0
0xfffffff009dee10c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009dee110: 300ac1da  pacda	x16, x17
0xfffffff009dee114: 100000f9  str	x16, [x0]
0xfffffff009dee118: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009dee11c: ff0f5fd6  retab	
0xfffffff009dee120: 7f2303d5  pacibsp	
0xfffffff009dee124: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009dee128: fd030091  mov	x29, sp
0xfffffff009dee12c: c0f9fed0  adrp	x0, #0xfffffff007d28000
0xfffffff009dee130: 00e02b91  add	x0, x0, #0xaf8
0xfffffff009dee134: 01128052  mov	w1, #0x90
0xfffffff009dee138: 40e59397  bl	#0xfffffff0082e7638
0xfffffff009dee13c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009dee140: ff2303d5  autibsp	
0xfffffff009dee144: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009dee148: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009dee150
