; Candidate 9373
; ADRP+ADD at VM 0xfffffff008a34a04 (fileoff 0x1a30a04): page=0x1fe865000 add_imm=0xe40

0xfffffff008a34984: f50300aa  mov	x21, x0
0xfffffff008a34988: 700240f9  ldr	x16, [x19]
0xfffffff008a3498c: f10313aa  mov	x17, x19
0xfffffff008a34990: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a34994: 301ac1da  autda	x16, x17
0xfffffff008a34998: f10310aa  mov	x17, x16
0xfffffff008a3499c: f147c1da  xpacd	x17
0xfffffff008a349a0: 1f0211eb  cmp	x16, x17
0xfffffff008a349a4: 40000054  b.eq	#0xfffffff008a349ac
0xfffffff008a349a8: 408e38d4  brk	#0xc472
0xfffffff008a349ac: 08c21191  add	x8, x16, #0x470
0xfffffff008a349b0: 093a42f9  ldr	x9, [x16, #0x470]
0xfffffff008a349b4: e00313aa  mov	x0, x19
0xfffffff008a349b8: e10314aa  mov	x1, x20
0xfffffff008a349bc: f10308aa  mov	x17, x8
0xfffffff008a349c0: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a349c4: 31093fd7  blraa	x9, x17
0xfffffff008a349c8: e0d301a9  stp	x0, x20, [sp, #0x18]
0xfffffff008a349cc: f9e300a9  stp	x25, x24, [sp, #8]
0xfffffff008a349d0: f50300f9  str	x21, [sp]
0xfffffff008a349d4: 4043ffb0  adrp	x0, #0xfffffff00729d000
0xfffffff008a349d8: 00481a91  add	x0, x0, #0x692
0xfffffff008a349dc: 34000014  b	#0xfffffff008a34aac
0xfffffff008a349e0: e00313aa  mov	x0, x19
0xfffffff008a349e4: 9590f097  bl	#0xfffffff008658c38
0xfffffff008a349e8: e00313aa  mov	x0, x19
0xfffffff008a349ec: 9390f097  bl	#0xfffffff008658c38
0xfffffff008a349f0: 34638052  mov	w20, #0x319
0xfffffff008a349f4: 5543ffd0  adrp	x21, #0xfffffff00729e000
0xfffffff008a349f8: b5aa0191  add	x21, x21, #0x6a
0xfffffff008a349fc: f5d300a9  stp	x21, x20, [sp, #8]
0xfffffff008a34a00: e00300f9  str	x0, [sp]
0xfffffff008a34a04: 2043ffb0  adrp	x0, #0xfffffff007299000
0xfffffff008a34a08: 00003991  add	x0, x0, #0xe40
0xfffffff008a34a0c: a180fff0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a34a10: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a34a14: 6343ffb0  adrp	x3, #0xfffffff0072a1000
0xfffffff008a34a18: 638c0291  add	x3, x3, #0xa3
0xfffffff008a34a1c: 02028052  mov	w2, #0x10
0xfffffff008a34a20: c4f9e397  bl	#0xfffffff008333130
0xfffffff008a34a24: e00313aa  mov	x0, x19
0xfffffff008a34a28: 8490f097  bl	#0xfffffff008658c38
0xfffffff008a34a2c: f5d300a9  stp	x21, x20, [sp, #8]
0xfffffff008a34a30: e00300f9  str	x0, [sp]
0xfffffff008a34a34: 4043ffd0  adrp	x0, #0xfffffff00729e000
0xfffffff008a34a38: 00e00191  add	x0, x0, #0x78
0xfffffff008a34a3c: 7989e497  bl	#0xfffffff008357020
0xfffffff008a34a40: 145b8052  mov	w20, #0x2d8
0xfffffff008a34a44: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008a34a48: 1a000014  b	#0xfffffff008a34ab0
0xfffffff008a34a4c: e00313aa  mov	x0, x19
0xfffffff008a34a50: 7a90f097  bl	#0xfffffff008658c38
0xfffffff008a34a54: e00313aa  mov	x0, x19
0xfffffff008a34a58: 7890f097  bl	#0xfffffff008658c38
0xfffffff008a34a5c: f50314aa  mov	x21, x20
0xfffffff008a34a60: b8638052  mov	w24, #0x31d
0xfffffff008a34a64: f85701a9  stp	x24, x21, [sp, #0x10]
0xfffffff008a34a68: 5943ffd0  adrp	x25, #0xfffffff00729e000
0xfffffff008a34a6c: 39ab0191  add	x25, x25, #0x6a
0xfffffff008a34a70: e06700a9  stp	x0, x25, [sp]
0xfffffff008a34a74: 2043ffb0  adrp	x0, #0xfffffff007299000
0xfffffff008a34a78: 00003991  add	x0, x0, #0xe40
0xfffffff008a34a7c: a180fff0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a34a80: 215046f9  ldr	x1, [x1, #0xca0]
