; Candidate 1086
; ADRP+ADD at VM 0xfffffff0081f8210 (fileoff 0x11f4210): page=0x1fd3000 add_imm=0xd24

0xfffffff0081f8190: f30303aa  mov	x19, x3
0xfffffff0081f8194: 82d038d5  mrs	x2, tpidr_el1
0xfffffff0081f8198: 484841b9  ldr	w8, [x2, #0x148]
0xfffffff0081f819c: 08050011  add	w8, w8, #1
0xfffffff0081f81a0: 484801b9  str	w8, [x2, #0x148]
0xfffffff0081f81a4: 88fe00f0  adrp	x8, #0xfffffff00a1cb000
0xfffffff0081f81a8: 08b13491  add	x8, x8, #0xd2c
0xfffffff0081f81ac: 0920a052  mov	w9, #0x1000000
0xfffffff0081f81b0: 0801a9b8  ldadda	w9, w8, [x8]
0xfffffff0081f81b4: 095d1053  ubfx	w9, w8, #0x10, #8
0xfffffff0081f81b8: 3f61486b  cmp	w9, w8, lsr #24
0xfffffff0081f81bc: 81030054  b.ne	#0xfffffff0081f822c
0xfffffff0081f81c0: 481844b9  ldr	w8, [x2, #0x418]
0xfffffff0081f81c4: 89fe00f0  adrp	x9, #0xfffffff00a1cb000
0xfffffff0081f81c8: 28310db9  str	w8, [x9, #0xd30]
0xfffffff0081f81cc: 680201b0  adrp	x8, #0xfffffff00a245000
0xfffffff0081f81d0: 09495b39  ldrb	w9, [x8, #0x6d2]
0xfffffff0081f81d4: 69000036  tbz	w9, #0, #0xfffffff0081f81e0
0xfffffff0081f81d8: 13028052  mov	w19, #0x10
0xfffffff0081f81dc: 0d000014  b	#0xfffffff0081f8210
0xfffffff0081f81e0: a9bbfff0  adrp	x9, #0xfffffff00796f000
0xfffffff0081f81e4: 299544f9  ldr	x9, [x9, #0x928]
0xfffffff0081f81e8: 3f0113eb  cmp	x9, x19
0xfffffff0081f81ec: 60000054  b.eq	#0xfffffff0081f81f8
0xfffffff0081f81f0: 696240b9  ldr	w9, [x19, #0x60]
0xfffffff0081f81f4: 02000014  b	#0xfffffff0081f81fc
0xfffffff0081f81f8: 09008052  mov	w9, #0
0xfffffff0081f81fc: 13008052  mov	w19, #0
0xfffffff0081f8200: ea0001d0  adrp	x10, #0xfffffff00a216000
0xfffffff0081f8204: 49110bb9  str	w9, [x10, #0xb10]
0xfffffff0081f8208: 29008052  mov	w9, #1
0xfffffff0081f820c: 09491b39  strb	w9, [x8, #0x6d2]
0xfffffff0081f8210: 80fe00f0  adrp	x0, #0xfffffff00a1cb000
0xfffffff0081f8214: 00903491  add	x0, x0, #0xd24
0xfffffff0081f8218: b7dcee97  bl	#0xfffffff007daf4f4
0xfffffff0081f821c: e00313aa  mov	x0, x19
0xfffffff0081f8220: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff0081f8224: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff0081f8228: ff0f5fd6  retab	
0xfffffff0081f822c: 017d1853  lsr	w1, w8, #0x18
0xfffffff0081f8230: 80fe00f0  adrp	x0, #0xfffffff00a1cb000
0xfffffff0081f8234: 00903491  add	x0, x0, #0xd24
0xfffffff0081f8238: fcdbee97  bl	#0xfffffff007daf228
0xfffffff0081f823c: e4ffff17  b	#0xfffffff0081f81cc
0xfffffff0081f8240: 7f2303d5  pacibsp	
0xfffffff0081f8244: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0081f8248: fd030091  mov	x29, sp
0xfffffff0081f824c: 82d038d5  mrs	x2, tpidr_el1
0xfffffff0081f8250: 484841b9  ldr	w8, [x2, #0x148]
0xfffffff0081f8254: 08050011  add	w8, w8, #1
0xfffffff0081f8258: 484801b9  str	w8, [x2, #0x148]
0xfffffff0081f825c: 88fe00f0  adrp	x8, #0xfffffff00a1cb000
0xfffffff0081f8260: 08b13491  add	x8, x8, #0xd2c
0xfffffff0081f8264: 0920a052  mov	w9, #0x1000000
0xfffffff0081f8268: 0801a9b8  ldadda	w9, w8, [x8]
0xfffffff0081f826c: 095d1053  ubfx	w9, w8, #0x10, #8
0xfffffff0081f8270: 3f61486b  cmp	w9, w8, lsr #24
0xfffffff0081f8274: 41020054  b.ne	#0xfffffff0081f82bc
0xfffffff0081f8278: 481844b9  ldr	w8, [x2, #0x418]
0xfffffff0081f827c: 89fe00f0  adrp	x9, #0xfffffff00a1cb000
0xfffffff0081f8280: 28310db9  str	w8, [x9, #0xd30]
0xfffffff0081f8284: e00001d0  adrp	x0, #0xfffffff00a216000
0xfffffff0081f8288: 00402b91  add	x0, x0, #0xad0
0xfffffff0081f828c: 080040b9  ldr	w8, [x0]
