; Candidate 4507
; ADRP+ADD at VM 0xfffffff0087b6068 (fileoff 0x17b2068): page=0x1fe97b000 add_imm=0xd90

0xfffffff0087b5fe8: a003973c  stur	q0, [x29, #-0x90]
0xfffffff0087b5fec: b96b3029  stp	w25, w26, [x29, #-0x80]
0xfffffff0087b5ff0: ea2740f9  ldr	x10, [sp, #0x48]
0xfffffff0087b5ff4: aadb38a9  stp	x10, x22, [x29, #-0x78]
0xfffffff0087b5ff8: b7633329  stp	w23, w24, [x29, #-0x68]
0xfffffff0087b5ffc: 8a4dffd0  adrp	x10, #0xfffffff007167000
0xfffffff0087b6000: 403547fd  ldr	d0, [x10, #0xe68]
0xfffffff0087b6004: a0031afc  stur	d0, [x29, #-0x60]
0xfffffff0087b6008: a10242ad  ldp	q1, q0, [x21, #0x40]
0xfffffff0087b600c: e18304ad  stp	q1, q0, [sp, #0x90]
0xfffffff0087b6010: a10241ad  ldp	q1, q0, [x21, #0x20]
0xfffffff0087b6014: e18303ad  stp	q1, q0, [sp, #0x70]
0xfffffff0087b6018: a10240ad  ldp	q1, q0, [x21]
0xfffffff0087b601c: 8a0e44f9  ldr	x10, [x20, #0x818]
0xfffffff0087b6020: 4a210091  add	x10, x10, #8
0xfffffff0087b6024: 8b0a44f9  ldr	x11, [x20, #0x810]
0xfffffff0087b6028: 6b210091  add	x11, x11, #8
0xfffffff0087b602c: e18302ad  stp	q1, q0, [sp, #0x50]
0xfffffff0087b6030: eaaf02a9  stp	x10, x11, [sp, #0x28]
0xfffffff0087b6034: ea430191  add	x10, sp, #0x50
0xfffffff0087b6038: ab4302d1  sub	x11, x29, #0x90
0xfffffff0087b603c: ebab01a9  stp	x11, x10, [sp, #0x18]
0xfffffff0087b6040: ea4340b9  ldr	w10, [sp, #0x40]
0xfffffff0087b6044: ea1300b9  str	w10, [sp, #0x10]
0xfffffff0087b6048: ea4740b9  ldr	w10, [sp, #0x44]
0xfffffff0087b604c: e92b0129  stp	w9, w10, [sp, #8]
0xfffffff0087b6050: e80300f9  str	x8, [sp]
0xfffffff0087b6054: 3e47fe97  bl	#0xfffffff008747d4c
0xfffffff0087b6058: 00ecff35  cbnz	w0, #0xfffffff0087b5dd8
0xfffffff0087b605c: 80b64ffd  ldr	d0, [x20, #0x1f68]
0xfffffff0087b6060: 60430afc  stur	d0, [x27, #0xa4]
0xfffffff0087b6064: 5dffff17  b	#0xfffffff0087b5dd8
0xfffffff0087b6068: c04bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087b606c: 00403691  add	x0, x0, #0xd90
0xfffffff0087b6070: 2192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b6074: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b6078: a34cffd0  adrp	x3, #0xfffffff00714c000
0xfffffff0087b607c: 63181e91  add	x3, x3, #0x786
0xfffffff0087b6080: 02008052  mov	w2, #0
0xfffffff0087b6084: 2bf4ed97  bl	#0xfffffff008333130
0xfffffff0087b6088: 00008052  mov	w0, #0
0xfffffff0087b608c: 57ffff17  b	#0xfffffff0087b5de8
0xfffffff0087b6090: c84cfff0  adrp	x8, #0xfffffff007151000
0xfffffff0087b6094: 08711791  add	x8, x8, #0x5dc
0xfffffff0087b6098: e80300f9  str	x8, [sp]
0xfffffff0087b609c: c04bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087b60a0: 00403691  add	x0, x0, #0xd90
0xfffffff0087b60a4: 2192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b60a8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b60ac: a34cffd0  adrp	x3, #0xfffffff00714c000
0xfffffff0087b60b0: 63781d91  add	x3, x3, #0x75e
0xfffffff0087b60b4: 02008052  mov	w2, #0
0xfffffff0087b60b8: 1ef4ed97  bl	#0xfffffff008333130
0xfffffff0087b60bc: 46ffff17  b	#0xfffffff0087b5dd4
0xfffffff0087b60c0: 5f2403d5  bti	c
0xfffffff0087b60c4: 08bc46f9  ldr	x8, [x0, #0xd78]
0xfffffff0087b60c8: 080140b9  ldr	w8, [x8]
0xfffffff0087b60cc: 1f150071  cmp	w8, #5
0xfffffff0087b60d0: e8179f1a  cset	w8, eq
0xfffffff0087b60d4: 08403239  strb	w8, [x0, #0xc90]
0xfffffff0087b60d8: e00308aa  mov	x0, x8
0xfffffff0087b60dc: c0035fd6  ret	
0xfffffff0087b60e0: 5f2403d5  bti	c
0xfffffff0087b60e4: 00e07139  ldrb	w0, [x0, #0xc78]
