; Candidate 10360
; ADRP+ADD at VM 0xfffffff008d1885c (fileoff 0x1d1485c): page=0x1fe660000 add_imm=0xde8

0xfffffff008d187dc: 38000000  udf	#0x38
0xfffffff008d187e0: 50000000  udf	#0x50
0xfffffff008d187e4: 0c000000  udf	#0xc
0xfffffff008d187e8: 68000000  udf	#0x68
0xfffffff008d187ec: 80000000  udf	#0x80
0xfffffff008d187f0: 24000000  udf	#0x24
0xfffffff008d187f4: 98000000  udf	#0x98
0xfffffff008d187f8: 0c000000  udf	#0xc
0xfffffff008d187fc: d8000000  udf	#0xd8
0xfffffff008d18800: 7f2303d5  pacibsp	
0xfffffff008d18804: ffc300d1  sub	sp, sp, #0x30
0xfffffff008d18808: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008d1880c: fd830091  add	x29, sp, #0x20
0xfffffff008d18810: a8068052  mov	w8, #0x35
0xfffffff008d18814: 0933fff0  adrp	x9, #0xfffffff00737b000
0xfffffff008d18818: 29611f91  add	x9, x9, #0x7d8
0xfffffff008d1881c: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008d18820: e00300f9  str	x0, [sp]
0xfffffff008d18824: 0033fff0  adrp	x0, #0xfffffff00737b000
0xfffffff008d18828: 00301f91  add	x0, x0, #0x7cc
0xfffffff008d1882c: 38efdd97  bl	#0xfffffff00849450c
0xfffffff008d18830: 7f2303d5  pacibsp	
0xfffffff008d18834: ffc300d1  sub	sp, sp, #0x30
0xfffffff008d18838: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008d1883c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008d18840: fd830091  add	x29, sp, #0x20
0xfffffff008d18844: 291040b9  ldr	w9, [x1, #0x10]
0xfffffff008d18848: 3f150071  cmp	w9, #5
0xfffffff008d1884c: eb000054  b.lt	#0xfffffff008d18868
0xfffffff008d18850: 93578052  mov	w19, #0x2bc
0xfffffff008d18854: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008d18858: e90300f9  str	x9, [sp]
0xfffffff008d1885c: 0033ff90  adrp	x0, #0xfffffff007378000
0xfffffff008d18860: 00a03791  add	x0, x0, #0xde8
0xfffffff008d18864: 1f000014  b	#0xfffffff008d188e0
0xfffffff008d18868: 280840b9  ldr	w8, [x1, #8]
0xfffffff008d1886c: 1f1d0071  cmp	w8, #7
0xfffffff008d18870: 08070054  b.hi	#0xfffffff008d18950
0xfffffff008d18874: 2a0c40b9  ldr	w10, [x1, #0xc]
0xfffffff008d18878: 2b008052  mov	w11, #1
0xfffffff008d1887c: 6b21c81a  lsl	w11, w11, w8
0xfffffff008d18880: 7f090072  tst	w11, #7
0xfffffff008d18884: 21010054  b.ne	#0xfffffff008d188a8
0xfffffff008d18888: 0c1a8052  mov	w12, #0xd0
0xfffffff008d1888c: 7f010c6a  tst	w11, w12
0xfffffff008d18890: 80010054  b.eq	#0xfffffff008d188c0
0xfffffff008d18894: 2a030034  cbz	w10, #0xfffffff008d188f8
0xfffffff008d18898: 93578052  mov	w19, #0x2bc
0xfffffff008d1889c: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008d188a0: 68088052  mov	w8, #0x43
0xfffffff008d188a4: 0c000014  b	#0xfffffff008d188d4
0xfffffff008d188a8: 5f050071  cmp	w10, #1
0xfffffff008d188ac: 6b020054  b.lt	#0xfffffff008d188f8
0xfffffff008d188b0: 93578052  mov	w19, #0x2bc
0xfffffff008d188b4: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008d188b8: 48068052  mov	w8, #0x32
0xfffffff008d188bc: 06000014  b	#0xfffffff008d188d4
0xfffffff008d188c0: 5f090071  cmp	w10, #2
0xfffffff008d188c4: ab010054  b.lt	#0xfffffff008d188f8
0xfffffff008d188c8: 93578052  mov	w19, #0x2bc
0xfffffff008d188cc: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008d188d0: 48078052  mov	w8, #0x3a
0xfffffff008d188d4: ea2300a9  stp	x10, x8, [sp]
0xfffffff008d188d8: 0033ff90  adrp	x0, #0xfffffff007378000
