; Candidate 15387
; ADRP+ADD at VM 0xfffffff009b59640 (fileoff 0x2b55640): page=0x1fdacf000 add_imm=0xed0

0xfffffff009b595c0: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b595c4: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b595c8: e00313aa  mov	x0, x19
0xfffffff009b595cc: 010080d2  mov	x1, #0
0xfffffff009b595d0: f10308aa  mov	x17, x8
0xfffffff009b595d4: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b595d8: 31093fd7  blraa	x9, x17
0xfffffff009b595dc: f70300aa  mov	x23, x0
0xfffffff009b595e0: 700240f9  ldr	x16, [x19]
0xfffffff009b595e4: f10313aa  mov	x17, x19
0xfffffff009b595e8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b595ec: 301ac1da  autda	x16, x17
0xfffffff009b595f0: f10310aa  mov	x17, x16
0xfffffff009b595f4: f147c1da  xpacd	x17
0xfffffff009b595f8: 1f0211eb  cmp	x16, x17
0xfffffff009b595fc: 40000054  b.eq	#0xfffffff009b59604
0xfffffff009b59600: 408e38d4  brk	#0xc472
0xfffffff009b59604: 08620891  add	x8, x16, #0x218
0xfffffff009b59608: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b5960c: e00313aa  mov	x0, x19
0xfffffff009b59610: 010080d2  mov	x1, #0
0xfffffff009b59614: f10308aa  mov	x17, x8
0xfffffff009b59618: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b5961c: 31093fd7  blraa	x9, x17
0xfffffff009b59620: e83b40b9  ldr	w8, [sp, #0x38]
0xfffffff009b59624: e85702a9  stp	x8, x21, [sp, #0x20]
0xfffffff009b59628: 88d6fed0  adrp	x8, #0xfffffff00762b000
0xfffffff009b5962c: 08350e91  add	x8, x8, #0x38d
0xfffffff009b59630: 89d6fe90  adrp	x9, #0xfffffff007629000
0xfffffff009b59634: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b59638: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b5963c: f70300a9  stp	x23, x0, [sp]
0xfffffff009b59640: 60d6fef0  adrp	x0, #0xfffffff007628000
0xfffffff009b59644: 00403b91  add	x0, x0, #0xed0
0xfffffff009b59648: a3d6fe90  adrp	x3, #0xfffffff00762d000
0xfffffff009b5964c: 63000291  add	x3, x3, #0x80
0xfffffff009b59650: e10316aa  mov	x1, x22
0xfffffff009b59654: 02028052  mov	w2, #0x10
0xfffffff009b59658: b6669f97  bl	#0xfffffff008333130
0xfffffff009b5965c: e00313aa  mov	x0, x19
0xfffffff009b59660: f6efff97  bl	#0xfffffff009b55638
0xfffffff009b59664: 360340f9  ldr	x22, [x25]
0xfffffff009b59668: 48598052  mov	w8, #0x2ca
0xfffffff009b5966c: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff009b59670: 02000014  b	#0xfffffff009b59678
0xfffffff009b59674: 08008052  mov	w8, #0
0xfffffff009b59678: c82a00b9  str	w8, [x22, #0x28]
0xfffffff009b5967c: bf020271  cmp	w21, #0x80
0xfffffff009b59680: 41020054  b.ne	#0xfffffff009b596c8
0xfffffff009b59684: 68de40f9  ldr	x8, [x19, #0x1b8]
0xfffffff009b59688: 080d40b9  ldr	w8, [x8, #0xc]
0xfffffff009b5968c: 1f1d0071  cmp	w8, #7
0xfffffff009b59690: c1010054  b.ne	#0xfffffff009b596c8
0xfffffff009b59694: 607241f9  ldr	x0, [x19, #0x2e0]
0xfffffff009b59698: 100040f9  ldr	x16, [x0]
0xfffffff009b5969c: f10300aa  mov	x17, x0
0xfffffff009b596a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b596a4: 301ac1da  autda	x16, x17
0xfffffff009b596a8: 112780d2  mov	x17, #0x138
0xfffffff009b596ac: 1002118b  add	x16, x16, x17
0xfffffff009b596b0: 080240f9  ldr	x8, [x16]
0xfffffff009b596b4: e90310aa  mov	x9, x16
0xfffffff009b596b8: f10309aa  mov	x17, x9
0xfffffff009b596bc: 1174fff2  movk	x17, #0xfba0, lsl #48
