; Candidate 12578
; ADRP+ADD at VM 0xfffffff0090bfd54 (fileoff 0x20bbd54): page=0x1fe39a000 add_imm=0xe24

0xfffffff0090bfcd4: 519081d2  mov	x17, #0xc82
0xfffffff0090bfcd8: b10a3fd7  blraa	x21, x17
0xfffffff0090bfcdc: 40100035  cbnz	w0, #0xfffffff0090bfee4
0xfffffff0090bfce0: f51740f9  ldr	x21, [sp, #0x28]
0xfffffff0090bfce4: e01cfff0  adrp	x0, #0xfffffff00745e000
0xfffffff0090bfce8: 00fc2391  add	x0, x0, #0x8ff
0xfffffff0090bfcec: 431dff90  adrp	x3, #0xfffffff007467000
0xfffffff0090bfcf0: 63683f91  add	x3, x3, #0xfda
0xfffffff0090bfcf4: 451dffb0  adrp	x5, #0xfffffff007468000
0xfffffff0090bfcf8: a5e43d91  add	x5, x5, #0xf79
0xfffffff0090bfcfc: e10314aa  mov	x1, x20
0xfffffff0090bfd00: e20315aa  mov	x2, x21
0xfffffff0090bfd04: a4c88052  mov	w4, #0x645
0xfffffff0090bfd08: 4172ff97  bl	#0xfffffff00909c60c
0xfffffff0090bfd0c: e00314aa  mov	x0, x20
0xfffffff0090bfd10: e10315aa  mov	x1, x21
0xfffffff0090bfd14: e771ff97  bl	#0xfffffff00909c4b0
0xfffffff0090bfd18: 7f020071  cmp	w19, #0
0xfffffff0090bfd1c: c8088052  mov	w8, #0x46
0xfffffff0090bfd20: 49018052  mov	w9, #0xa
0xfffffff0090bfd24: 2801881a  csel	w8, w9, w8, eq
0xfffffff0090bfd28: f41cffd0  adrp	x20, #0xfffffff00745d000
0xfffffff0090bfd2c: 94423c91  add	x20, x20, #0xf10
0xfffffff0090bfd30: 89920090  adrp	x9, #0xfffffff00a30f000
0xfffffff0090bfd34: 29410c91  add	x9, x9, #0x310
0xfffffff0090bfd38: 29014039  ldrb	w9, [x9]
0xfffffff0090bfd3c: 1f01096b  cmp	w8, w9
0xfffffff0090bfd40: 03010054  b.lo	#0xfffffff0090bfd60
0xfffffff0090bfd44: e80313aa  mov	x8, x19
0xfffffff0090bfd48: 087d4093  sxtw	x8, w8
0xfffffff0090bfd4c: f46f00a9  stp	x20, x27, [sp]
0xfffffff0090bfd50: e80b00f9  str	x8, [sp, #0x10]
0xfffffff0090bfd54: c01cffd0  adrp	x0, #0xfffffff007459000
0xfffffff0090bfd58: 00903891  add	x0, x0, #0xe24
0xfffffff0090bfd5c: b15cca97  bl	#0xfffffff008357020
0xfffffff0090bfd60: e00313aa  mov	x0, x19
0xfffffff0090bfd64: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff0090bfd68: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff0090bfd6c: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff0090bfd70: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff0090bfd74: fa6744a9  ldp	x26, x25, [sp, #0x40]
0xfffffff0090bfd78: fc6f43a9  ldp	x28, x27, [sp, #0x30]
0xfffffff0090bfd7c: ff430291  add	sp, sp, #0x90
0xfffffff0090bfd80: ff0f5fd6  retab	
0xfffffff0090bfd84: 08c68052  mov	w8, #0x630
0xfffffff0090bfd88: 491dff90  adrp	x9, #0xfffffff007467000
0xfffffff0090bfd8c: 29693f91  add	x9, x9, #0xfda
0xfffffff0090bfd90: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090bfd94: c81cffd0  adrp	x8, #0xfffffff007459000
0xfffffff0090bfd98: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090bfd9c: 4a1dffb0  adrp	x10, #0xfffffff007468000
0xfffffff0090bfda0: 4ad50691  add	x10, x10, #0x1b5
0xfffffff0090bfda4: 12000014  b	#0xfffffff0090bfdec
0xfffffff0090bfda8: 28c68052  mov	w8, #0x631
0xfffffff0090bfdac: 491dff90  adrp	x9, #0xfffffff007467000
0xfffffff0090bfdb0: 29693f91  add	x9, x9, #0xfda
0xfffffff0090bfdb4: e81300f9  str	x8, [sp, #0x20]
0xfffffff0090bfdb8: c81cffd0  adrp	x8, #0xfffffff007459000
0xfffffff0090bfdbc: 08b92d91  add	x8, x8, #0xb6e
0xfffffff0090bfdc0: 0a1dfff0  adrp	x10, #0xfffffff007462000
0xfffffff0090bfdc4: 4a6d2c91  add	x10, x10, #0xb1b
0xfffffff0090bfdc8: 09000014  b	#0xfffffff0090bfdec
0xfffffff0090bfdcc: 48c68052  mov	w8, #0x632
0xfffffff0090bfdd0: 491dff90  adrp	x9, #0xfffffff007467000
