; Candidate 9041
; ADRP+ADD at VM 0xfffffff008999ca4 (fileoff 0x1995ca4): page=0x1ff09f000 add_imm=0xda0

0xfffffff008999c24: fd430091  add	x29, sp, #0x10
0xfffffff008999c28: f30300aa  mov	x19, x0
0xfffffff008999c2c: 34ca0090  adrp	x20, #0xfffffff00a2dd000
0xfffffff008999c30: 94a20491  add	x20, x20, #0x128
0xfffffff008999c34: e10314aa  mov	x1, x20
0xfffffff008999c38: aca8e797  bl	#0xfffffff008383ee8
0xfffffff008999c3c: f084ff90  adrp	x16, #0xfffffff007a35000
0xfffffff008999c40: 10a23a91  add	x16, x16, #0xea8
0xfffffff008999c44: 10420091  add	x16, x16, #0x10
0xfffffff008999c48: f10300aa  mov	x17, x0
0xfffffff008999c4c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008999c50: 300ac1da  pacda	x16, x17
0xfffffff008999c54: 100000f9  str	x16, [x0]
0xfffffff008999c58: e8008052  mov	w8, #7
0xfffffff008999c5c: 089800b9  str	w8, [x0, #0x98]
0xfffffff008999c60: 4847ffd0  adrp	x8, #0xfffffff007283000
0xfffffff008999c64: 08410691  add	x8, x8, #0x190
0xfffffff008999c68: 0001c03d  ldr	q0, [x8]
0xfffffff008999c6c: 0080883c  stur	q0, [x0, #0x88]
0xfffffff008999c70: 1fa000b9  str	wzr, [x0, #0xa0]
0xfffffff008999c74: e00314aa  mov	x0, x20
0xfffffff008999c78: 2f2de597  bl	#0xfffffff0082e5134
0xfffffff008999c7c: e00313aa  mov	x0, x19
0xfffffff008999c80: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008999c84: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008999c88: ff0f5fd6  retab	
0xfffffff008999c8c: 7f2303d5  pacibsp	
0xfffffff008999c90: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff008999c94: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008999c98: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008999c9c: fd830091  add	x29, sp, #0x20
0xfffffff008999ca0: f40300aa  mov	x20, x0
0xfffffff008999ca4: e084fff0  adrp	x0, #0xfffffff007a38000
0xfffffff008999ca8: 00803691  add	x0, x0, #0xda0
0xfffffff008999cac: 014d8252  mov	w1, #0x1268
0xfffffff008999cb0: 6236e597  bl	#0xfffffff0082e7638
0xfffffff008999cb4: f30300aa  mov	x19, x0
0xfffffff008999cb8: 35ca0090  adrp	x21, #0xfffffff00a2dd000
0xfffffff008999cbc: b5a20491  add	x21, x21, #0x128
0xfffffff008999cc0: e10315aa  mov	x1, x21
0xfffffff008999cc4: 89a8e797  bl	#0xfffffff008383ee8
0xfffffff008999cc8: f084ff90  adrp	x16, #0xfffffff007a35000
0xfffffff008999ccc: 10a23a91  add	x16, x16, #0xea8
0xfffffff008999cd0: 10420091  add	x16, x16, #0x10
0xfffffff008999cd4: f10300aa  mov	x17, x0
0xfffffff008999cd8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008999cdc: 300ac1da  pacda	x16, x17
0xfffffff008999ce0: 100000f9  str	x16, [x0]
0xfffffff008999ce4: e8008052  mov	w8, #7
0xfffffff008999ce8: 089800b9  str	w8, [x0, #0x98]
0xfffffff008999cec: 4847ffd0  adrp	x8, #0xfffffff007283000
0xfffffff008999cf0: 08410691  add	x8, x8, #0x190
0xfffffff008999cf4: 0001c03d  ldr	q0, [x8]
0xfffffff008999cf8: 0080883c  stur	q0, [x0, #0x88]
0xfffffff008999cfc: 1fa000b9  str	wzr, [x0, #0xa0]
0xfffffff008999d00: e00315aa  mov	x0, x21
0xfffffff008999d04: 0c2de597  bl	#0xfffffff0082e5134
0xfffffff008999d08: 700240f9  ldr	x16, [x19]
0xfffffff008999d0c: f10313aa  mov	x17, x19
0xfffffff008999d10: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008999d14: 301ac1da  autda	x16, x17
0xfffffff008999d18: f10310aa  mov	x17, x16
0xfffffff008999d1c: f147c1da  xpacd	x17
0xfffffff008999d20: 1f0211eb  cmp	x16, x17
