; Candidate 3881
; ADRP+ADD at VM 0xfffffff00876c114 (fileoff 0x1768114): page=0x1fe9c5000 add_imm=0xd90

0xfffffff00876c094: 300ac1da  pacda	x16, x17
0xfffffff00876c098: 100000f9  str	x16, [x0]
0xfffffff00876c09c: c094ffb0  adrp	x0, #0xfffffff007a05000
0xfffffff00876c0a0: 00a00591  add	x0, x0, #0x168
0xfffffff00876c0a4: 14a9ef97  bl	#0xfffffff0083564f4
0xfffffff00876c0a8: 01008052  mov	w1, #0
0xfffffff00876c0ac: e20314aa  mov	x2, x20
0xfffffff00876c0b0: a1500094  bl	#0xfffffff008780334
0xfffffff00876c0b4: 60da02f9  str	x0, [x19, #0x5b0]
0xfffffff00876c0b8: 774fffd0  adrp	x23, #0xfffffff00715a000
0xfffffff00876c0bc: f7260391  add	x23, x23, #0xc9
0xfffffff00876c0c0: 600100b5  cbnz	x0, #0xfffffff00876c0ec
0xfffffff00876c0c4: c8058052  mov	w8, #0x2e
0xfffffff00876c0c8: f72300a9  stp	x23, x8, [sp]
0xfffffff00876c0cc: 204effb0  adrp	x0, #0xfffffff007131000
0xfffffff00876c0d0: 00403691  add	x0, x0, #0xd90
0xfffffff00876c0d4: 8194ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876c0d8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876c0dc: a34efff0  adrp	x3, #0xfffffff007143000
0xfffffff00876c0e0: 63ac1b91  add	x3, x3, #0x6eb
0xfffffff00876c0e4: 02008052  mov	w2, #0
0xfffffff00876c0e8: 121cef97  bl	#0xfffffff008333130
0xfffffff00876c0ec: 08008652  mov	w8, #0x3000
0xfffffff00876c0f0: 689600f9  str	x8, [x19, #0x128]
0xfffffff00876c0f4: c094fff0  adrp	x0, #0xfffffff007a07000
0xfffffff00876c0f8: 00e01691  add	x0, x0, #0x5b8
0xfffffff00876c0fc: 01009852  mov	w1, #0xc000
0xfffffff00876c100: 34abef97  bl	#0xfffffff008356dd0
0xfffffff00876c104: 609200f9  str	x0, [x19, #0x120]
0xfffffff00876c108: 600100b5  cbnz	x0, #0xfffffff00876c134
0xfffffff00876c10c: a8068052  mov	w8, #0x35
0xfffffff00876c110: f72300a9  stp	x23, x8, [sp]
0xfffffff00876c114: 204effb0  adrp	x0, #0xfffffff007131000
0xfffffff00876c118: 00403691  add	x0, x0, #0xd90
0xfffffff00876c11c: 8194ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00876c120: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876c124: a34efff0  adrp	x3, #0xfffffff007143000
0xfffffff00876c128: 63781c91  add	x3, x3, #0x71e
0xfffffff00876c12c: 02008052  mov	w2, #0
0xfffffff00876c130: 001cef97  bl	#0xfffffff008333130
0xfffffff00876c134: 18268052  mov	w24, #0x130
0xfffffff00876c138: 344effb0  adrp	x20, #0xfffffff007131000
0xfffffff00876c13c: 94423691  add	x20, x20, #0xd90
0xfffffff00876c140: 9594ffb0  adrp	x21, #0xfffffff0079fd000
0xfffffff00876c144: b5de41f9  ldr	x21, [x21, #0x3b8]
0xfffffff00876c148: b64efff0  adrp	x22, #0xfffffff007143000
0xfffffff00876c14c: d6461d91  add	x22, x22, #0x751
0xfffffff00876c150: 1fc304f1  cmp	x24, #0x130
0xfffffff00876c154: e1000054  b.ne	#0xfffffff00876c170
0xfffffff00876c158: f77f00a9  stp	x23, xzr, [sp]
0xfffffff00876c15c: e00314aa  mov	x0, x20
0xfffffff00876c160: e10315aa  mov	x1, x21
0xfffffff00876c164: 02008052  mov	w2, #0
0xfffffff00876c168: e30316aa  mov	x3, x22
0xfffffff00876c16c: f11bef97  bl	#0xfffffff008333130
0xfffffff00876c170: 60d242f9  ldr	x0, [x19, #0x5a0]
0xfffffff00876c174: 6302188b  add	x3, x19, x24
0xfffffff00876c178: 01988652  mov	w1, #0x34c0
0xfffffff00876c17c: 6101a072  movk	w1, #0xb, lsl #16
0xfffffff00876c180: 42008052  mov	w2, #2
0xfffffff00876c184: ba64ff97  bl	#0xfffffff00874546c
0xfffffff00876c188: 18230291  add	x24, x24, #0x88
0xfffffff00876c18c: 1fc315f1  cmp	x24, #0x570
0xfffffff00876c190: 01feff54  b.ne	#0xfffffff00876c150
