; Candidate 6463
; ADRP+ADD at VM 0xfffffff00882cc90 (fileoff 0x1828c90): page=0x1fe9bd000 add_imm=0xe80

0xfffffff00882cc10: 00050034  cbz	w0, #0xfffffff00882ccb0
0xfffffff00882cc14: 400f8052  mov	w0, #0x7a
0xfffffff00882cc18: 003b0194  bl	#0xfffffff00887b818
0xfffffff00882cc1c: f70300aa  mov	x23, x0
0xfffffff00882cc20: 631d0294  bl	#0xfffffff0088b41ac
0xfffffff00882cc24: f60300aa  mov	x22, x0
0xfffffff00882cc28: e0008052  mov	w0, #7
0xfffffff00882cc2c: 093b0194  bl	#0xfffffff00887b850
0xfffffff00882cc30: 97010034  cbz	w23, #0xfffffff00882cc60
0xfffffff00882cc34: f4d702a9  stp	x20, x21, [sp, #0x28]
0xfffffff00882cc38: a84fffd0  adrp	x8, #0xfffffff007222000
0xfffffff00882cc3c: 08dd1191  add	x8, x8, #0x477
0xfffffff00882cc40: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00882cc44: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00882cc48: 480f8052  mov	w8, #0x7a
0xfffffff00882cc4c: 204ffff0  adrp	x0, #0xfffffff007213000
0xfffffff00882cc50: 00b43791  add	x0, x0, #0xded
0xfffffff00882cc54: f62300a9  stp	x22, x8, [sp]
0xfffffff00882cc58: 022ad697  bl	#0xfffffff007db7460
0xfffffff00882cc5c: 15000014  b	#0xfffffff00882ccb0
0xfffffff00882cc60: 531d0294  bl	#0xfffffff0088b41ac
0xfffffff00882cc64: f60300aa  mov	x22, x0
0xfffffff00882cc68: e0008052  mov	w0, #7
0xfffffff00882cc6c: f93a0194  bl	#0xfffffff00887b850
0xfffffff00882cc70: e80315aa  mov	x8, x21
0xfffffff00882cc74: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff00882cc78: a84fffd0  adrp	x8, #0xfffffff007222000
0xfffffff00882cc7c: 08dd1191  add	x8, x8, #0x477
0xfffffff00882cc80: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff00882cc84: 480f8052  mov	w8, #0x7a
0xfffffff00882cc88: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00882cc8c: f60300f9  str	x22, [sp]
0xfffffff00882cc90: e04dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882cc94: 00003a91  add	x0, x0, #0xe80
0xfffffff00882cc98: e18eff90  adrp	x1, #0xfffffff007a08000
0xfffffff00882cc9c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882cca0: 0351ff90  adrp	x3, #0xfffffff00724c000
0xfffffff00882cca4: 63141d91  add	x3, x3, #0x745
0xfffffff00882cca8: 02008052  mov	w2, #0
0xfffffff00882ccac: 2119ec97  bl	#0xfffffff008333130
0xfffffff00882ccb0: a8835cf8  ldur	x8, [x29, #-0x38]
0xfffffff00882ccb4: e98eff90  adrp	x9, #0xfffffff007a08000
0xfffffff00882ccb8: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff00882ccbc: 290140f9  ldr	x9, [x9]
0xfffffff00882ccc0: 3f0108eb  cmp	x9, x8
0xfffffff00882ccc4: 41030054  b.ne	#0xfffffff00882cd2c
0xfffffff00882ccc8: e00315aa  mov	x0, x21
0xfffffff00882cccc: fd7b57a9  ldp	x29, x30, [sp, #0x170]
0xfffffff00882ccd0: f44f56a9  ldp	x20, x19, [sp, #0x160]
0xfffffff00882ccd4: f65755a9  ldp	x22, x21, [sp, #0x150]
0xfffffff00882ccd8: f85f54a9  ldp	x24, x23, [sp, #0x140]
0xfffffff00882ccdc: ff030691  add	sp, sp, #0x180
0xfffffff00882cce0: ff0f5fd6  retab	
0xfffffff00882cce4: 484effd0  adrp	x8, #0xfffffff0071f6000
0xfffffff00882cce8: 0095c33d  ldr	q0, [x8, #0xe50]
0xfffffff00882ccec: e043843c  stur	q0, [sp, #0x44]
0xfffffff00882ccf0: 681240f9  ldr	x8, [x19, #0x20]
0xfffffff00882ccf4: 692240f9  ldr	x9, [x19, #0x40]
0xfffffff00882ccf8: 2801088b  add	x8, x9, x8
0xfffffff00882ccfc: 693240f9  ldr	x9, [x19, #0x60]
0xfffffff00882cd00: 6a4240f9  ldr	x10, [x19, #0x80]
0xfffffff00882cd04: 4901098b  add	x9, x10, x9
0xfffffff00882cd08: 1f0109eb  cmp	x8, x9
0xfffffff00882cd0c: ad000054  b.le	#0xfffffff00882cd20
