; Candidate 3785
; ADRP+ADD at VM 0xfffffff00875c2ac (fileoff 0x17582ac): page=0x1fe9d5000 add_imm=0xd90

0xfffffff00875c22c: a0033cad  stp	q0, q0, [x29, #-0x80]
0xfffffff00875c230: a0039a3c  stur	q0, [x29, #-0x60]
0xfffffff00875c234: e08300ad  stp	q0, q0, [sp, #0x10]
0xfffffff00875c238: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff00875c23c: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff00875c240: e08303ad  stp	q0, q0, [sp, #0x70]
0xfffffff00875c244: ff4b00f9  str	xzr, [sp, #0x90]
0xfffffff00875c248: b70318b8  stur	w23, [x29, #-0x80]
0xfffffff00875c24c: a98318f8  stur	x9, [x29, #-0x78]
0xfffffff00875c250: 69008052  mov	w9, #3
0xfffffff00875c254: a94319b8  stur	w9, [x29, #-0x6c]
0xfffffff00875c258: b6d339a9  stp	x22, x20, [x29, #-0x68]
0xfffffff00875c25c: a8831a38  sturb	w8, [x29, #-0x58]
0xfffffff00875c260: b5931a38  sturb	w21, [x29, #-0x57]
0xfffffff00875c264: a10302d1  sub	x1, x29, #0x80
0xfffffff00875c268: e2430091  add	x2, sp, #0x10
0xfffffff00875c26c: 34e80094  bl	#0xfffffff00879633c
0xfffffff00875c270: f40300aa  mov	x20, x0
0xfffffff00875c274: e0020034  cbz	w0, #0xfffffff00875c2d0
0xfffffff00875c278: 417b78f8  ldr	x1, [x26, x24, lsl #3]
0xfffffff00875c27c: 5f7b38f8  str	xzr, [x26, x24, lsl #3]
0xfffffff00875c280: 4095ff90  adrp	x0, #0xfffffff007a04000
0xfffffff00875c284: 00a03691  add	x0, x0, #0xda8
0xfffffff00875c288: 21e9ef97  bl	#0xfffffff00835670c
0xfffffff00875c28c: 5f7b38f8  str	xzr, [x26, x24, lsl #3]
0xfffffff00875c290: c8578052  mov	w8, #0x2be
0xfffffff00875c294: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff00875c298: 9f02086b  cmp	w20, w8
0xfffffff00875c29c: c0030054  b.eq	#0xfffffff00875c314
0xfffffff00875c2a0: e84fffb0  adrp	x8, #0xfffffff007159000
0xfffffff00875c2a4: 08512791  add	x8, x8, #0x9d4
0xfffffff00875c2a8: e80300f9  str	x8, [sp]
0xfffffff00875c2ac: a04effb0  adrp	x0, #0xfffffff007131000
0xfffffff00875c2b0: 00403691  add	x0, x0, #0xd90
0xfffffff00875c2b4: 0195ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00875c2b8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00875c2bc: 234fffb0  adrp	x3, #0xfffffff007141000
0xfffffff00875c2c0: 63f43d91  add	x3, x3, #0xf7d
0xfffffff00875c2c4: 02008052  mov	w2, #0
0xfffffff00875c2c8: 9a5bef97  bl	#0xfffffff008333130
0xfffffff00875c2cc: 12000014  b	#0xfffffff00875c314
0xfffffff00875c2d0: e00743ad  ldp	q0, q1, [sp, #0x60]
0xfffffff00875c2d4: e223c03d  ldr	q2, [sp, #0x80]
0xfffffff00875c2d8: e84b40f9  ldr	x8, [sp, #0x90]
0xfffffff00875c2dc: 684600f9  str	x8, [x19, #0x88]
0xfffffff00875c2e0: e307c03d  ldr	q3, [sp, #0x10]
0xfffffff00875c2e4: 6382803c  stur	q3, [x19, #8]
0xfffffff00875c2e8: e31341ad  ldp	q3, q4, [sp, #0x20]
0xfffffff00875c2ec: e51b42ad  ldp	q5, q6, [sp, #0x40]
0xfffffff00875c2f0: 6682843c  stur	q6, [x19, #0x48]
0xfffffff00875c2f4: 6582833c  stur	q5, [x19, #0x38]
0xfffffff00875c2f8: 6482823c  stur	q4, [x19, #0x28]
0xfffffff00875c2fc: 6382813c  stur	q3, [x19, #0x18]
0xfffffff00875c300: 6282873c  stur	q2, [x19, #0x78]
0xfffffff00875c304: 6182863c  stur	q1, [x19, #0x68]
0xfffffff00875c308: 6082853c  stur	q0, [x19, #0x58]
0xfffffff00875c30c: 487b78f8  ldr	x8, [x26, x24, lsl #3]
0xfffffff00875c310: 1f0500f9  str	xzr, [x8, #8]
0xfffffff00875c314: e00314aa  mov	x0, x20
0xfffffff00875c318: fd7b52a9  ldp	x29, x30, [sp, #0x120]
0xfffffff00875c31c: f44f51a9  ldp	x20, x19, [sp, #0x110]
0xfffffff00875c320: f65750a9  ldp	x22, x21, [sp, #0x100]
0xfffffff00875c324: f85f4fa9  ldp	x24, x23, [sp, #0xf0]
0xfffffff00875c328: fa674ea9  ldp	x26, x25, [sp, #0xe0]
