; Candidate 3205
; ADRP+ADD at VM 0xfffffff00871c21c (fileoff 0x171821c): page=0x1fea15000 add_imm=0xd90

0xfffffff00871c19c: 09008052  mov	w9, #0
0xfffffff00871c1a0: 10000014  b	#0xfffffff00871c1e0
0xfffffff00871c1a4: 683640f9  ldr	x8, [x19, #0x68]
0xfffffff00871c1a8: 69a640b9  ldr	w9, [x19, #0xa4]
0xfffffff00871c1ac: 29090011  add	w9, w9, #2
0xfffffff00871c1b0: 69a600b9  str	w9, [x19, #0xa4]
0xfffffff00871c1b4: 15fd7ed3  lsr	x21, x8, #0x3e
0xfffffff00871c1b8: 56008052  mov	w22, #2
0xfffffff00871c1bc: e00313aa  mov	x0, x19
0xfffffff00871c1c0: 41008052  mov	w1, #2
0xfffffff00871c1c4: 02008052  mov	w2, #0
0xfffffff00871c1c8: 2efcff97  bl	#0xfffffff00871b280
0xfffffff00871c1cc: bf0e00f1  cmp	x21, #3
0xfffffff00871c1d0: c802951a  csel	w8, w22, w21, eq
0xfffffff00871c1d4: e8b60579  strh	w8, [x23, #0x2da]
0xfffffff00871c1d8: e9b24579  ldrh	w9, [x23, #0x2d8]
0xfffffff00871c1dc: e8325e79  ldrh	w8, [x23, #0xf18]
0xfffffff00871c1e0: 0801090b  add	w8, w8, w9
0xfffffff00871c1e4: 093d0012  and	w9, w8, #0xffff
0xfffffff00871c1e8: e8361e79  strh	w8, [x23, #0xf1a]
0xfffffff00871c1ec: 3f053071  cmp	w9, #0xc01
0xfffffff00871c1f0: 83020054  b.lo	#0xfffffff00871c240
0xfffffff00871c1f4: 09808152  mov	w9, #0xc00
0xfffffff00871c1f8: ff2702a9  stp	xzr, x9, [sp, #0x20]
0xfffffff00871c1fc: c951ffb0  adrp	x9, #0xfffffff007155000
0xfffffff00871c200: 29e53191  add	x9, x9, #0xc79
0xfffffff00871c204: 4a6e8052  mov	w10, #0x372
0xfffffff00871c208: cb51ffb0  adrp	x11, #0xfffffff007155000
0xfffffff00871c20c: 6bf52c91  add	x11, x11, #0xb3d
0xfffffff00871c210: eb2b00a9  stp	x11, x10, [sp]
0xfffffff00871c214: 083d4092  and	x8, x8, #0xffff
0xfffffff00871c218: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff00871c21c: a050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00871c220: 00403691  add	x0, x0, #0xd90
0xfffffff00871c224: 0197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871c228: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871c22c: e350ffb0  adrp	x3, #0xfffffff007139000
0xfffffff00871c230: 63bc0591  add	x3, x3, #0x16f
0xfffffff00871c234: 02008052  mov	w2, #0
0xfffffff00871c238: be5bf097  bl	#0xfffffff008333130
0xfffffff00871c23c: a8fdff17  b	#0xfffffff00871b8dc
0xfffffff00871c240: e10314aa  mov	x1, x20
0xfffffff00871c244: 8c050094  bl	#0xfffffff00871d874
0xfffffff00871c248: a0b4ff34  cbz	w0, #0xfffffff00871b8dc
0xfffffff00871c24c: e8365e79  ldrh	w8, [x23, #0xf1a]
0xfffffff00871c250: 0805088b  add	x8, x8, x8, lsl #1
0xfffffff00871c254: 00f57ed3  lsl	x0, x8, #2
0xfffffff00871c258: b7eaf097  bl	#0xfffffff008356d34
0xfffffff00871c25c: e00a01f9  str	x0, [x23, #0x210]
0xfffffff00871c260: e0b3ffb4  cbz	x0, #0xfffffff00871b8dc
0xfffffff00871c264: e8365e79  ldrh	w8, [x23, #0xf1a]
0xfffffff00871c268: 01f17dd3  lsl	x1, x8, #3
0xfffffff00871c26c: 4097ffd0  adrp	x0, #0xfffffff007a06000
0xfffffff00871c270: 00e02491  add	x0, x0, #0x938
0xfffffff00871c274: d7eaf097  bl	#0xfffffff008356dd0
0xfffffff00871c278: e00e01f9  str	x0, [x23, #0x218]
0xfffffff00871c27c: 00b3ffb4  cbz	x0, #0xfffffff00871b8dc
0xfffffff00871c280: e8365e79  ldrh	w8, [x23, #0xf1a]
0xfffffff00871c284: 08020034  cbz	w8, #0xfffffff00871c2c4
0xfffffff00871c288: 160080d2  mov	x22, #0
0xfffffff00871c28c: 880e40b9  ldr	w8, [x20, #0xc]
0xfffffff00871c290: 08050011  add	w8, w8, #1
0xfffffff00871c294: 007d7dd3  ubfiz	x0, x8, #3, #0x20
0xfffffff00871c298: a7eaf097  bl	#0xfffffff008356d34
