; Candidate 4416
; ADRP+ADD at VM 0xfffffff0087afe60 (fileoff 0x17abe60): page=0x1fe982000 add_imm=0xd90

0xfffffff0087afde0: 6851ff90  adrp	x8, #0xfffffff0071db000
0xfffffff0087afde4: 01e941fd  ldr	d1, [x8, #0x3d0]
0xfffffff0087afde8: 0000010e  tbl	v0.8b, {v0.16b}, v1.8b
0xfffffff0087afdec: 204101fc  stur	d0, [x9, #0x14]
0xfffffff0087afdf0: 800640fd  ldr	d0, [x20, #8]
0xfffffff0087afdf4: 201100fd  str	d0, [x9, #0x20]
0xfffffff0087afdf8: 881240b9  ldr	w8, [x20, #0x10]
0xfffffff0087afdfc: 282900b9  str	w8, [x9, #0x28]
0xfffffff0087afe00: 88724039  ldrb	w8, [x20, #0x1c]
0xfffffff0087afe04: 28e10139  strb	w8, [x9, #0x78]
0xfffffff0087afe08: 600240f9  ldr	x0, [x19]
0xfffffff0087afe0c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0087afe10: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0087afe14: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0087afe18: ff430191  add	sp, sp, #0x50
0xfffffff0087afe1c: ff2303d5  autibsp	
0xfffffff0087afe20: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0087afe24: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0087afe2c
0xfffffff0087afe28: 208e38d4  brk	#0xc471
0xfffffff0087afe2c: 44f2d717  b	#0xfffffff007dac73c
0xfffffff0087afe30: 7f2303d5  pacibsp	
0xfffffff0087afe34: ffc300d1  sub	sp, sp, #0x30
0xfffffff0087afe38: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0087afe3c: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0087afe40: fd830091  add	x29, sp, #0x20
0xfffffff0087afe44: f30301aa  mov	x19, x1
0xfffffff0087afe48: 3f140071  cmp	w1, #5
0xfffffff0087afe4c: a3010054  b.lo	#0xfffffff0087afe80
0xfffffff0087afe50: 684dffd0  adrp	x8, #0xfffffff00715d000
0xfffffff0087afe54: 08712691  add	x8, x8, #0x99c
0xfffffff0087afe58: e903132a  mov	w9, w19
0xfffffff0087afe5c: e82700a9  stp	x8, x9, [sp]
0xfffffff0087afe60: 004cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087afe64: 00403691  add	x0, x0, #0xd90
0xfffffff0087afe68: 6192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087afe6c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087afe70: e34cff90  adrp	x3, #0xfffffff00714b000
0xfffffff0087afe74: 637c1c91  add	x3, x3, #0x71f
0xfffffff0087afe78: 02008052  mov	w2, #0
0xfffffff0087afe7c: ad0cee97  bl	#0xfffffff008333130
0xfffffff0087afe80: 7f160071  cmp	w19, #5
0xfffffff0087afe84: e0279f1a  cset	w0, lo
0xfffffff0087afe88: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0087afe8c: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0087afe90: ffc30091  add	sp, sp, #0x30
0xfffffff0087afe94: ff0f5fd6  retab	
0xfffffff0087afe98: 7f2303d5  pacibsp	
0xfffffff0087afe9c: ffc300d1  sub	sp, sp, #0x30
0xfffffff0087afea0: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0087afea4: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0087afea8: fd830091  add	x29, sp, #0x20
0xfffffff0087afeac: f30301aa  mov	x19, x1
0xfffffff0087afeb0: 3f1c0071  cmp	w1, #7
0xfffffff0087afeb4: 83010054  b.lo	#0xfffffff0087afee4
0xfffffff0087afeb8: 684dffd0  adrp	x8, #0xfffffff00715d000
0xfffffff0087afebc: 08e92691  add	x8, x8, #0x9ba
0xfffffff0087afec0: e84f00a9  stp	x8, x19, [sp]
0xfffffff0087afec4: 004cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087afec8: 00403691  add	x0, x0, #0xd90
0xfffffff0087afecc: 6192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087afed0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087afed4: e34cff90  adrp	x3, #0xfffffff00714b000
0xfffffff0087afed8: 63581e91  add	x3, x3, #0x796
0xfffffff0087afedc: 02008052  mov	w2, #0
