; Candidate 12333
; ADRP+ADD at VM 0xfffffff00908ae7c (fileoff 0x2086e7c): page=0x1fe3cf000 add_imm=0xe24

0xfffffff00908adfc: e8024039  ldrb	w8, [x23]
0xfffffff00908ae00: 951efff0  adrp	x21, #0xfffffff00745d000
0xfffffff00908ae04: b5f62091  add	x21, x21, #0x83d
0xfffffff00908ae08: 761efff0  adrp	x22, #0xfffffff007459000
0xfffffff00908ae0c: d62e3f91  add	x22, x22, #0xfcb
0xfffffff00908ae10: 1f290071  cmp	w8, #0xa
0xfffffff00908ae14: a8000054  b.hi	#0xfffffff00908ae28
0xfffffff00908ae18: f65700a9  stp	x22, x21, [sp]
0xfffffff00908ae1c: 601efff0  adrp	x0, #0xfffffff007459000
0xfffffff00908ae20: 00583191  add	x0, x0, #0xc56
0xfffffff00908ae24: 7f30cb97  bl	#0xfffffff008357020
0xfffffff00908ae28: f40300b4  cbz	x20, #0xfffffff00908aea4
0xfffffff00908ae2c: e00313aa  mov	x0, x19
0xfffffff00908ae30: 01058052  mov	w1, #0x28
0xfffffff00908ae34: e20314aa  mov	x2, x20
0xfffffff00908ae38: 3b000094  bl	#0xfffffff00908af24
0xfffffff00908ae3c: 601640f9  ldr	x0, [x19, #0x28]
0xfffffff00908ae40: 622a0191  add	x2, x19, #0x4a
0xfffffff00908ae44: 81008052  mov	w1, #4
0xfffffff00908ae48: e3008052  mov	w3, #7
0xfffffff00908ae4c: 24008052  mov	w4, #1
0xfffffff00908ae50: ba440094  bl	#0xfffffff00909c138
0xfffffff00908ae54: f30300aa  mov	x19, x0
0xfffffff00908ae58: 60040035  cbnz	w0, #0xfffffff00908aee4
0xfffffff00908ae5c: 48018052  mov	w8, #0xa
0xfffffff00908ae60: e9024039  ldrb	w9, [x23]
0xfffffff00908ae64: 1f01096b  cmp	w8, w9
0xfffffff00908ae68: 03010054  b.lo	#0xfffffff00908ae88
0xfffffff00908ae6c: e80313aa  mov	x8, x19
0xfffffff00908ae70: 087d4093  sxtw	x8, w8
0xfffffff00908ae74: f65700a9  stp	x22, x21, [sp]
0xfffffff00908ae78: e80b00f9  str	x8, [sp, #0x10]
0xfffffff00908ae7c: 601efff0  adrp	x0, #0xfffffff007459000
0xfffffff00908ae80: 00903891  add	x0, x0, #0xe24
0xfffffff00908ae84: 6730cb97  bl	#0xfffffff008357020
0xfffffff00908ae88: e00313aa  mov	x0, x19
0xfffffff00908ae8c: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00908ae90: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00908ae94: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff00908ae98: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff00908ae9c: ffc30191  add	sp, sp, #0x70
0xfffffff00908aea0: ff0f5fd6  retab	
0xfffffff00908aea4: 28088252  mov	w8, #0x1041
0xfffffff00908aea8: 691efff0  adrp	x9, #0xfffffff007459000
0xfffffff00908aeac: 29493f91  add	x9, x9, #0xfd2
0xfffffff00908aeb0: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff00908aeb4: 681efff0  adrp	x8, #0xfffffff007459000
0xfffffff00908aeb8: 08b92d91  add	x8, x8, #0xb6e
0xfffffff00908aebc: 8a1efff0  adrp	x10, #0xfffffff00745d000
0xfffffff00908aec0: 4a252191  add	x10, x10, #0x849
0xfffffff00908aec4: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff00908aec8: ea0300f9  str	x10, [sp]
0xfffffff00908aecc: 601efff0  adrp	x0, #0xfffffff007459000
0xfffffff00908aed0: 00d42c91  add	x0, x0, #0xb35
0xfffffff00908aed4: 5330cb97  bl	#0xfffffff008357020
0xfffffff00908aed8: c8088052  mov	w8, #0x46
0xfffffff00908aedc: 53008012  mov	w19, #-3
0xfffffff00908aee0: e0ffff17  b	#0xfffffff00908ae60
0xfffffff00908aee4: 687e4093  sxtw	x8, w19
0xfffffff00908aee8: c9088252  mov	w9, #0x1046
0xfffffff00908aeec: 6a1efff0  adrp	x10, #0xfffffff007459000
0xfffffff00908aef0: 4a493f91  add	x10, x10, #0xfd2
0xfffffff00908aef4: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff00908aef8: 691efff0  adrp	x9, #0xfffffff007459000
