; Candidate 16545
; ADRP+ADD at VM 0xfffffff009eda6a8 (fileoff 0x2ed66a8): page=0x1fd97d000 add_imm=0xe74

0xfffffff009eda628: e83f40b9  ldr	w8, [sp, #0x3c]
0xfffffff009eda62c: c8010037  tbnz	w8, #0, #0xfffffff009eda664
0xfffffff009eda630: 083e8452  mov	w8, #0x21f0
0xfffffff009eda634: 6802088b  add	x8, x19, x8
0xfffffff009eda638: c90640f9  ldr	x9, [x22, #8]
0xfffffff009eda63c: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff009eda640: 68cbfed0  adrp	x8, #0xfffffff007848000
0xfffffff009eda644: 086d2591  add	x8, x8, #0x95b
0xfffffff009eda648: 89208852  mov	w9, #0x4104
0xfffffff009eda64c: e82700a9  stp	x8, x9, [sp]
0xfffffff009eda650: 60cbfed0  adrp	x0, #0xfffffff007848000
0xfffffff009eda654: 00b82891  add	x0, x0, #0xa2e
0xfffffff009eda658: 9b94fe97  bl	#0xfffffff009e7f8c4
0xfffffff009eda65c: da018052  mov	w26, #0xe
0xfffffff009eda660: 15000014  b	#0xfffffff009eda6b4
0xfffffff009eda664: e81640f9  ldr	x8, [x23, #0x28]
0xfffffff009eda668: 810740f9  ldr	x1, [x28, #8]
0xfffffff009eda66c: 1f0118eb  cmp	x8, x24
0xfffffff009eda670: f5d342a9  ldp	x21, x20, [sp, #0x28]
0xfffffff009eda674: 40020054  b.eq	#0xfffffff009eda6bc
0xfffffff009eda678: e00315aa  mov	x0, x21
0xfffffff009eda67c: e20314aa  mov	x2, x20
0xfffffff009eda680: 8f9d7f97  bl	#0xfffffff007ec1cbc
0xfffffff009eda684: 12000014  b	#0xfffffff009eda6cc
0xfffffff009eda688: fa0300aa  mov	x26, x0
0xfffffff009eda68c: 083e8452  mov	w8, #0x21f0
0xfffffff009eda690: 6802088b  add	x8, x19, x8
0xfffffff009eda694: 0a1d8852  mov	w10, #0x40e8
0xfffffff009eda698: 69cbfed0  adrp	x9, #0xfffffff007848000
0xfffffff009eda69c: 296d2591  add	x9, x9, #0x95b
0xfffffff009eda6a0: e92b00a9  stp	x9, x10, [sp]
0xfffffff009eda6a4: e86b01a9  stp	x8, x26, [sp, #0x10]
0xfffffff009eda6a8: e0cbfeb0  adrp	x0, #0xfffffff007857000
0xfffffff009eda6ac: 00d03991  add	x0, x0, #0xe74
0xfffffff009eda6b0: 8594fe97  bl	#0xfffffff009e7f8c4
0xfffffff009eda6b4: f5d342a9  ldp	x21, x20, [sp, #0x28]
0xfffffff009eda6b8: 06000014  b	#0xfffffff009eda6d0
0xfffffff009eda6bc: e00301aa  mov	x0, x1
0xfffffff009eda6c0: e10315aa  mov	x1, x21
0xfffffff009eda6c4: e20314aa  mov	x2, x20
0xfffffff009eda6c8: b2c87997  bl	#0xfffffff007d4c990
0xfffffff009eda6cc: 1a008052  mov	w26, #0
0xfffffff009eda6d0: d62700d0  adrp	x22, #0xfffffff00a3d4000
0xfffffff009eda6d4: d6222a91  add	x22, x22, #0xa88
0xfffffff009eda6d8: e00313aa  mov	x0, x19
0xfffffff009eda6dc: ed8bfe97  bl	#0xfffffff009e7d690
0xfffffff009eda6e0: e8048092  mov	x8, #-0x28
0xfffffff009eda6e4: 687f089b  mul	x8, x27, x8
0xfffffff009eda6e8: c80228f8  ldadd	x8, x8, [x22]
0xfffffff009eda6ec: e00315aa  mov	x0, x21
0xfffffff009eda6f0: e10314aa  mov	x1, x20
0xfffffff009eda6f4: a3f19197  bl	#0xfffffff008356d80
0xfffffff009eda6f8: c0ffff17  b	#0xfffffff009eda5f8
0xfffffff009eda6fc: 7f2303d5  pacibsp	
0xfffffff009eda700: ffc301d1  sub	sp, sp, #0x70
0xfffffff009eda704: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff009eda708: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff009eda70c: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff009eda710: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff009eda714: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff009eda718: fd830191  add	x29, sp, #0x60
0xfffffff009eda71c: f30300aa  mov	x19, x0
0xfffffff009eda720: 08c041f9  ldr	x8, [x0, #0x380]
0xfffffff009eda724: 680000b5  cbnz	x8, #0xfffffff009eda730
