; Candidate 3780
; ADRP+ADD at VM 0xfffffff00875bcac (fileoff 0x1757cac): page=0x1fe9d6000 add_imm=0xd90

0xfffffff00875bc2c: e87e60b3  bfi	x8, x23, #0x20, #0x20
0xfffffff00875bc30: a80200f9  str	x8, [x21]
0xfffffff00875bc34: d00240f9  ldr	x16, [x22]
0xfffffff00875bc38: f10316aa  mov	x17, x22
0xfffffff00875bc3c: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff00875bc40: 301ac1da  autda	x16, x17
0xfffffff00875bc44: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00875bc48: e90310aa  mov	x9, x16
0xfffffff00875bc4c: 01031d32  orr	w1, w24, #8
0xfffffff00875bc50: e00316aa  mov	x0, x22
0xfffffff00875bc54: f10309aa  mov	x17, x9
0xfffffff00875bc58: f109f5f2  movk	x17, #0xa84f, lsl #48
0xfffffff00875bc5c: 11093fd7  blraa	x8, x17
0xfffffff00875bc60: 80020079  strh	w0, [x20]
0xfffffff00875bc64: d00240f9  ldr	x16, [x22]
0xfffffff00875bc68: f10316aa  mov	x17, x22
0xfffffff00875bc6c: b1a6f3f2  movk	x17, #0x9d35, lsl #48
0xfffffff00875bc70: 301ac1da  autda	x16, x17
0xfffffff00875bc74: 088e41f8  ldr	x8, [x16, #0x18]!
0xfffffff00875bc78: e90310aa  mov	x9, x16
0xfffffff00875bc7c: 01330011  add	w1, w24, #0xc
0xfffffff00875bc80: e00316aa  mov	x0, x22
0xfffffff00875bc84: f10309aa  mov	x17, x9
0xfffffff00875bc88: f109f5f2  movk	x17, #0xa84f, lsl #48
0xfffffff00875bc8c: 11093fd7  blraa	x8, x17
0xfffffff00875bc90: 600200b9  str	w0, [x19]
0xfffffff00875bc94: 88024079  ldrh	w8, [x20]
0xfffffff00875bc98: a90240f9  ldr	x9, [x21]
0xfffffff00875bc9c: e80301a9  stp	x8, x0, [sp, #0x10]
0xfffffff00875bca0: e84fffd0  adrp	x8, #0xfffffff007159000
0xfffffff00875bca4: 08c12691  add	x8, x8, #0x9b0
0xfffffff00875bca8: e82700a9  stp	x8, x9, [sp]
0xfffffff00875bcac: a04effd0  adrp	x0, #0xfffffff007131000
0xfffffff00875bcb0: 00403691  add	x0, x0, #0xd90
0xfffffff00875bcb4: 0195ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff00875bcb8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00875bcbc: 234fffd0  adrp	x3, #0xfffffff007141000
0xfffffff00875bcc0: 63c83b91  add	x3, x3, #0xef2
0xfffffff00875bcc4: 02008052  mov	w2, #0
0xfffffff00875bcc8: 1a5def97  bl	#0xfffffff008333130
0xfffffff00875bccc: 00008052  mov	w0, #0
0xfffffff00875bcd0: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff00875bcd4: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff00875bcd8: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff00875bcdc: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff00875bce0: ff830191  add	sp, sp, #0x60
0xfffffff00875bce4: ff0f5fd6  retab	
0xfffffff00875bce8: 7f2303d5  pacibsp	
0xfffffff00875bcec: ff0301d1  sub	sp, sp, #0x40
0xfffffff00875bcf0: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00875bcf4: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00875bcf8: fdc30091  add	x29, sp, #0x30
0xfffffff00875bcfc: f30302aa  mov	x19, x2
0xfffffff00875bd00: f40301aa  mov	x20, x1
0xfffffff00875bd04: 880080d2  mov	x8, #4
0xfffffff00875bd08: 4805a1f2  movk	x8, #0x82a, lsl #16
0xfffffff00875bd0c: 6800c0f2  movk	x8, #3, lsl #32
0xfffffff00875bd10: 00110091  add	x0, x8, #4
0xfffffff00875bd14: 55250094  bl	#0xfffffff008765268
0xfffffff00875bd18: 800200b9  str	w0, [x20]
0xfffffff00875bd1c: 800080d2  mov	x0, #4
0xfffffff00875bd20: 4005a1f2  movk	x0, #0x82a, lsl #16
0xfffffff00875bd24: 6000c0f2  movk	x0, #3, lsl #32
0xfffffff00875bd28: 50250094  bl	#0xfffffff008765268
