; Candidate 16753
; ADRP+ADD at VM 0xfffffff009f454a8 (fileoff 0x2f414a8): page=0x1fd91d000 add_imm=0xe29

0xfffffff009f45428: 510f86d2  mov	x17, #0x307a
0xfffffff009f4542c: 11093fd7  blraa	x8, x17
0xfffffff009f45430: e0031baa  mov	x0, x27
0xfffffff009f45434: a6997997  bl	#0xfffffff007dabacc
0xfffffff009f45438: a80356f8  ldur	x8, [x29, #-0xa0]
0xfffffff009f4543c: 1f010079  strh	wzr, [x8]
0xfffffff009f45440: e04f40f9  ldr	x0, [sp, #0x98]
0xfffffff009f45444: 08004039  ldrb	w8, [x0]
0xfffffff009f45448: 68000034  cbz	w8, #0xfffffff009f45454
0xfffffff009f4544c: 1f000039  strb	wzr, [x0]
0xfffffff009f45450: 73458a97  bl	#0xfffffff0081d6a1c
0xfffffff009f45454: b48357f8  ldur	x20, [x29, #-0x88]
0xfffffff009f45458: fb2340f9  ldr	x27, [sp, #0x40]
0xfffffff009f4545c: fcc8feb0  adrp	x28, #0xfffffff007862000
0xfffffff009f45460: 9c373691  add	x28, x28, #0xd8d
0xfffffff009f45464: e0031aaa  mov	x0, x26
0xfffffff009f45468: 010080d2  mov	x1, #0
0xfffffff009f4546c: 020080d2  mov	x2, #0
0xfffffff009f45470: 030080d2  mov	x3, #0
0xfffffff009f45474: 040080d2  mov	x4, #0
0xfffffff009f45478: e50316aa  mov	x5, x22
0xfffffff009f4547c: 917eff97  bl	#0xfffffff009f24ec0
0xfffffff009f45480: a0010034  cbz	w0, #0xfffffff009f454b4
0xfffffff009f45484: 886640f9  ldr	x8, [x20, #0xc8]
0xfffffff009f45488: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f4548c: ab2b79a9  ldp	x11, x10, [x29, #-0x70]
0xfffffff009f45490: ea8302a9  stp	x10, x0, [sp, #0x28]
0xfffffff009f45494: e95740f9  ldr	x9, [sp, #0xa8]
0xfffffff009f45498: e9af01a9  stp	x9, x11, [sp, #0x18]
0xfffffff009f4549c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f454a0: e8c78252  mov	w8, #0x163f
0xfffffff009f454a4: fc2300a9  stp	x28, x8, [sp]
0xfffffff009f454a8: e0c8feb0  adrp	x0, #0xfffffff007862000
0xfffffff009f454ac: 00a43891  add	x0, x0, #0xe29
0xfffffff009f454b0: 05e9fc97  bl	#0xfffffff009e7f8c4
0xfffffff009f454b4: a88359f8  ldur	x8, [x29, #-0x68]
0xfffffff009f454b8: 080119eb  subs	x8, x8, x25
0xfffffff009f454bc: 60030054  b.eq	#0xfffffff009f45528
0xfffffff009f454c0: 1f0500f1  cmp	x8, #1
0xfffffff009f454c4: e9079f1a  cset	w9, ne
0xfffffff009f454c8: aa0359f8  ldur	x10, [x29, #-0x70]
0xfffffff009f454cc: 4a01198b  add	x10, x10, x25
0xfffffff009f454d0: aa2339a9  stp	x10, x8, [x29, #-0x70]
0xfffffff009f454d4: 25711d53  lsl	w5, w9, #3
0xfffffff009f454d8: a2e301d1  sub	x2, x29, #0x78
0xfffffff009f454dc: e0031aaa  mov	x0, x26
0xfffffff009f454e0: 010080d2  mov	x1, #0
0xfffffff009f454e4: 03028052  mov	w3, #0x10
0xfffffff009f454e8: e4031baa  mov	x4, x27
0xfffffff009f454ec: e60316aa  mov	x6, x22
0xfffffff009f454f0: cb5cff97  bl	#0xfffffff009f1c81c
0xfffffff009f454f4: a0010034  cbz	w0, #0xfffffff009f45528
0xfffffff009f454f8: 886640f9  ldr	x8, [x20, #0xc8]
0xfffffff009f454fc: 088942f9  ldr	x8, [x8, #0x510]
0xfffffff009f45500: ab2b79a9  ldp	x11, x10, [x29, #-0x70]
0xfffffff009f45504: ea8302a9  stp	x10, x0, [sp, #0x28]
0xfffffff009f45508: e94340f9  ldr	x9, [sp, #0x80]
0xfffffff009f4550c: e9af01a9  stp	x9, x11, [sp, #0x18]
0xfffffff009f45510: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f45514: 28c98252  mov	w8, #0x1649
0xfffffff009f45518: fc2300a9  stp	x28, x8, [sp]
0xfffffff009f4551c: e0c8feb0  adrp	x0, #0xfffffff007862000
0xfffffff009f45520: 00b83991  add	x0, x0, #0xe6e
0xfffffff009f45524: e8e8fc97  bl	#0xfffffff009e7f8c4
