; Candidate 1590
; ADRP+ADD at VM 0xfffffff0084ab4d0 (fileoff 0x14a74d0): page=0x1feba9000 add_imm=0xce2

0xfffffff0084ab450: 1f210071  cmp	w8, #8
0xfffffff0084ab454: 00010054  b.eq	#0xfffffff0084ab474
0xfffffff0084ab458: 1f110071  cmp	w8, #4
0xfffffff0084ab45c: 20010054  b.eq	#0xfffffff0084ab480
0xfffffff0084ab460: 1f050071  cmp	w8, #1
0xfffffff0084ab464: c1010054  b.ne	#0xfffffff0084ab49c
0xfffffff0084ab468: 60020191  add	x0, x19, #0x40
0xfffffff0084ab46c: d64dfa97  bl	#0xfffffff00833ebc4
0xfffffff0084ab470: 06000014  b	#0xfffffff0084ab488
0xfffffff0084ab474: 60020191  add	x0, x19, #0x40
0xfffffff0084ab478: 6d4dfa97  bl	#0xfffffff00833ea2c
0xfffffff0084ab47c: 03000014  b	#0xfffffff0084ab488
0xfffffff0084ab480: 60020191  add	x0, x19, #0x40
0xfffffff0084ab484: 374dfa97  bl	#0xfffffff00833e960
0xfffffff0084ab488: 08008052  mov	w8, #0
0xfffffff0084ab48c: 7f1201b9  str	wzr, [x19, #0x110]
0xfffffff0084ab490: 29008052  mov	w9, #1
0xfffffff0084ab494: 69860439  strb	w9, [x19, #0x121]
0xfffffff0084ab498: fdfeff17  b	#0xfffffff0084ab08c
0xfffffff0084ab49c: d4058052  mov	w20, #0x2e
0xfffffff0084ab4a0: e7ffff17  b	#0xfffffff0084ab43c
0xfffffff0084ab4a4: 285dffb0  adrp	x8, #0xfffffff007050000
0xfffffff0084ab4a8: 08cd3c91  add	x8, x8, #0xf33
0xfffffff0084ab4ac: 091e8a52  mov	w9, #0x50f0
0xfffffff0084ab4b0: e82700a9  stp	x8, x9, [sp]
0xfffffff0084ab4b4: 405dffb0  adrp	x0, #0xfffffff007054000
0xfffffff0084ab4b8: 00343291  add	x0, x0, #0xc8d
0xfffffff0084ab4bc: 14a4ff97  bl	#0xfffffff00849450c
0xfffffff0084ab4c0: 285dffb0  adrp	x8, #0xfffffff007050000
0xfffffff0084ab4c4: 08cd3c91  add	x8, x8, #0xf33
0xfffffff0084ab4c8: 491e8a52  mov	w9, #0x50f2
0xfffffff0084ab4cc: e82700a9  stp	x8, x9, [sp]
0xfffffff0084ab4d0: 405dffb0  adrp	x0, #0xfffffff007054000
0xfffffff0084ab4d4: 00883391  add	x0, x0, #0xce2
0xfffffff0084ab4d8: 0da4ff97  bl	#0xfffffff00849450c
0xfffffff0084ab4dc: 68218152  mov	w8, #0x90b
0xfffffff0084ab4e0: c95cfff0  adrp	x9, #0xfffffff007046000
0xfffffff0084ab4e4: 29d92791  add	x9, x9, #0x9f6
0xfffffff0084ab4e8: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0084ab4ec: f30300a9  stp	x19, x0, [sp]
0xfffffff0084ab4f0: c05cfff0  adrp	x0, #0xfffffff007046000
0xfffffff0084ab4f4: 00c42b91  add	x0, x0, #0xaf1
0xfffffff0084ab4f8: 05a4ff97  bl	#0xfffffff00849450c
0xfffffff0084ab4fc: 691a40f9  ldr	x9, [x19, #0x30]
0xfffffff0084ab500: eaee8952  mov	w10, #0x4f77
0xfffffff0084ab504: 2b5dffb0  adrp	x11, #0xfffffff007050000
0xfffffff0084ab508: 6bcd3c91  add	x11, x11, #0xf33
0xfffffff0084ab50c: eb2b01a9  stp	x11, x10, [sp, #0x10]
0xfffffff0084ab510: e82700a9  stp	x8, x9, [sp]
0xfffffff0084ab514: 405dfff0  adrp	x0, #0xfffffff007056000
0xfffffff0084ab518: 00401391  add	x0, x0, #0x4d0
0xfffffff0084ab51c: fca3ff97  bl	#0xfffffff00849450c
0xfffffff0084ab520: 6af78952  mov	w10, #0x4fbb
0xfffffff0084ab524: ea1300f9  str	x10, [sp, #0x20]
0xfffffff0084ab528: 2a5dffb0  adrp	x10, #0xfffffff007050000
0xfffffff0084ab52c: 4acd3c91  add	x10, x10, #0xf33
0xfffffff0084ab530: e92b01a9  stp	x9, x10, [sp, #0x10]
0xfffffff0084ab534: eb2300a9  stp	x11, x8, [sp]
0xfffffff0084ab538: 405dfff0  adrp	x0, #0xfffffff007056000
0xfffffff0084ab53c: 00141991  add	x0, x0, #0x645
0xfffffff0084ab540: f3a3ff97  bl	#0xfffffff00849450c
0xfffffff0084ab544: e9f88952  mov	w9, #0x4fc7
0xfffffff0084ab548: 2a5dffb0  adrp	x10, #0xfffffff007050000
0xfffffff0084ab54c: 4acd3c91  add	x10, x10, #0xf33
