; Candidate 7212
; ADRP+ADD at VM 0xfffffff00885fad0 (fileoff 0x185bad0): page=0x1fe98a000 add_imm=0xe80

0xfffffff00885fa50: 17020034  cbz	w23, #0xfffffff00885fa90
0xfffffff00885fa54: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff00885fa58: f6d303a9  stp	x22, x20, [sp, #0x38]
0xfffffff00885fa5c: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff00885fa60: 484eff90  adrp	x8, #0xfffffff007227000
0xfffffff00885fa64: 09d53d91  add	x9, x8, #0xf75
0xfffffff00885fa68: 484eff90  adrp	x8, #0xfffffff007227000
0xfffffff00885fa6c: 08811191  add	x8, x8, #0x460
0xfffffff00885fa70: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00885fa74: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00885fa78: c80b8052  mov	w8, #0x5e
0xfffffff00885fa7c: 404eff90  adrp	x0, #0xfffffff007227000
0xfffffff00885fa80: 00a01191  add	x0, x0, #0x468
0xfffffff00885fa84: f52300a9  stp	x21, x8, [sp]
0xfffffff00885fa88: 765ed597  bl	#0xfffffff007db7460
0xfffffff00885fa8c: 19000014  b	#0xfffffff00885faf0
0xfffffff00885fa90: c7510194  bl	#0xfffffff0088b41ac
0xfffffff00885fa94: f50300aa  mov	x21, x0
0xfffffff00885fa98: c0008052  mov	w0, #6
0xfffffff00885fa9c: 6d6f0094  bl	#0xfffffff00887b850
0xfffffff00885faa0: e80314aa  mov	x8, x20
0xfffffff00885faa4: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00885faa8: f6a303a9  stp	x22, x8, [sp, #0x38]
0xfffffff00885faac: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff00885fab0: 484eff90  adrp	x8, #0xfffffff007227000
0xfffffff00885fab4: 0ad53d91  add	x10, x8, #0xf75
0xfffffff00885fab8: 484eff90  adrp	x8, #0xfffffff007227000
0xfffffff00885fabc: 08811191  add	x8, x8, #0x460
0xfffffff00885fac0: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff00885fac4: c80b8052  mov	w8, #0x5e
0xfffffff00885fac8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00885facc: f50300f9  str	x21, [sp]
0xfffffff00885fad0: 404cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00885fad4: 00003a91  add	x0, x0, #0xe80
0xfffffff00885fad8: 418dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00885fadc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00885fae0: a34fffd0  adrp	x3, #0xfffffff007255000
0xfffffff00885fae4: 63d02d91  add	x3, x3, #0xb74
0xfffffff00885fae8: 02008052  mov	w2, #0
0xfffffff00885faec: 914deb97  bl	#0xfffffff008333130
0xfffffff00885faf0: 606240f9  ldr	x0, [x19, #0xc0]
0xfffffff00885faf4: b60200b4  cbz	x22, #0xfffffff00885fb48
0xfffffff00885faf8: e10316aa  mov	x1, x22
0xfffffff00885fafc: ea620094  bl	#0xfffffff0088786a4
0xfffffff00885fb00: f50300aa  mov	x21, x0
0xfffffff00885fb04: 80000035  cbnz	w0, #0xfffffff00885fb14
0xfffffff00885fb08: 60220391  add	x0, x19, #0xc8
0xfffffff00885fb0c: e10316aa  mov	x1, x22
0xfffffff00885fb10: 1f830094  bl	#0xfffffff00888078c
0xfffffff00885fb14: 606240f9  ldr	x0, [x19, #0xc0]
0xfffffff00885fb18: 61008052  mov	w1, #3
0xfffffff00885fb1c: e20316aa  mov	x2, x22
0xfffffff00885fb20: 03008052  mov	w3, #0
0xfffffff00885fb24: a5690094  bl	#0xfffffff00887a1b8
0xfffffff00885fb28: 602a40f9  ldr	x0, [x19, #0x50]
0xfffffff00885fb2c: 614240b9  ldr	w1, [x19, #0x40]
0xfffffff00885fb30: 08008092  mov	x8, #-1
0xfffffff00885fb34: e8a300a9  stp	x8, x8, [sp, #8]
0xfffffff00885fb38: ff0300f9  str	xzr, [sp]
0xfffffff00885fb3c: a2018052  mov	w2, #0xd
0xfffffff00885fb40: 83028052  mov	w3, #0x14
0xfffffff00885fb44: 16000014  b	#0xfffffff00885fb9c
0xfffffff00885fb48: a2e300d1  sub	x2, x29, #0x38
0xfffffff00885fb4c: e10314aa  mov	x1, x20
