; Candidate 12212
; ADRP+ADD at VM 0xfffffff0090679b0 (fileoff 0x20639b0): page=0x1fe3eb000 add_imm=0xec7

0xfffffff009067930: 009500b4  cbz	x0, #0xfffffff009068bd0
0xfffffff009067934: a00315f8  stur	x0, [x29, #-0xb0]
0xfffffff009067938: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff00906793c: 00cc3991  add	x0, x0, #0xe73
0xfffffff009067940: d5fdca97  bl	#0xfffffff008327094
0xfffffff009067944: 809400b4  cbz	x0, #0xfffffff009068bd4
0xfffffff009067948: a08314f8  stur	x0, [x29, #-0xb8]
0xfffffff00906794c: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067950: 00103a91  add	x0, x0, #0xe84
0xfffffff009067954: d0fdca97  bl	#0xfffffff008327094
0xfffffff009067958: 009400b4  cbz	x0, #0xfffffff009068bd8
0xfffffff00906795c: a00314f8  stur	x0, [x29, #-0xc0]
0xfffffff009067960: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067964: 00343a91  add	x0, x0, #0xe8d
0xfffffff009067968: cbfdca97  bl	#0xfffffff008327094
0xfffffff00906796c: 809300b4  cbz	x0, #0xfffffff009068bdc
0xfffffff009067970: a08313f8  stur	x0, [x29, #-0xc8]
0xfffffff009067974: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067978: 008c3a91  add	x0, x0, #0xea3
0xfffffff00906797c: c6fdca97  bl	#0xfffffff008327094
0xfffffff009067980: 009300b4  cbz	x0, #0xfffffff009068be0
0xfffffff009067984: a00313f8  stur	x0, [x29, #-0xd0]
0xfffffff009067988: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff00906798c: 00b43a91  add	x0, x0, #0xead
0xfffffff009067990: c1fdca97  bl	#0xfffffff008327094
0xfffffff009067994: 809200b4  cbz	x0, #0xfffffff009068be4
0xfffffff009067998: a08312f8  stur	x0, [x29, #-0xd8]
0xfffffff00906799c: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff0090679a0: 00f83a91  add	x0, x0, #0xebe
0xfffffff0090679a4: bcfdca97  bl	#0xfffffff008327094
0xfffffff0090679a8: 009200b4  cbz	x0, #0xfffffff009068be8
0xfffffff0090679ac: a00312f8  stur	x0, [x29, #-0xe0]
0xfffffff0090679b0: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff0090679b4: 001c3b91  add	x0, x0, #0xec7
0xfffffff0090679b8: b7fdca97  bl	#0xfffffff008327094
0xfffffff0090679bc: 809100b4  cbz	x0, #0xfffffff009068bec
0xfffffff0090679c0: a08311f8  stur	x0, [x29, #-0xe8]
0xfffffff0090679c4: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff0090679c8: 00603b91  add	x0, x0, #0xed8
0xfffffff0090679cc: b2fdca97  bl	#0xfffffff008327094
0xfffffff0090679d0: 009100b4  cbz	x0, #0xfffffff009068bf0
0xfffffff0090679d4: e07b00f9  str	x0, [sp, #0xf0]
0xfffffff0090679d8: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff0090679dc: 008c3b91  add	x0, x0, #0xee3
0xfffffff0090679e0: adfdca97  bl	#0xfffffff008327094
0xfffffff0090679e4: 809000b4  cbz	x0, #0xfffffff009068bf4
0xfffffff0090679e8: e07700f9  str	x0, [sp, #0xe8]
0xfffffff0090679ec: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff0090679f0: 00cc3b91  add	x0, x0, #0xef3
0xfffffff0090679f4: a8fdca97  bl	#0xfffffff008327094
0xfffffff0090679f8: 009000b4  cbz	x0, #0xfffffff009068bf8
0xfffffff0090679fc: e07300f9  str	x0, [sp, #0xe0]
0xfffffff009067a00: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067a04: 00f03b91  add	x0, x0, #0xefc
0xfffffff009067a08: a3fdca97  bl	#0xfffffff008327094
0xfffffff009067a0c: 808f00b4  cbz	x0, #0xfffffff009068bfc
0xfffffff009067a10: e06f00f9  str	x0, [sp, #0xd8]
0xfffffff009067a14: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067a18: 00643c91  add	x0, x0, #0xf19
0xfffffff009067a1c: 9efdca97  bl	#0xfffffff008327094
0xfffffff009067a20: 008f00b4  cbz	x0, #0xfffffff009068c00
0xfffffff009067a24: e06b00f9  str	x0, [sp, #0xd0]
0xfffffff009067a28: 401ffff0  adrp	x0, #0xfffffff007452000
0xfffffff009067a2c: 00d43c91  add	x0, x0, #0xf35
