; Candidate 16565
; ADRP+ADD at VM 0xfffffff009ee5764 (fileoff 0x2ee1764): page=0x1fd965000 add_imm=0xe09

0xfffffff009ee56e4: 083d1012  and	w8, w8, #0xffff0000
0xfffffff009ee56e8: 0900b152  mov	w9, #-0x78000000
0xfffffff009ee56ec: 0101092a  orr	w1, w8, w9
0xfffffff009ee56f0: ff7f00a9  stp	xzr, xzr, [sp]
0xfffffff009ee56f4: a8e300d1  sub	x8, x29, #0x38
0xfffffff009ee56f8: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009ee56fc: 100000f0  adrp	x16, #0xfffffff009ee8000
0xfffffff009ee5700: 10221291  add	x16, x16, #0x488
0xfffffff009ee5704: 51d09fd2  mov	x17, #0xfe82
0xfffffff009ee5708: 3002c1da  pacia	x16, x17
0xfffffff009ee570c: e70310aa  mov	x7, x16
0xfffffff009ee5710: e00313aa  mov	x0, x19
0xfffffff009ee5714: 42008052  mov	w2, #2
0xfffffff009ee5718: c3018052  mov	w3, #0xe
0xfffffff009ee571c: 05008052  mov	w5, #0
0xfffffff009ee5720: 06008052  mov	w6, #0
0xfffffff009ee5724: f8010194  bl	#0xfffffff009f25f04
0xfffffff009ee5728: e0000034  cbz	w0, #0xfffffff009ee5744
0xfffffff009ee572c: f60300aa  mov	x22, x0
0xfffffff009ee5730: b4835cf8  ldur	x20, [x29, #-0x38]
0xfffffff009ee5734: 4e000014  b	#0xfffffff009ee586c
0xfffffff009ee5738: 140080d2  mov	x20, #0
0xfffffff009ee573c: d6028052  mov	w22, #0x16
0xfffffff009ee5740: 4e000014  b	#0xfffffff009ee5878
0xfffffff009ee5744: 083e8452  mov	w8, #0x21f0
0xfffffff009ee5748: 7702088b  add	x23, x19, x8
0xfffffff009ee574c: b4835cf8  ldur	x20, [x29, #-0x38]
0xfffffff009ee5750: f75301a9  stp	x23, x20, [sp, #0x10]
0xfffffff009ee5754: 38cbfeb0  adrp	x24, #0xfffffff00784a000
0xfffffff009ee5758: 18b33791  add	x24, x24, #0xdec
0xfffffff009ee575c: 28a88152  mov	w8, #0xd41
0xfffffff009ee5760: f82300a9  stp	x24, x8, [sp]
0xfffffff009ee5764: 20cbfeb0  adrp	x0, #0xfffffff00784a000
0xfffffff009ee5768: 00243891  add	x0, x0, #0xe09
0xfffffff009ee576c: 3568fe97  bl	#0xfffffff009e7f840
0xfffffff009ee5770: e00313aa  mov	x0, x19
0xfffffff009ee5774: 41008052  mov	w1, #2
0xfffffff009ee5778: 020080d2  mov	x2, #0
0xfffffff009ee577c: 030080d2  mov	x3, #0
0xfffffff009ee5780: 3bf1ff97  bl	#0xfffffff009ee1c6c
0xfffffff009ee5784: 400600b4  cbz	x0, #0xfffffff009ee584c
0xfffffff009ee5788: f50300aa  mov	x21, x0
0xfffffff009ee578c: e00313aa  mov	x0, x19
0xfffffff009ee5790: e10314aa  mov	x1, x20
0xfffffff009ee5794: e20315aa  mov	x2, x21
0xfffffff009ee5798: 030080d2  mov	x3, #0
0xfffffff009ee579c: 24008052  mov	w4, #1
0xfffffff009ee57a0: 43000094  bl	#0xfffffff009ee58ac
0xfffffff009ee57a4: f60300aa  mov	x22, x0
0xfffffff009ee57a8: c0040035  cbnz	w0, #0xfffffff009ee5840
0xfffffff009ee57ac: e0830091  add	x0, sp, #0x20
0xfffffff009ee57b0: 01008052  mov	w1, #0
0xfffffff009ee57b4: 02028052  mov	w2, #0x10
0xfffffff009ee57b8: 029d7997  bl	#0xfffffff007d4cbc0
0xfffffff009ee57bc: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff009ee57c0: e0c30091  add	x0, sp, #0x30
0xfffffff009ee57c4: 01008052  mov	w1, #0
0xfffffff009ee57c8: 02098052  mov	w2, #0x48
0xfffffff009ee57cc: fd9c7997  bl	#0xfffffff007d4cbc0
0xfffffff009ee57d0: 28018052  mov	w8, #9
0xfffffff009ee57d4: 0809a072  movk	w8, #0x48, lsl #16
0xfffffff009ee57d8: e83300b9  str	w8, [sp, #0x30]
0xfffffff009ee57dc: a82240f9  ldr	x8, [x21, #0x40]
0xfffffff009ee57e0: e81f00f9  str	x8, [sp, #0x38]
