; Candidate 834
; ADRP+ADD at VM 0xfffffff0080d72bc (fileoff 0x10d32bc): page=0x1ff8a1000 add_imm=0xdb0

0xfffffff0080d723c: 680100b4  cbz	x8, #0xfffffff0080d7268
0xfffffff0080d7240: 090540f9  ldr	x9, [x8, #8]
0xfffffff0080d7244: 3f0119eb  cmp	x9, x25
0xfffffff0080d7248: c11e0054  b.ne	#0xfffffff0080d7620
0xfffffff0080d724c: 290740f9  ldr	x9, [x25, #8]
0xfffffff0080d7250: 2a0140f9  ldr	x10, [x9]
0xfffffff0080d7254: 5f0119eb  cmp	x10, x25
0xfffffff0080d7258: 811d0054  b.ne	#0xfffffff0080d7608
0xfffffff0080d725c: 090500f9  str	x9, [x8, #8]
0xfffffff0080d7260: 292340a9  ldp	x9, x8, [x25]
0xfffffff0080d7264: 06000014  b	#0xfffffff0080d727c
0xfffffff0080d7268: 280740f9  ldr	x8, [x25, #8]
0xfffffff0080d726c: 090140f9  ldr	x9, [x8]
0xfffffff0080d7270: 3f0119eb  cmp	x9, x25
0xfffffff0080d7274: a11c0054  b.ne	#0xfffffff0080d7608
0xfffffff0080d7278: 090080d2  mov	x9, #0
0xfffffff0080d727c: 090100f9  str	x9, [x8]
0xfffffff0080d7280: 481f4079  ldrh	w8, [x26, #0xe]
0xfffffff0080d7284: 211340f9  ldr	x1, [x25, #0x20]
0xfffffff0080d7288: 08012837  tbnz	w8, #5, #0xfffffff0080d72a8
0xfffffff0080d728c: 287440b9  ldr	w8, [x1, #0x74]
0xfffffff0080d7290: 13791e53  ubfx	w19, w8, #0x1e, #1
0xfffffff0080d7294: e0031aaa  mov	x0, x26
0xfffffff0080d7298: 8c790594  bl	#0xfffffff0082358c8
0xfffffff0080d729c: 1f000071  cmp	w0, #0
0xfffffff0080d72a0: d6069f1a  csinc	w22, w22, wzr, eq
0xfffffff0080d72a4: 06000014  b	#0xfffffff0080d72bc
0xfffffff0080d72a8: a10000b4  cbz	x1, #0xfffffff0080d72bc
0xfffffff0080d72ac: e00301aa  mov	x0, x1
0xfffffff0080d72b0: 810e0594  bl	#0xfffffff00821acb4
0xfffffff0080d72b4: e10300aa  mov	x1, x0
0xfffffff0080d72b8: a0ffffb5  cbnz	x0, #0xfffffff0080d72ac
0xfffffff0080d72bc: 00c5ffb0  adrp	x0, #0xfffffff007978000
0xfffffff0080d72c0: 00c03691  add	x0, x0, #0xdb0
0xfffffff0080d72c4: e10319aa  mov	x1, x25
0xfffffff0080d72c8: 51caf497  bl	#0xfffffff007e09c0c
0xfffffff0080d72cc: a8da40b9  ldr	w8, [x21, #0xd8]
0xfffffff0080d72d0: 08050051  sub	w8, w8, #1
0xfffffff0080d72d4: a8da00b9  str	w8, [x21, #0xd8]
0xfffffff0080d72d8: b96a40f9  ldr	x25, [x21, #0xd0]
0xfffffff0080d72dc: f90000b4  cbz	x25, #0xfffffff0080d72f8
0xfffffff0080d72e0: e9060011  add	w9, w23, #1
0xfffffff0080d72e4: 281340f9  ldr	x8, [x25, #0x20]
0xfffffff0080d72e8: 084d40f9  ldr	x8, [x8, #0x98]
0xfffffff0080d72ec: aa4a40f9  ldr	x10, [x21, #0x90]
0xfffffff0080d72f0: 1f010aeb  cmp	x8, x10
0xfffffff0080d72f4: a0f9ff54  b.eq	#0xfffffff0080d7228
0xfffffff0080d72f8: a80e40b9  ldr	w8, [x21, #0xc]
0xfffffff0080d72fc: 08791512  and	w8, w8, #0xfffffbff
0xfffffff0080d7300: a80e00b9  str	w8, [x21, #0xc]
0xfffffff0080d7304: e803372a  mvn	w8, w23
0xfffffff0080d7308: 690901d0  adrp	x9, #0xfffffff00a205000
0xfffffff0080d730c: 29312391  add	x9, x9, #0x8cc
0xfffffff0080d7310: 280128b8  ldadd	w8, w8, [x9]
0xfffffff0080d7314: f92b40f9  ldr	x25, [sp, #0x50]
0xfffffff0080d7318: 76e0ff34  cbz	w22, #0xfffffff0080d6f24
0xfffffff0080d731c: 480741b9  ldr	w8, [x26, #0x104]
0xfffffff0080d7320: 88000035  cbnz	w8, #0xfffffff0080d7330
0xfffffff0080d7324: 48a34339  ldrb	w8, [x26, #0xe8]
0xfffffff0080d7328: 1f0d1d72  tst	w8, #0x78
0xfffffff0080d732c: c0dfff54  b.eq	#0xfffffff0080d6f24
0xfffffff0080d7330: e0031aaa  mov	x0, x26
0xfffffff0080d7334: e10319aa  mov	x1, x25
0xfffffff0080d7338: 020080d2  mov	x2, #0
