; Candidate 3349
; ADRP+ADD at VM 0xfffffff008736290 (fileoff 0x1732290): page=0x1fe9fb000 add_imm=0xd90

0xfffffff008736210: 1c0940f9  ldr	x28, [x8, #0x10]
0xfffffff008736214: b90100b4  cbz	x25, #0xfffffff008736248
0xfffffff008736218: 48998052  mov	w8, #0x4ca
0xfffffff00873621c: c950ffb0  adrp	x9, #0xfffffff00714f000
0xfffffff008736220: 29bd1991  add	x9, x9, #0x66f
0xfffffff008736224: e92300a9  stp	x9, x8, [sp]
0xfffffff008736228: c04ffff0  adrp	x0, #0xfffffff007131000
0xfffffff00873622c: 00403691  add	x0, x0, #0xd90
0xfffffff008736230: 2196fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff008736234: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008736238: 2350ffb0  adrp	x3, #0xfffffff00713b000
0xfffffff00873623c: 63940491  add	x3, x3, #0x125
0xfffffff008736240: 02008052  mov	w2, #0
0xfffffff008736244: bbf3ef97  bl	#0xfffffff008333130
0xfffffff008736248: 88031bab  adds	x8, x28, x27
0xfffffff00873624c: 82d3ff54  b.hs	#0xfffffff008735cbc
0xfffffff008736250: 9402158b  add	x20, x20, x21
0xfffffff008736254: 08fd60d3  lsr	x8, x8, #0x20
0xfffffff008736258: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff00873625c: 2a7143b9  ldr	w10, [x9, #0x370]
0xfffffff008736260: 4a7d0a53  lsr	w10, w10, #0xa
0xfffffff008736264: 48551633  bfi	w8, w10, #0xa, #0x16
0xfffffff008736268: 287103b9  str	w8, [x9, #0x370]
0xfffffff00873626c: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff008736270: 087147f9  ldr	x8, [x8, #0xee0]
0xfffffff008736274: 190940f9  ldr	x25, [x8, #0x10]
0xfffffff008736278: 95fe60d3  lsr	x21, x20, #0x20
0xfffffff00873627c: b50100b4  cbz	x21, #0xfffffff0087362b0
0xfffffff008736280: a8998052  mov	w8, #0x4cd
0xfffffff008736284: c950ffb0  adrp	x9, #0xfffffff00714f000
0xfffffff008736288: 29bd1991  add	x9, x9, #0x66f
0xfffffff00873628c: e92300a9  stp	x9, x8, [sp]
0xfffffff008736290: c04ffff0  adrp	x0, #0xfffffff007131000
0xfffffff008736294: 00403691  add	x0, x0, #0xd90
0xfffffff008736298: 2196fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00873629c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087362a0: 2350ffb0  adrp	x3, #0xfffffff00713b000
0xfffffff0087362a4: 63640591  add	x3, x3, #0x159
0xfffffff0087362a8: 02008052  mov	w2, #0
0xfffffff0087362ac: a1f3ef97  bl	#0xfffffff008333130
0xfffffff0087362b0: 284334ab  adds	x8, x25, w20, uxtw
0xfffffff0087362b4: 42d0ff54  b.hs	#0xfffffff008735cbc
0xfffffff0087362b8: 947e4092  and	x20, x20, #0xffffffff
0xfffffff0087362bc: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff0087362c0: 2a1142b9  ldr	w10, [x9, #0x210]
0xfffffff0087362c4: 48150033  bfxil	w8, w10, #0, #6
0xfffffff0087362c8: 281102b9  str	w8, [x9, #0x210]
0xfffffff0087362cc: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff0087362d0: 087147f9  ldr	x8, [x8, #0xee0]
0xfffffff0087362d4: 190940f9  ldr	x25, [x8, #0x10]
0xfffffff0087362d8: b50100b4  cbz	x21, #0xfffffff00873630c
0xfffffff0087362dc: e8998052  mov	w8, #0x4cf
0xfffffff0087362e0: c950ffb0  adrp	x9, #0xfffffff00714f000
0xfffffff0087362e4: 29bd1991  add	x9, x9, #0x66f
0xfffffff0087362e8: e92300a9  stp	x9, x8, [sp]
0xfffffff0087362ec: c04ffff0  adrp	x0, #0xfffffff007131000
0xfffffff0087362f0: 00403691  add	x0, x0, #0xd90
0xfffffff0087362f4: 2196fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087362f8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087362fc: 2350ffb0  adrp	x3, #0xfffffff00713b000
0xfffffff008736300: 63340691  add	x3, x3, #0x18d
0xfffffff008736304: 02008052  mov	w2, #0
0xfffffff008736308: 8af3ef97  bl	#0xfffffff008333130
0xfffffff00873630c: 280314ab  adds	x8, x25, x20
