; Candidate 3260
; ADRP+ADD at VM 0xfffffff00872703c (fileoff 0x172303c): page=0x1fea0a000 add_imm=0xd90

0xfffffff008726fbc: 43ffff54  b.lo	#0xfffffff008726fa4
0xfffffff008726fc0: c1860011  add	w1, w22, #0x21
0xfffffff008726fc4: 68a640b9  ldr	w8, [x19, #0xa4]
0xfffffff008726fc8: 0801160b  add	w8, w8, w22
0xfffffff008726fcc: 08850011  add	w8, w8, #0x21
0xfffffff008726fd0: 68a600b9  str	w8, [x19, #0xa4]
0xfffffff008726fd4: e00313aa  mov	x0, x19
0xfffffff008726fd8: 02008052  mov	w2, #0
0xfffffff008726fdc: a9d0ff97  bl	#0xfffffff00871b280
0xfffffff008726fe0: 686e40b9  ldr	w8, [x19, #0x6c]
0xfffffff008726fe4: 69a640b9  ldr	w9, [x19, #0xa4]
0xfffffff008726fe8: 2901160b  add	w9, w9, w22
0xfffffff008726fec: 29810011  add	w9, w9, #0x20
0xfffffff008726ff0: 69a600b9  str	w9, [x19, #0xa4]
0xfffffff008726ff4: e903164b  neg	w9, w22
0xfffffff008726ff8: 1525c91a  lsr	w21, w8, w9
0xfffffff008726ffc: c1820011  add	w1, w22, #0x20
0xfffffff008727000: e00313aa  mov	x0, x19
0xfffffff008727004: 02008052  mov	w2, #0
0xfffffff008727008: 9ed0ff97  bl	#0xfffffff00871b280
0xfffffff00872700c: c87e0011  add	w8, w22, #0x1f
0xfffffff008727010: 29008012  mov	w9, #-2
0xfffffff008727014: 2821c81a  lsl	w8, w9, w8
0xfffffff008727018: e803282a  mvn	w8, w8
0xfffffff00872701c: a802082b  adds	w8, w21, w8
0xfffffff008727020: 885207b9  str	w8, [x20, #0x750]
0xfffffff008727024: 00130054  b.eq	#0xfffffff008727284
0xfffffff008727028: 1f352a71  cmp	w8, #0xa8d
0xfffffff00872702c: 631d0054  b.lo	#0xfffffff0087273d8
0xfffffff008727030: 6951fff0  adrp	x9, #0xfffffff007156000
0xfffffff008727034: 29b90a91  add	x9, x9, #0x2ae
0xfffffff008727038: e92300a9  stp	x9, x8, [sp]
0xfffffff00872703c: 4050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff008727040: 00403691  add	x0, x0, #0xd90
0xfffffff008727044: a196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008727048: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00872704c: 8350fff0  adrp	x3, #0xfffffff00713a000
0xfffffff008727050: 63c01a91  add	x3, x3, #0x6b0
0xfffffff008727054: 02008052  mov	w2, #0
0xfffffff008727058: 3630f097  bl	#0xfffffff008333130
0xfffffff00872705c: 00008052  mov	w0, #0
0xfffffff008727060: 70020014  b	#0xfffffff008727a20
0xfffffff008727064: 4050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff008727068: 00403691  add	x0, x0, #0xd90
0xfffffff00872706c: a196ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008727070: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008727074: 8350ffd0  adrp	x3, #0xfffffff007139000
0xfffffff008727078: 63dc3791  add	x3, x3, #0xdf7
0xfffffff00872707c: 02008052  mov	w2, #0
0xfffffff008727080: 2c30f097  bl	#0xfffffff008333130
0xfffffff008727084: 00008052  mov	w0, #0
0xfffffff008727088: 66020014  b	#0xfffffff008727a20
0xfffffff00872708c: 28008052  mov	w8, #1
0xfffffff008727090: 888a0b39  strb	w8, [x20, #0x2e2]
0xfffffff008727094: a84359b8  ldur	w8, [x29, #-0x6c]
0xfffffff008727098: b98317f8  stur	x25, [x29, #-0x88]
0xfffffff00872709c: eb4b00f9  str	x11, [sp, #0x90]
0xfffffff0087270a0: 28040034  cbz	w8, #0xfffffff008727124
0xfffffff0087270a4: 08d08452  mov	w8, #0x2680
0xfffffff0087270a8: 1567089b  madd	x21, x24, x8, x25
0xfffffff0087270ac: a8ce40b8  ldr	w8, [x21, #0xc]!
0xfffffff0087270b0: a8030034  cbz	w8, #0xfffffff008727124
0xfffffff0087270b4: 683640f9  ldr	x8, [x19, #0x68]
0xfffffff0087270b8: 69a640b9  ldr	w9, [x19, #0xa4]
