; Candidate 6919
; ADRP+ADD at VM 0xfffffff00884a060 (fileoff 0x1846060): page=0x1fe99f000 add_imm=0xe80

0xfffffff008849fe0: 3701789e  fcvtzs	x23, d9
0xfffffff008849fe4: 084dffb0  adrp	x8, #0xfffffff0071ea000
0xfffffff008849fe8: 001543fd  ldr	d0, [x8, #0x628]
0xfffffff008849fec: 2109601e  fmul	d1, d9, d0
0xfffffff008849ff0: 2800789e  fcvtzs	x8, d1
0xfffffff008849ff4: e97c8092  mov	x9, #-0x3e8
0xfffffff008849ff8: f822099b  madd	x24, x23, x9, x8
0xfffffff008849ffc: 5901789e  fcvtzs	x25, d10
0xfffffff00884a000: 4009601e  fmul	d0, d10, d0
0xfffffff00884a004: 0800789e  fcvtzs	x8, d0
0xfffffff00884a008: 3a23099b  madd	x26, x25, x9, x8
0xfffffff00884a00c: 68a80194  bl	#0xfffffff0088b41ac
0xfffffff00884a010: f60300aa  mov	x22, x0
0xfffffff00884a014: a0008052  mov	w0, #5
0xfffffff00884a018: 0ec60094  bl	#0xfffffff00887b850
0xfffffff00884a01c: a80240f9  ldr	x8, [x21]
0xfffffff00884a020: 890240f9  ldr	x9, [x20]
0xfffffff00884a024: aa0a40b9  ldr	w10, [x21, #8]
0xfffffff00884a028: 8b0a40b9  ldr	w11, [x20, #8]
0xfffffff00884a02c: f96b06a9  stp	x25, x26, [sp, #0x60]
0xfffffff00884a030: f76305a9  stp	x23, x24, [sp, #0x50]
0xfffffff00884a034: eb4f04a9  stp	x11, x19, [sp, #0x40]
0xfffffff00884a038: ea2703a9  stp	x10, x9, [sp, #0x30]
0xfffffff00884a03c: 291a8052  mov	w9, #0xd1
0xfffffff00884a040: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00884a044: c84efff0  adrp	x8, #0xfffffff007225000
0xfffffff00884a048: 08852591  add	x8, x8, #0x961
0xfffffff00884a04c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884a050: 28098052  mov	w8, #0x49
0xfffffff00884a054: 2350fff0  adrp	x3, #0xfffffff007251000
0xfffffff00884a058: 63542791  add	x3, x3, #0x9d5
0xfffffff00884a05c: f62300a9  stp	x22, x8, [sp]
0xfffffff00884a060: e04cfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884a064: 00003a91  add	x0, x0, #0xe80
0xfffffff00884a068: e18dffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00884a06c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884a070: 02008052  mov	w2, #0
0xfffffff00884a074: 2fa4eb97  bl	#0xfffffff008333130
0xfffffff00884a078: 0041601e  fmov	d0, d8
0xfffffff00884a07c: fd7b4da9  ldp	x29, x30, [sp, #0xd0]
0xfffffff00884a080: f44f4ca9  ldp	x20, x19, [sp, #0xc0]
0xfffffff00884a084: f6574ba9  ldp	x22, x21, [sp, #0xb0]
0xfffffff00884a088: f85f4aa9  ldp	x24, x23, [sp, #0xa0]
0xfffffff00884a08c: fa6749a9  ldp	x26, x25, [sp, #0x90]
0xfffffff00884a090: e923486d  ldp	d9, d8, [sp, #0x80]
0xfffffff00884a094: eb2b476d  ldp	d11, d10, [sp, #0x70]
0xfffffff00884a098: ff830391  add	sp, sp, #0xe0
0xfffffff00884a09c: ff0f5fd6  retab	
0xfffffff00884a0a0: 7f2303d5  pacibsp	
0xfffffff00884a0a4: ff4304d1  sub	sp, sp, #0x110
0xfffffff00884a0a8: e9230a6d  stp	d9, d8, [sp, #0xa0]
0xfffffff00884a0ac: fc6f0ba9  stp	x28, x27, [sp, #0xb0]
0xfffffff00884a0b0: fa670ca9  stp	x26, x25, [sp, #0xc0]
0xfffffff00884a0b4: f85f0da9  stp	x24, x23, [sp, #0xd0]
0xfffffff00884a0b8: f6570ea9  stp	x22, x21, [sp, #0xe0]
0xfffffff00884a0bc: f44f0fa9  stp	x20, x19, [sp, #0xf0]
0xfffffff00884a0c0: fd7b10a9  stp	x29, x30, [sp, #0x100]
0xfffffff00884a0c4: fd030491  add	x29, sp, #0x100
0xfffffff00884a0c8: 400300b4  cbz	x0, #0xfffffff00884a130
0xfffffff00884a0cc: f30300aa  mov	x19, x0
0xfffffff00884a0d0: 080440f9  ldr	x8, [x0, #8]
0xfffffff00884a0d4: 280600b4  cbz	x8, #0xfffffff00884a198
0xfffffff00884a0d8: 692240b9  ldr	w9, [x19, #0x20]
0xfffffff00884a0dc: 3f090071  cmp	w9, #2
