; Candidate 4077
; ADRP+ADD at VM 0xfffffff008790e88 (fileoff 0x178ce88): page=0x1fe9a1000 add_imm=0xd90

0xfffffff008790e08: 7818ef97  bl	#0xfffffff008356fe8
0xfffffff008790e0c: d5060011  add	w21, w22, #1
0xfffffff008790e10: 600e56f9  ldr	x0, [x19, #0x2c18]
0xfffffff008790e14: f96dd897  bl	#0xfffffff007dac5f8
0xfffffff008790e18: 1f000071  cmp	w0, #0
0xfffffff008790e1c: f4179f1a  cset	w20, eq
0xfffffff008790e20: 80000035  cbnz	w0, #0xfffffff008790e30
0xfffffff008790e24: df8e0171  cmp	w22, #0x63
0xfffffff008790e28: f60315aa  mov	x22, x21
0xfffffff008790e2c: c3feff54  b.lo	#0xfffffff008790e04
0xfffffff008790e30: 684641b9  ldr	w8, [x19, #0x144]
0xfffffff008790e34: 1f0d0071  cmp	w8, #3
0xfffffff008790e38: 41090054  b.ne	#0xfffffff008790f60
0xfffffff008790e3c: 684241b9  ldr	w8, [x19, #0x140]
0xfffffff008790e40: 69726cb9  ldr	w9, [x19, #0x2c70]
0xfffffff008790e44: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008790e48: 564efff0  adrp	x22, #0xfffffff00715b000
0xfffffff008790e4c: d6ba0391  add	x22, x22, #0xee
0xfffffff008790e50: f65700a9  stp	x22, x21, [sp]
0xfffffff008790e54: 004dffb0  adrp	x0, #0xfffffff007131000
0xfffffff008790e58: 00403691  add	x0, x0, #0xd90
0xfffffff008790e5c: 6193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008790e60: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008790e64: a34dffd0  adrp	x3, #0xfffffff007146000
0xfffffff008790e68: 63101191  add	x3, x3, #0x444
0xfffffff008790e6c: 02008052  mov	w2, #0
0xfffffff008790e70: b088ee97  bl	#0xfffffff008333130
0xfffffff008790e74: 606e40f9  ldr	x0, [x19, #0xd8]
0xfffffff008790e78: 614241b9  ldr	w1, [x19, #0x140]
0xfffffff008790e7c: 9adffe97  bl	#0xfffffff008748ce4
0xfffffff008790e80: 40010034  cbz	w0, #0xfffffff008790ea8
0xfffffff008790e84: f60300a9  stp	x22, x0, [sp]
0xfffffff008790e88: 004dffb0  adrp	x0, #0xfffffff007131000
0xfffffff008790e8c: 00403691  add	x0, x0, #0xd90
0xfffffff008790e90: 6193ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008790e94: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008790e98: a34dffd0  adrp	x3, #0xfffffff007146000
0xfffffff008790e9c: 63441291  add	x3, x3, #0x491
0xfffffff008790ea0: 02008052  mov	w2, #0
0xfffffff008790ea4: a388ee97  bl	#0xfffffff008333130
0xfffffff008790ea8: e2a30091  add	x2, sp, #0x28
0xfffffff008790eac: e00313aa  mov	x0, x19
0xfffffff008790eb0: 3b000094  bl	#0xfffffff008790f9c
0xfffffff008790eb4: 685e70b9  ldr	w8, [x19, #0x305c]
0xfffffff008790eb8: 1f050071  cmp	w8, #1
0xfffffff008790ebc: c1000054  b.ne	#0xfffffff008790ed4
0xfffffff008790ec0: 28a38552  mov	w8, #0x2d19
0xfffffff008790ec4: 686a6838  ldrb	w8, [x19, x8]
0xfffffff008790ec8: 68000034  cbz	w8, #0xfffffff008790ed4
0xfffffff008790ecc: e00313aa  mov	x0, x19
0xfffffff008790ed0: b6000094  bl	#0xfffffff0087911a8
0xfffffff008790ed4: e00313aa  mov	x0, x19
0xfffffff008790ed8: 1e010094  bl	#0xfffffff008791350
0xfffffff008790edc: 685e70b9  ldr	w8, [x19, #0x305c]
0xfffffff008790ee0: 1f050071  cmp	w8, #1
0xfffffff008790ee4: a1000054  b.ne	#0xfffffff008790ef8
0xfffffff008790ee8: 08d88552  mov	w8, #0x2ec0
0xfffffff008790eec: 6102088b  add	x1, x19, x8
0xfffffff008790ef0: e00313aa  mov	x0, x19
0xfffffff008790ef4: 5a010094  bl	#0xfffffff00879145c
0xfffffff008790ef8: 606e40f9  ldr	x0, [x19, #0xd8]
0xfffffff008790efc: e10313aa  mov	x1, x19
0xfffffff008790f00: 1dc8fe97  bl	#0xfffffff008742f74
0xfffffff008790f04: 74000037  tbnz	w20, #0, #0xfffffff008790f10
