; Candidate 3210
; ADRP+ADD at VM 0xfffffff00871c790 (fileoff 0x1718790): page=0x1fea15000 add_imm=0xd90

0xfffffff00871c710: 08050011  add	w8, w8, #1
0xfffffff00871c714: 68a600b9  str	w8, [x19, #0xa4]
0xfffffff00871c718: e00313aa  mov	x0, x19
0xfffffff00871c71c: 21008052  mov	w1, #1
0xfffffff00871c720: 02008052  mov	w2, #0
0xfffffff00871c724: d7faff97  bl	#0xfffffff00871b280
0xfffffff00871c728: a8fe7fd3  lsr	x8, x21, #0x3f
0xfffffff00871c72c: e8a20b39  strb	w8, [x23, #0x2e8]
0xfffffff00871c730: 22000014  b	#0xfffffff00871c7b8
0xfffffff00871c734: f55b01a9  stp	x21, x22, [sp, #0x10]
0xfffffff00871c738: 48008052  mov	w8, #2
0xfffffff00871c73c: c951ffb0  adrp	x9, #0xfffffff007155000
0xfffffff00871c740: 29f52c91  add	x9, x9, #0xb3d
0xfffffff00871c744: e92300a9  stp	x9, x8, [sp]
0xfffffff00871c748: a050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00871c74c: 00403691  add	x0, x0, #0xd90
0xfffffff00871c750: 0197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871c754: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871c758: e350ffb0  adrp	x3, #0xfffffff007139000
0xfffffff00871c75c: 63a00b91  add	x3, x3, #0x2e8
0xfffffff00871c760: 02008052  mov	w2, #0
0xfffffff00871c764: 735af097  bl	#0xfffffff008333130
0xfffffff00871c768: 5dfcff17  b	#0xfffffff00871b8dc
0xfffffff00871c76c: 08088052  mov	w8, #0x40
0xfffffff00871c770: c951ffb0  adrp	x9, #0xfffffff007155000
0xfffffff00871c774: 29d53391  add	x9, x9, #0xcf5
0xfffffff00871c778: ff2302a9  stp	xzr, x8, [sp, #0x20]
0xfffffff00871c77c: e8758052  mov	w8, #0x3af
0xfffffff00871c780: ca51ffb0  adrp	x10, #0xfffffff007155000
0xfffffff00871c784: 4af52c91  add	x10, x10, #0xb3d
0xfffffff00871c788: ea2300a9  stp	x10, x8, [sp]
0xfffffff00871c78c: e96b01a9  stp	x9, x26, [sp, #0x10]
0xfffffff00871c790: a050ffb0  adrp	x0, #0xfffffff007131000
0xfffffff00871c794: 00403691  add	x0, x0, #0xd90
0xfffffff00871c798: 0197ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff00871c79c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00871c7a0: e350ffb0  adrp	x3, #0xfffffff007139000
0xfffffff00871c7a4: 63100991  add	x3, x3, #0x244
0xfffffff00871c7a8: 02008052  mov	w2, #0
0xfffffff00871c7ac: 615af097  bl	#0xfffffff008333130
0xfffffff00871c7b0: 4bfcff17  b	#0xfffffff00871b8dc
0xfffffff00871c7b4: e8a24b39  ldrb	w8, [x23, #0x2e8]
0xfffffff00871c7b8: 48010034  cbz	w8, #0xfffffff00871c7e0
0xfffffff00871c7bc: e8424fb9  ldr	w8, [x23, #0xf40]
0xfffffff00871c7c0: 280a0034  cbz	w8, #0xfffffff00871c904
0xfffffff00871c7c4: 15008052  mov	w21, #0
0xfffffff00871c7c8: 097d0153  lsr	w9, w8, #1
0xfffffff00871c7cc: b5060011  add	w21, w21, #1
0xfffffff00871c7d0: 1f050071  cmp	w8, #1
0xfffffff00871c7d4: e80309aa  mov	x8, x9
0xfffffff00871c7d8: 88ffff54  b.hi	#0xfffffff00871c7c8
0xfffffff00871c7dc: 4b000014  b	#0xfffffff00871c908
0xfffffff00871c7e0: 89224039  ldrb	w9, [x20, #8]
0xfffffff00871c7e4: 8b0e40b9  ldr	w11, [x20, #0xc]
0xfffffff00871c7e8: 4b000035  cbnz	w11, #0xfffffff00871c7f0
0xfffffff00871c7ec: 890c0035  cbnz	w9, #0xfffffff00871c97c
0xfffffff00871c7f0: 080080d2  mov	x8, #0
0xfffffff00871c7f4: 3f010071  cmp	w9, #0
0xfffffff00871c7f8: e9079f1a  cset	w9, ne
0xfffffff00871c7fc: ea0241f9  ldr	x10, [x23, #0x200]
0xfffffff00871c800: 6b050011  add	w11, w11, #1
0xfffffff00871c804: 6b0109cb  sub	x11, x11, x9
0xfffffff00871c808: 6c0500d1  sub	x12, x11, #1
0xfffffff00871c80c: 800d084e  dup	v0.2d, x12
