; Candidate 13750
; ADRP+ADD at VM 0xfffffff00956f750 (fileoff 0x256b750): page=0x1fdfed000 add_imm=0xd7d

0xfffffff00956f6d0: 4b09c05a  rev	w11, w10
0xfffffff00956f6d4: 0a0140b9  ldr	w10, [x8]
0xfffffff00956f6d8: 4a09c05a  rev	w10, w10
0xfffffff00956f6dc: 0ba93f29  stp	w11, w10, [x8, #-4]
0xfffffff00956f6e0: 08410091  add	x8, x8, #0x10
0xfffffff00956f6e4: 290500f1  subs	x9, x9, #1
0xfffffff00956f6e8: c1feff54  b.ne	#0xfffffff00956f6c0
0xfffffff00956f6ec: 07000014  b	#0xfffffff00956f708
0xfffffff00956f6f0: 6a2240f9  ldr	x10, [x19, #0x40]
0xfffffff00956f6f4: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff00956f6f8: ea0300f9  str	x10, [sp]
0xfffffff00956f6fc: 60fffed0  adrp	x0, #0xfffffff00755d000
0xfffffff00956f700: 00600591  add	x0, x0, #0x158
0xfffffff00956f704: 571fa197  bl	#0xfffffff007db7460
0xfffffff00956f708: e803352a  mvn	w8, w21
0xfffffff00956f70c: 9f03086b  cmp	w28, w8
0xfffffff00956f710: c1020054  b.ne	#0xfffffff00956f768
0xfffffff00956f714: 9c1e40b9  ldr	w28, [x20, #0x1c]
0xfffffff00956f718: fa040034  cbz	w26, #0xfffffff00956f7b4
0xfffffff00956f71c: 1c050034  cbz	w28, #0xfffffff00956f7bc
0xfffffff00956f720: 9f031a6b  cmp	w28, w26
0xfffffff00956f724: c0040054  b.eq	#0xfffffff00956f7bc
0xfffffff00956f728: 9f03186b  cmp	w28, w24
0xfffffff00956f72c: 80040054  b.eq	#0xfffffff00956f7bc
0xfffffff00956f730: 685a40f9  ldr	x8, [x19, #0xb0]
0xfffffff00956f734: 190900f9  str	x25, [x8, #0x10]
0xfffffff00956f738: 682240f9  ldr	x8, [x19, #0x40]
0xfffffff00956f73c: 891e40b9  ldr	w9, [x20, #0x1c]
0xfffffff00956f740: 163a0034  cbz	w22, #0xfffffff00956fe80
0xfffffff00956f744: e9eb01a9  stp	x9, x26, [sp, #0x18]
0xfffffff00956f748: f9e700a9  stp	x25, x25, [sp, #8]
0xfffffff00956f74c: e80300f9  str	x8, [sp]
0xfffffff00956f750: 60fffeb0  adrp	x0, #0xfffffff00755c000
0xfffffff00956f754: 00f43591  add	x0, x0, #0xd7d
0xfffffff00956f758: 421fa197  bl	#0xfffffff007db7460
0xfffffff00956f75c: 16008052  mov	w22, #0
0xfffffff00956f760: fb0319aa  mov	x27, x25
0xfffffff00956f764: 9affff17  b	#0xfffffff00956f5cc
0xfffffff00956f768: 163e0034  cbz	w22, #0xfffffff00956ff28
0xfffffff00956f76c: e9bf40b9  ldr	w9, [sp, #0xbc]
0xfffffff00956f770: c93d0034  cbz	w9, #0xfffffff00956ff28
0xfffffff00956f774: 685a40f9  ldr	x8, [x19, #0xb0]
0xfffffff00956f778: 090940f9  ldr	x9, [x8, #0x10]
0xfffffff00956f77c: 3f0309eb  cmp	x25, x9
0xfffffff00956f780: 00010054  b.eq	#0xfffffff00956f7a0
0xfffffff00956f784: 682240f9  ldr	x8, [x19, #0x40]
0xfffffff00956f788: f9e700a9  stp	x25, x25, [sp, #8]
0xfffffff00956f78c: e80300f9  str	x8, [sp]
0xfffffff00956f790: 60fffeb0  adrp	x0, #0xfffffff00755c000
0xfffffff00956f794: 00e43391  add	x0, x0, #0xcf9
0xfffffff00956f798: 321fa197  bl	#0xfffffff007db7460
0xfffffff00956f79c: 685a40f9  ldr	x8, [x19, #0xb0]
0xfffffff00956f7a0: 15008052  mov	w21, #0
0xfffffff00956f7a4: 190900f9  str	x25, [x8, #0x10]
0xfffffff00956f7a8: 28008052  mov	w8, #1
0xfffffff00956f7ac: e8bf00b9  str	w8, [sp, #0xbc]
0xfffffff00956f7b0: 84ffff17  b	#0xfffffff00956f5c0
0xfffffff00956f7b4: bb8357f8  ldur	x27, [x29, #-0x88]
0xfffffff00956f7b8: 02000014  b	#0xfffffff00956f7c0
0xfffffff00956f7bc: f70316aa  mov	x23, x22
0xfffffff00956f7c0: 685a40f9  ldr	x8, [x19, #0xb0]
0xfffffff00956f7c4: 090940f9  ldr	x9, [x8, #0x10]
0xfffffff00956f7c8: 3f0309eb  cmp	x25, x9
0xfffffff00956f7cc: eb030054  b.lt	#0xfffffff00956f848
