; Candidate 5393
; ADRP+ADD at VM 0xfffffff0087edc58 (fileoff 0x17e9c58): page=0x1fe9fc000 add_imm=0xe80

0xfffffff0087edbd8: 9a190034  cbz	w26, #0xfffffff0087edf08
0xfffffff0087edbdc: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0087edbe0: 695b40b9  ldr	w9, [x27, #0x58]
0xfffffff0087edbe4: e9df04a9  stp	x9, x23, [sp, #0x48]
0xfffffff0087edbe8: e8ef03a9  stp	x8, x27, [sp, #0x38]
0xfffffff0087edbec: 0851fff0  adrp	x8, #0xfffffff007210000
0xfffffff0087edbf0: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087edbf4: c9158052  mov	w9, #0xae
0xfffffff0087edbf8: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087edbfc: 2851fff0  adrp	x8, #0xfffffff007214000
0xfffffff0087edc00: 08012091  add	x8, x8, #0x800
0xfffffff0087edc04: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087edc08: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087edc0c: 080f8052  mov	w8, #0x78
0xfffffff0087edc10: 2051fff0  adrp	x0, #0xfffffff007214000
0xfffffff0087edc14: 00702091  add	x0, x0, #0x81c
0xfffffff0087edc18: f92300a9  stp	x25, x8, [sp]
0xfffffff0087edc1c: 1126d797  bl	#0xfffffff007db7460
0xfffffff0087edc20: d4000014  b	#0xfffffff0087edf70
0xfffffff0087edc24: 62190394  bl	#0xfffffff0088b41ac
0xfffffff0087edc28: f80300aa  mov	x24, x0
0xfffffff0087edc2c: e0008052  mov	w0, #7
0xfffffff0087edc30: 08370294  bl	#0xfffffff00887b850
0xfffffff0087edc34: fadf03a9  stp	x26, x23, [sp, #0x38]
0xfffffff0087edc38: e80316aa  mov	x8, x22
0xfffffff0087edc3c: f4a302a9  stp	x20, x8, [sp, #0x28]
0xfffffff0087edc40: 2851fff0  adrp	x8, #0xfffffff007214000
0xfffffff0087edc44: 08012091  add	x8, x8, #0x800
0xfffffff0087edc48: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087edc4c: 080f8052  mov	w8, #0x78
0xfffffff0087edc50: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087edc54: f80300f9  str	x24, [sp]
0xfffffff0087edc58: e04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087edc5c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087edc60: c190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087edc64: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087edc68: 8352ffd0  adrp	x3, #0xfffffff00723f000
0xfffffff0087edc6c: 63780191  add	x3, x3, #0x5e
0xfffffff0087edc70: 02008052  mov	w2, #0
0xfffffff0087edc74: 2f15ed97  bl	#0xfffffff008333130
0xfffffff0087edc78: 53f0ffb5  cbnz	x19, #0xfffffff0087eda80
0xfffffff0087edc7c: 000f8052  mov	w0, #0x78
0xfffffff0087edc80: 81008052  mov	w1, #4
0xfffffff0087edc84: d3360294  bl	#0xfffffff00887b7d0
0xfffffff0087edc88: c0130034  cbz	w0, #0xfffffff0087edf00
0xfffffff0087edc8c: 000f8052  mov	w0, #0x78
0xfffffff0087edc90: e2360294  bl	#0xfffffff00887b818
0xfffffff0087edc94: f90300aa  mov	x25, x0
0xfffffff0087edc98: 45190394  bl	#0xfffffff0088b41ac
0xfffffff0087edc9c: f80300aa  mov	x24, x0
0xfffffff0087edca0: 80008052  mov	w0, #4
0xfffffff0087edca4: eb360294  bl	#0xfffffff00887b850
0xfffffff0087edca8: b90f0034  cbz	w25, #0xfffffff0087ede9c
0xfffffff0087edcac: fadf04a9  stp	x26, x23, [sp, #0x48]
0xfffffff0087edcb0: e80316aa  mov	x8, x22
0xfffffff0087edcb4: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff0087edcb8: 2851fff0  adrp	x8, #0xfffffff007214000
0xfffffff0087edcbc: 08b11b91  add	x8, x8, #0x6ec
0xfffffff0087edcc0: 29118052  mov	w9, #0x89
0xfffffff0087edcc4: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087edcc8: 2851fff0  adrp	x8, #0xfffffff007214000
0xfffffff0087edccc: 08012091  add	x8, x8, #0x800
0xfffffff0087edcd0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087edcd4: e00b00f9  str	x0, [sp, #0x10]
