; Candidate 6910
; ADRP+ADD at VM 0xfffffff00884977c (fileoff 0x184577c): page=0x1fe9a0000 add_imm=0xe80

0xfffffff0088496fc: e10316aa  mov	x1, x22
0xfffffff008849700: ba35ec97  bl	#0xfffffff008356de8
0xfffffff008849704: 26000014  b	#0xfffffff00884979c
0xfffffff008849708: 760600f9  str	x22, [x19, #8]
0xfffffff00884970c: 20098052  mov	w0, #0x49
0xfffffff008849710: a1008052  mov	w1, #5
0xfffffff008849714: 2fc80094  bl	#0xfffffff00887b7d0
0xfffffff008849718: 20040034  cbz	w0, #0xfffffff00884979c
0xfffffff00884971c: 20098052  mov	w0, #0x49
0xfffffff008849720: 3ec80094  bl	#0xfffffff00887b818
0xfffffff008849724: f70300aa  mov	x23, x0
0xfffffff008849728: a1aa0194  bl	#0xfffffff0088b41ac
0xfffffff00884972c: f60300aa  mov	x22, x0
0xfffffff008849730: a0008052  mov	w0, #5
0xfffffff008849734: 47c80094  bl	#0xfffffff00887b850
0xfffffff008849738: 37010034  cbz	w23, #0xfffffff00884975c
0xfffffff00884973c: f3d701a9  stp	x19, x21, [sp, #0x18]
0xfffffff008849740: 28098052  mov	w8, #0x49
0xfffffff008849744: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008849748: f60300f9  str	x22, [sp]
0xfffffff00884974c: e04eff90  adrp	x0, #0xfffffff007225000
0xfffffff008849750: 007c1991  add	x0, x0, #0x65f
0xfffffff008849754: 43b7d597  bl	#0xfffffff007db7460
0xfffffff008849758: 11000014  b	#0xfffffff00884979c
0xfffffff00884975c: 94aa0194  bl	#0xfffffff0088b41ac
0xfffffff008849760: f60300aa  mov	x22, x0
0xfffffff008849764: a0008052  mov	w0, #5
0xfffffff008849768: 3ac80094  bl	#0xfffffff00887b850
0xfffffff00884976c: f3d701a9  stp	x19, x21, [sp, #0x18]
0xfffffff008849770: 28098052  mov	w8, #0x49
0xfffffff008849774: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008849778: f60300f9  str	x22, [sp]
0xfffffff00884977c: 004dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008849780: 00003a91  add	x0, x0, #0xe80
0xfffffff008849784: e18dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008849788: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884978c: 4350ff90  adrp	x3, #0xfffffff007251000
0xfffffff008849790: 63bc1191  add	x3, x3, #0x46f
0xfffffff008849794: 02008052  mov	w2, #0
0xfffffff008849798: 66a6eb97  bl	#0xfffffff008333130
0xfffffff00884979c: 16008052  mov	w22, #0
0xfffffff0088497a0: 8002621e  scvtf	d0, w20
0xfffffff0088497a4: 6082026d  stp	d0, d0, [x19, #0x28]
0xfffffff0088497a8: 601e00fd  str	d0, [x19, #0x38]
0xfffffff0088497ac: 20098052  mov	w0, #0x49
0xfffffff0088497b0: c1008052  mov	w1, #6
0xfffffff0088497b4: 07c80094  bl	#0xfffffff00887b7d0
0xfffffff0088497b8: 00050034  cbz	w0, #0xfffffff008849858
0xfffffff0088497bc: 20098052  mov	w0, #0x49
0xfffffff0088497c0: 16c80094  bl	#0xfffffff00887b818
0xfffffff0088497c4: f80300aa  mov	x24, x0
0xfffffff0088497c8: 79aa0194  bl	#0xfffffff0088b41ac
0xfffffff0088497cc: f70300aa  mov	x23, x0
0xfffffff0088497d0: c0008052  mov	w0, #6
0xfffffff0088497d4: 1fc80094  bl	#0xfffffff00887b850
0xfffffff0088497d8: 98010034  cbz	w24, #0xfffffff008849808
0xfffffff0088497dc: f55b03a9  stp	x21, x22, [sp, #0x30]
0xfffffff0088497e0: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088497e4: e84eff90  adrp	x8, #0xfffffff007225000
0xfffffff0088497e8: 08311891  add	x8, x8, #0x60c
0xfffffff0088497ec: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088497f0: 28098052  mov	w8, #0x49
0xfffffff0088497f4: e04eff90  adrp	x0, #0xfffffff007225000
0xfffffff0088497f8: 00201791  add	x0, x0, #0x5c8
