; Candidate 4130
; ADRP+ADD at VM 0xfffffff0087933c8 (fileoff 0x178f3c8): page=0x1fe99e000 add_imm=0xd90

0xfffffff008793348: 68b62ab9  str	w8, [x19, #0x2ab4]
0xfffffff00879334c: 884a48b9  ldr	w8, [x20, #0x848]
0xfffffff008793350: 68922bb9  str	w8, [x19, #0x2b90]
0xfffffff008793354: 888e48b9  ldr	w8, [x20, #0x88c]
0xfffffff008793358: 685230b9  str	w8, [x19, #0x3050]
0xfffffff00879335c: 889648b9  ldr	w8, [x20, #0x894]
0xfffffff008793360: 28020034  cbz	w8, #0xfffffff0087933a4
0xfffffff008793364: 684241b9  ldr	w8, [x19, #0x140]
0xfffffff008793368: 890e40b9  ldr	w9, [x20, #0xc]
0xfffffff00879336c: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008793370: 494eff90  adrp	x9, #0xfffffff00715b000
0xfffffff008793374: 29010691  add	x9, x9, #0x180
0xfffffff008793378: e90300f9  str	x9, [sp]
0xfffffff00879337c: e04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff008793380: 00403691  add	x0, x0, #0xd90
0xfffffff008793384: 4193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008793388: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879338c: 834dfff0  adrp	x3, #0xfffffff007146000
0xfffffff008793390: 63943d91  add	x3, x3, #0xf65
0xfffffff008793394: 02008052  mov	w2, #0
0xfffffff008793398: 667fee97  bl	#0xfffffff008333130
0xfffffff00879339c: 96278052  mov	w22, #0x13c
0xfffffff0087933a0: 6d000014  b	#0xfffffff008793554
0xfffffff0087933a4: 48034039  ldrb	w8, [x26]
0xfffffff0087933a8: e8070034  cbz	w8, #0xfffffff0087934a4
0xfffffff0087933ac: 606e40f9  ldr	x0, [x19, #0xd8]
0xfffffff0087933b0: 614241b9  ldr	w1, [x19, #0x140]
0xfffffff0087933b4: 4cd6fe97  bl	#0xfffffff008748ce4
0xfffffff0087933b8: 80010034  cbz	w0, #0xfffffff0087933e8
0xfffffff0087933bc: 484eff90  adrp	x8, #0xfffffff00715b000
0xfffffff0087933c0: 08010691  add	x8, x8, #0x180
0xfffffff0087933c4: e80300a9  stp	x8, x0, [sp]
0xfffffff0087933c8: e04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087933cc: 00403691  add	x0, x0, #0xd90
0xfffffff0087933d0: 4193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087933d4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087933d8: 834dfff0  adrp	x3, #0xfffffff007146000
0xfffffff0087933dc: 63a43e91  add	x3, x3, #0xfa9
0xfffffff0087933e0: 02008052  mov	w2, #0
0xfffffff0087933e4: 537fee97  bl	#0xfffffff008333130
0xfffffff0087933e8: 60be41f9  ldr	x0, [x19, #0x378]
0xfffffff0087933ec: 100040f9  ldr	x16, [x0]
0xfffffff0087933f0: f10300aa  mov	x17, x0
0xfffffff0087933f4: d1ccfdf2  movk	x17, #0xee66, lsl #48
0xfffffff0087933f8: 301ac1da  autda	x16, x17
0xfffffff0087933fc: 088e49f8  ldr	x8, [x16, #0x98]!
0xfffffff008793400: e90310aa  mov	x9, x16
0xfffffff008793404: 01108052  mov	w1, #0x80
0xfffffff008793408: f10309aa  mov	x17, x9
0xfffffff00879340c: b11bf9f2  movk	x17, #0xc8dd, lsl #48
0xfffffff008793410: 11093fd7  blraa	x8, x17
0xfffffff008793414: 011040f9  ldr	x1, [x0, #0x20]
0xfffffff008793418: 282c40b9  ldr	w8, [x1, #0x2c]
0xfffffff00879341c: 1f0d0071  cmp	w8, #3
0xfffffff008793420: 01040054  b.ne	#0xfffffff0087934a0
0xfffffff008793424: f60300aa  mov	x22, x0
0xfffffff008793428: 606e40f9  ldr	x0, [x19, #0xd8]
0xfffffff00879342c: 62726cb9  ldr	w2, [x19, #0x2c70]
0xfffffff008793430: c3f64139  ldrb	w3, [x22, #0x7d]
0xfffffff008793434: ccd0fe97  bl	#0xfffffff008747764
0xfffffff008793438: c81240f9  ldr	x8, [x22, #0x20]
0xfffffff00879343c: 1f2d00b9  str	wzr, [x8, #0x2c]
0xfffffff008793440: 606e40f9  ldr	x0, [x19, #0xd8]
0xfffffff008793444: 63726cb9  ldr	w3, [x19, #0x2c70]
