; Candidate 2609
; ADRP+ADD at VM 0xfffffff0086d4b30 (fileoff 0x16d0b30): page=0x1fea5d000 add_imm=0xce5

0xfffffff0086d4ab0: f7e6da97  bl	#0xfffffff007d8e68c
0xfffffff0086d4ab4: a86e43f9  ldr	x8, [x21, #0x6d8]
0xfffffff0086d4ab8: 005140f9  ldr	x0, [x8, #0xa0]
0xfffffff0086d4abc: 28d6df97  bl	#0xfffffff007eca35c
0xfffffff0086d4ac0: e00313aa  mov	x0, x19
0xfffffff0086d4ac4: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0086d4ac8: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0086d4acc: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff0086d4ad0: ff2303d5  autibsp	
0xfffffff0086d4ad4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0086d4ad8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0086d4ae0
0xfffffff0086d4adc: 208e38d4  brk	#0xc471
0xfffffff0086d4ae0: dee2df17  b	#0xfffffff007ecd658
0xfffffff0086d4ae4: 7f2303d5  pacibsp	
0xfffffff0086d4ae8: ffc300d1  sub	sp, sp, #0x30
0xfffffff0086d4aec: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff0086d4af0: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff0086d4af4: fd830091  add	x29, sp, #0x20
0xfffffff0086d4af8: 28e000d0  adrp	x8, #0xfffffff00a2da000
0xfffffff0086d4afc: 086d43f9  ldr	x8, [x8, #0x6d8]
0xfffffff0086d4b00: e80100b4  cbz	x8, #0xfffffff0086d4b3c
0xfffffff0086d4b04: f30302aa  mov	x19, x2
0xfffffff0086d4b08: 68018852  mov	w8, #0x400b
0xfffffff0086d4b0c: 0801bc72  movk	w8, #0xe008, lsl #16
0xfffffff0086d4b10: 3f00086b  cmp	w1, w8
0xfffffff0086d4b14: 80010054  b.eq	#0xfffffff0086d4b44
0xfffffff0086d4b18: 48018852  mov	w8, #0x400a
0xfffffff0086d4b1c: 0801bc72  movk	w8, #0xe008, lsl #16
0xfffffff0086d4b20: 3f00086b  cmp	w1, w8
0xfffffff0086d4b24: c1010054  b.ne	#0xfffffff0086d4b5c
0xfffffff0086d4b28: 8dffff97  bl	#0xfffffff0086d495c
0xfffffff0086d4b2c: f30300f9  str	x19, [sp]
0xfffffff0086d4b30: e052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086d4b34: 00943391  add	x0, x0, #0xce5
0xfffffff0086d4b38: 0c000014  b	#0xfffffff0086d4b68
0xfffffff0086d4b3c: e00f0332  mov	w0, #-0x1fffffff
0xfffffff0086d4b40: 0c000014  b	#0xfffffff0086d4b70
0xfffffff0086d4b44: f30300f9  str	x19, [sp]
0xfffffff0086d4b48: e052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086d4b4c: 00b43491  add	x0, x0, #0xd2d
0xfffffff0086d4b50: 3409f297  bl	#0xfffffff008357020
0xfffffff0086d4b54: b1ffff97  bl	#0xfffffff0086d4a18
0xfffffff0086d4b58: 05000014  b	#0xfffffff0086d4b6c
0xfffffff0086d4b5c: e10300f9  str	x1, [sp]
0xfffffff0086d4b60: e052ffb0  adrp	x0, #0xfffffff007131000
0xfffffff0086d4b64: 00d43591  add	x0, x0, #0xd75
0xfffffff0086d4b68: 2e09f297  bl	#0xfffffff008357020
0xfffffff0086d4b6c: 00008052  mov	w0, #0
0xfffffff0086d4b70: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0086d4b74: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff0086d4b78: ffc30091  add	sp, sp, #0x30
0xfffffff0086d4b7c: ff0f5fd6  retab	
0xfffffff0086d4b80: 5f2403d5  bti	c
0xfffffff0086d4b84: c0035fd6  ret	
0xfffffff0086d4b88: 5f2403d5  bti	c
0xfffffff0086d4b8c: da3ef017  b	#0xfffffff0082e46f4
0xfffffff0086d4b90: 7f2303d5  pacibsp	
0xfffffff0086d4b94: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0086d4b98: fd030091  mov	x29, sp
0xfffffff0086d4b9c: 20e000d0  adrp	x0, #0xfffffff00a2da000
0xfffffff0086d4ba0: 00c01a91  add	x0, x0, #0x6b0
0xfffffff0086d4ba4: e152ffb0  adrp	x1, #0xfffffff007131000
0xfffffff0086d4ba8: 21401d91  add	x1, x1, #0x750
0xfffffff0086d4bac: 2299fff0  adrp	x2, #0xfffffff0079fb000
