; Candidate 14829
; ADRP+ADD at VM 0xfffffff0099931a8 (fileoff 0x298f1a8): page=0x1fdc5e000 add_imm=0xe3a

0xfffffff009993128: a02900b4  cbz	x0, #0xfffffff00999365c
0xfffffff00999312c: 100040f9  ldr	x16, [x0]
0xfffffff009993130: f10300aa  mov	x17, x0
0xfffffff009993134: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009993138: 301ac1da  autda	x16, x17
0xfffffff00999313c: 117a80d2  mov	x17, #0x3d0
0xfffffff009993140: 1002118b  add	x16, x16, x17
0xfffffff009993144: 080240f9  ldr	x8, [x16]
0xfffffff009993148: e90310aa  mov	x9, x16
0xfffffff00999314c: 61008052  mov	w1, #3
0xfffffff009993150: 02008052  mov	w2, #0
0xfffffff009993154: f10309aa  mov	x17, x9
0xfffffff009993158: b1a5faf2  movk	x17, #0xd52d, lsl #48
0xfffffff00999315c: 11093fd7  blraa	x8, x17
0xfffffff009993160: 600a04f9  str	x0, [x19, #0x810]
0xfffffff009993164: 202900b4  cbz	x0, #0xfffffff009993688
0xfffffff009993168: 100040f9  ldr	x16, [x0]
0xfffffff00999316c: f10300aa  mov	x17, x0
0xfffffff009993170: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009993174: 301ac1da  autda	x16, x17
0xfffffff009993178: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff00999317c: e90310aa  mov	x9, x16
0xfffffff009993180: f10309aa  mov	x17, x9
0xfffffff009993184: d19ee6f2  movk	x17, #0x34f6, lsl #48
0xfffffff009993188: 11093fd7  blraa	x8, x17
0xfffffff00999318c: 60a600f9  str	x0, [x19, #0x148]
0xfffffff009993190: 602900b4  cbz	x0, #0xfffffff0099936bc
0xfffffff009993194: 68ea4339  ldrb	w8, [x19, #0xfa]
0xfffffff009993198: 1f050071  cmp	w8, #1
0xfffffff00999319c: 61000054  b.ne	#0xfffffff0099931a8
0xfffffff0099931a0: 140080d2  mov	x20, #0
0xfffffff0099931a4: d1000014  b	#0xfffffff0099934e8
0xfffffff0099931a8: e0e2fed0  adrp	x0, #0xfffffff0075f1000
0xfffffff0099931ac: 00e83891  add	x0, x0, #0xe3a
0xfffffff0099931b0: 010080d2  mov	x1, #0
0xfffffff0099931b4: c2dca797  bl	#0xfffffff00838a4bc
0xfffffff0099931b8: a03c00b4  cbz	x0, #0xfffffff00999394c
0xfffffff0099931bc: f50300aa  mov	x21, x0
0xfffffff0099931c0: 01008092  mov	x1, #-1
0xfffffff0099931c4: f2daa797  bl	#0xfffffff008389d8c
0xfffffff0099931c8: 203f00b4  cbz	x0, #0xfffffff0099939ac
0xfffffff0099931cc: f40300aa  mov	x20, x0
0xfffffff0099931d0: a817ffb0  adrp	x8, #0xfffffff007c88000
0xfffffff0099931d4: 08f947f9  ldr	x8, [x8, #0xff0]
0xfffffff0099931d8: 010140f9  ldr	x1, [x8]
0xfffffff0099931dc: c642a597  bl	#0xfffffff0082e3cf4
0xfffffff0099931e0: 604100b4  cbz	x0, #0xfffffff009993a0c
0xfffffff0099931e4: 004440f9  ldr	x0, [x0, #0x88]
0xfffffff0099931e8: 604604f9  str	x0, [x19, #0x888]
0xfffffff0099931ec: 604200b4  cbz	x0, #0xfffffff009993a38
0xfffffff0099931f0: e10313aa  mov	x1, x19
0xfffffff0099931f4: 020080d2  mov	x2, #0
0xfffffff0099931f8: 030080d2  mov	x3, #0
0xfffffff0099931fc: 3a391194  bl	#0xfffffff009de16e4
0xfffffff009993200: 20430036  tbz	w0, #0, #0xfffffff009993a64
0xfffffff009993204: 605644f9  ldr	x0, [x19, #0x8a8]
0xfffffff009993208: 100040f9  ldr	x16, [x0]
0xfffffff00999320c: f10300aa  mov	x17, x0
0xfffffff009993210: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009993214: 301ac1da  autda	x16, x17
0xfffffff009993218: 117a80d2  mov	x17, #0x3d0
0xfffffff00999321c: 1002118b  add	x16, x16, x17
0xfffffff009993220: 080240f9  ldr	x8, [x16]
0xfffffff009993224: e90310aa  mov	x9, x16
