; Candidate 9651
; ADRP+ADD at VM 0xfffffff008a9ac8c (fileoff 0x1a96c8c): page=0x1fe81d000 add_imm=0xd71

0xfffffff008a9ac0c: 3002108b  add	x16, x17, x16
0xfffffff008a9ac10: 00021fd6  br	x16
0xfffffff008a9ac14: 9f2403d5  bti	j
0xfffffff008a9ac18: bff31d38  sturb	wzr, [x29, #-0x21]
0xfffffff008a9ac1c: bfe31d38  sturb	wzr, [x29, #-0x22]
0xfffffff008a9ac20: 1e000014  b	#0xfffffff008a9ac98
0xfffffff008a9ac24: 9f2403d5  bti	j
0xfffffff008a9ac28: bff31d38  sturb	wzr, [x29, #-0x21]
0xfffffff008a9ac2c: 28008052  mov	w8, #1
0xfffffff008a9ac30: a8e31d38  sturb	w8, [x29, #-0x22]
0xfffffff008a9ac34: 19000014  b	#0xfffffff008a9ac98
0xfffffff008a9ac38: 9f2403d5  bti	j
0xfffffff008a9ac3c: 28008052  mov	w8, #1
0xfffffff008a9ac40: a8f31d38  sturb	w8, [x29, #-0x21]
0xfffffff008a9ac44: a8e31d38  sturb	w8, [x29, #-0x22]
0xfffffff008a9ac48: 14000014  b	#0xfffffff008a9ac98
0xfffffff008a9ac4c: 9f2403d5  bti	j
0xfffffff008a9ac50: a8835cf8  ldur	x8, [x29, #-0x38]
0xfffffff008a9ac54: 09b140b9  ldr	w9, [x8, #0xb0]
0xfffffff008a9ac58: eb0309aa  mov	x11, x9
0xfffffff008a9ac5c: 0a6540f9  ldr	x10, [x8, #0xc8]
0xfffffff008a9ac60: 091942b9  ldr	w9, [x8, #0x218]
0xfffffff008a9ac64: e80309aa  mov	x8, x9
0xfffffff008a9ac68: e9030091  mov	x9, sp
0xfffffff008a9ac6c: 2b0100f9  str	x11, [x9]
0xfffffff008a9ac70: 2a0500f9  str	x10, [x9, #8]
0xfffffff008a9ac74: 280900f9  str	x8, [x9, #0x10]
0xfffffff008a9ac78: e840ff90  adrp	x8, #0xfffffff0072b6000
0xfffffff008a9ac7c: 08011991  add	x8, x8, #0x640
0xfffffff008a9ac80: 280d00f9  str	x8, [x9, #0x18]
0xfffffff008a9ac84: 88a580d2  mov	x8, #0x52c
0xfffffff008a9ac88: 281100f9  str	x8, [x9, #0x20]
0xfffffff008a9ac8c: e040ffb0  adrp	x0, #0xfffffff0072b7000
0xfffffff008a9ac90: 00c43591  add	x0, x0, #0xd71
0xfffffff008a9ac94: 1ee6e797  bl	#0xfffffff00849450c
0xfffffff008a9ac98: a8835cf8  ldur	x8, [x29, #-0x38]
0xfffffff008a9ac9c: 08e56d39  ldrb	w8, [x8, #0xb79]
0xfffffff008a9aca0: 88060036  tbz	w8, #0, #0xfffffff008a9ad70
0xfffffff008a9aca4: 01000014  b	#0xfffffff008a9aca8
0xfffffff008a9aca8: a0835cf8  ldur	x0, [x29, #-0x38]
0xfffffff008a9acac: 100040f9  ldr	x16, [x0]
0xfffffff008a9acb0: e80300aa  mov	x8, x0
0xfffffff008a9acb4: f10308aa  mov	x17, x8
0xfffffff008a9acb8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a9acbc: 301ac1da  autda	x16, x17
0xfffffff008a9acc0: 110681d2  mov	x17, #0x830
0xfffffff008a9acc4: 1002118b  add	x16, x16, x17
0xfffffff008a9acc8: 080240f9  ldr	x8, [x16]
0xfffffff008a9accc: e90310aa  mov	x9, x16
0xfffffff008a9acd0: f10309aa  mov	x17, x9
0xfffffff008a9acd4: 913ce9f2  movk	x17, #0x49e4, lsl #48
0xfffffff008a9acd8: 11093fd7  blraa	x8, x17
0xfffffff008a9acdc: 08000012  and	w8, w0, #1
0xfffffff008a9ace0: 08050071  subs	w8, w8, #1
0xfffffff008a9ace4: e8079f1a  cset	w8, ne
0xfffffff008a9ace8: 48040037  tbnz	w8, #0, #0xfffffff008a9ad70
0xfffffff008a9acec: 01000014  b	#0xfffffff008a9acf0
0xfffffff008a9acf0: a0835cf8  ldur	x0, [x29, #-0x38]
0xfffffff008a9acf4: 08008052  mov	w8, #0
0xfffffff008a9acf8: e83700b9  str	w8, [sp, #0x34]
0xfffffff008a9acfc: bf831db8  stur	wzr, [x29, #-0x28]
0xfffffff008a9ad00: 21038052  mov	w1, #0x19
0xfffffff008a9ad04: 5b140094  bl	#0xfffffff008a9fe70
0xfffffff008a9ad08: a8835cf8  ldur	x8, [x29, #-0x38]
