; Candidate 14598
; ADRP+ADD at VM 0xfffffff00985ed24 (fileoff 0x285ad24): page=0x1fe3fe000 add_imm=0xe50

0xfffffff00985eca4: f01fff90  adrp	x16, #0xfffffff007c5a000
0xfffffff00985eca8: 10822291  add	x16, x16, #0x8a0
0xfffffff00985ecac: 10e22e91  add	x16, x16, #0xbb8
0xfffffff00985ecb0: f10308aa  mov	x17, x8
0xfffffff00985ecb4: 314fecf2  movk	x17, #0x6279, lsl #48
0xfffffff00985ecb8: 300ac1da  pacda	x16, x17
0xfffffff00985ecbc: 100c01f9  str	x16, [x0, #0x218]
0xfffffff00985ecc0: e00314aa  mov	x0, x20
0xfffffff00985ecc4: 1c19aa97  bl	#0xfffffff0082e5134
0xfffffff00985ecc8: e00313aa  mov	x0, x19
0xfffffff00985eccc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00985ecd0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00985ecd4: ff0f5fd6  retab	
0xfffffff00985ecd8: 7f2303d5  pacibsp	
0xfffffff00985ecdc: fc6fbaa9  stp	x28, x27, [sp, #-0x60]!
0xfffffff00985ece0: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff00985ece4: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff00985ece8: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00985ecec: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00985ecf0: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00985ecf4: fd430191  add	x29, sp, #0x50
0xfffffff00985ecf8: f40305aa  mov	x20, x5
0xfffffff00985ecfc: f50304aa  mov	x21, x4
0xfffffff00985ed00: f70303aa  mov	x23, x3
0xfffffff00985ed04: f90302aa  mov	x25, x2
0xfffffff00985ed08: f80301aa  mov	x24, x1
0xfffffff00985ed0c: f60300aa  mov	x22, x0
0xfffffff00985ed10: 3f4c0071  cmp	w1, #0x13
0xfffffff00985ed14: fb979f1a  cset	w27, hi
0xfffffff00985ed18: 3f740071  cmp	w1, #0x1d
0xfffffff00985ed1c: e80f8012  mov	w8, #-0x80
0xfffffff00985ed20: 1a819f1a  csel	w26, w8, wzr, hi
0xfffffff00985ed24: e01fffd0  adrp	x0, #0xfffffff007c5c000
0xfffffff00985ed28: 00403991  add	x0, x0, #0xe50
0xfffffff00985ed2c: 01a48052  mov	w1, #0x520
0xfffffff00985ed30: 4222aa97  bl	#0xfffffff0082e7638
0xfffffff00985ed34: f30300aa  mov	x19, x0
0xfffffff00985ed38: baffff97  bl	#0xfffffff00985ec20
0xfffffff00985ed3c: 401600b4  cbz	x0, #0xfffffff00985f004
0xfffffff00985ed40: 700240f9  ldr	x16, [x19]
0xfffffff00985ed44: f10313aa  mov	x17, x19
0xfffffff00985ed48: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00985ed4c: 301ac1da  autda	x16, x17
0xfffffff00985ed50: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff00985ed54: e90310aa  mov	x9, x16
0xfffffff00985ed58: e00313aa  mov	x0, x19
0xfffffff00985ed5c: 010080d2  mov	x1, #0
0xfffffff00985ed60: f10309aa  mov	x17, x9
0xfffffff00985ed64: 5175e8f2  movk	x17, #0x43aa, lsl #48
0xfffffff00985ed68: 11093fd7  blraa	x8, x17
0xfffffff00985ed6c: c0150034  cbz	w0, #0xfffffff00985f024
0xfffffff00985ed70: 7b671a53  lsl	w27, w27, #6
0xfffffff00985ed74: 1f770071  cmp	w24, #0x1d
0xfffffff00985ed78: e8979f1a  cset	w8, hi
0xfffffff00985ed7c: 9f020071  cmp	w20, #0
0xfffffff00985ed80: e9079f1a  cset	w9, ne
0xfffffff00985ed84: 2901152a  orr	w9, w9, w21
0xfffffff00985ed88: 0801092a  orr	w8, w8, w9
0xfffffff00985ed8c: 3f030071  cmp	w25, #0
0xfffffff00985ed90: 09028052  mov	w9, #0x10
0xfffffff00985ed94: 2905891a  cinc	w9, w9, ne
0xfffffff00985ed98: 0a108052  mov	w10, #0x80
0xfffffff00985ed9c: 59119f1a  csel	w25, w10, wzr, ne
0xfffffff00985eda0: 1f4f0071  cmp	w24, #0x13
