; Candidate 2436
; ADRP+ADD at VM 0xfffffff0086746b4 (fileoff 0x16706b4): page=0x1feaab000 add_imm=0xd85

0xfffffff008674634: 100040f9  ldr	x16, [x0]
0xfffffff008674638: f10300aa  mov	x17, x0
0xfffffff00867463c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008674640: 301ac1da  autda	x16, x17
0xfffffff008674644: 113d80d2  mov	x17, #0x1e8
0xfffffff008674648: 1002118b  add	x16, x16, x17
0xfffffff00867464c: 080240f9  ldr	x8, [x16]
0xfffffff008674650: e90310aa  mov	x9, x16
0xfffffff008674654: 010080d2  mov	x1, #0
0xfffffff008674658: f10309aa  mov	x17, x9
0xfffffff00867465c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008674660: 11093fd7  blraa	x8, x17
0xfffffff008674664: 0a000014  b	#0xfffffff00867468c
0xfffffff008674668: a8435bb8  ldur	w8, [x29, #-0x4c]
0xfffffff00867466c: 1f050071  cmp	w8, #1
0xfffffff008674670: eb040054  b.lt	#0xfffffff00867470c
0xfffffff008674674: c9ea42b9  ldr	w9, [x22, #0x2e8]
0xfffffff008674678: 1f01096b  cmp	w8, w9
0xfffffff00867467c: c9f9ff54  b.ls	#0xfffffff0086745b4
0xfffffff008674680: 24000014  b	#0xfffffff008674710
0xfffffff008674684: 4055ffd0  adrp	x0, #0xfffffff00711e000
0xfffffff008674688: 00642e91  add	x0, x0, #0xb99
0xfffffff00867468c: c8ea42b9  ldr	w8, [x22, #0x2e8]
0xfffffff008674690: a9435bb8  ldur	w9, [x29, #-0x4c]
0xfffffff008674694: eb031a2a  mov	w11, w26
0xfffffff008674698: ea03192a  mov	w10, w25
0xfffffff00867469c: eaaf03a9  stp	x10, x11, [sp, #0x38]
0xfffffff0086746a0: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff0086746a4: f5e301a9  stp	x21, x24, [sp, #0x18]
0xfffffff0086746a8: 4855fff0  adrp	x8, #0xfffffff00711f000
0xfffffff0086746ac: 08653791  add	x8, x8, #0xdd9
0xfffffff0086746b0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0086746b4: 4055fff0  adrp	x0, #0xfffffff00711f000
0xfffffff0086746b8: 00143691  add	x0, x0, #0xd85
0xfffffff0086746bc: f70300f9  str	x23, [sp]
0xfffffff0086746c0: 588af397  bl	#0xfffffff008357020
0xfffffff0086746c4: 4803192a  orr	w8, w26, w25
0xfffffff0086746c8: 1f050071  cmp	w8, #1
0xfffffff0086746cc: 21010054  b.ne	#0xfffffff0086746f0
0xfffffff0086746d0: a8c35b38  ldurb	w8, [x29, #-0x44]
0xfffffff0086746d4: e8000035  cbnz	w8, #0xfffffff0086746f0
0xfffffff0086746d8: 79000034  cbz	w25, #0xfffffff0086746e4
0xfffffff0086746dc: 28008052  mov	w8, #1
0xfffffff0086746e0: 88020039  strb	w8, [x20]
0xfffffff0086746e4: 7a000034  cbz	w26, #0xfffffff0086746f0
0xfffffff0086746e8: 28008052  mov	w8, #1
0xfffffff0086746ec: 68020039  strb	w8, [x19]
0xfffffff0086746f0: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff0086746f4: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff0086746f8: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0086746fc: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff008674700: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff008674704: ffc30291  add	sp, sp, #0xb0
0xfffffff008674708: ff0f5fd6  retab	
0xfffffff00867470c: 48f5ff35  cbnz	w8, #0xfffffff0086745b4
0xfffffff008674710: 1fb30471  cmp	w24, #0x12c
0xfffffff008674714: fa279f1a  cset	w26, lo
0xfffffff008674718: a8ffff17  b	#0xfffffff0086745b8
0xfffffff00867471c: 7f2303d5  pacibsp	
0xfffffff008674720: ff0302d1  sub	sp, sp, #0x80
0xfffffff008674724: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008674728: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff00867472c: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008674730: fd7b07a9  stp	x29, x30, [sp, #0x70]
