; Candidate 4229
; ADRP+ADD at VM 0xfffffff0087978d0 (fileoff 0x17938d0): page=0x1fe99a000 add_imm=0xd90

0xfffffff008797850: 2a010aca  eor	x10, x9, x10
0xfffffff008797854: 0a0b00b5  cbnz	x10, #0xfffffff0087979b4
0xfffffff008797858: e90af8b7  tbnz	x9, #0x3f, #0xfffffff0087979b4
0xfffffff00879785c: e103162a  mov	w1, w22
0xfffffff008797860: 03e141b9  ldr	w3, [x8, #0x1e0]
0xfffffff008797864: e403132a  mov	w4, w19
0xfffffff008797868: 1a0b8052  mov	w26, #0x58
0xfffffff00879786c: 1a6da572  movk	w26, #0x2b68, lsl #16
0xfffffff008797870: 000b8052  mov	w0, #0x58
0xfffffff008797874: 006da572  movk	w0, #0x2b68, lsl #16
0xfffffff008797878: e20315aa  mov	x2, x21
0xfffffff00879787c: 050080d2  mov	x5, #0
0xfffffff008797880: a199e797  bl	#0xfffffff00817df04
0xfffffff008797884: 806e40f9  ldr	x0, [x20, #0xd8]
0xfffffff008797888: 83726cb9  ldr	w3, [x20, #0x2c70]
0xfffffff00879788c: e10318aa  mov	x1, x24
0xfffffff008797890: 02008052  mov	w2, #0
0xfffffff008797894: 53befe97  bl	#0xfffffff0087471e0
0xfffffff008797898: f90300aa  mov	x25, x0
0xfffffff00879789c: 40031e32  orr	w0, w26, #4
0xfffffff0087978a0: 010080d2  mov	x1, #0
0xfffffff0087978a4: 020080d2  mov	x2, #0
0xfffffff0087978a8: 030080d2  mov	x3, #0
0xfffffff0087978ac: 040080d2  mov	x4, #0
0xfffffff0087978b0: 050080d2  mov	x5, #0
0xfffffff0087978b4: 9499e797  bl	#0xfffffff00817df04
0xfffffff0087978b8: d9020034  cbz	w25, #0xfffffff008797910
0xfffffff0087978bc: 884241b9  ldr	w8, [x20, #0x140]
0xfffffff0087978c0: f95b01a9  stp	x25, x22, [sp, #0x10]
0xfffffff0087978c4: 294eff90  adrp	x9, #0xfffffff00715b000
0xfffffff0087978c8: 296d1891  add	x9, x9, #0x61b
0xfffffff0087978cc: e92300a9  stp	x9, x8, [sp]
0xfffffff0087978d0: c04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087978d4: 00403691  add	x0, x0, #0xd90
0xfffffff0087978d8: 2193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087978dc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087978e0: 834dffb0  adrp	x3, #0xfffffff007148000
0xfffffff0087978e4: 63642c91  add	x3, x3, #0xb19
0xfffffff0087978e8: 02008052  mov	w2, #0
0xfffffff0087978ec: 116eee97  bl	#0xfffffff008333130
0xfffffff0087978f0: e00319aa  mov	x0, x25
0xfffffff0087978f4: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0087978f8: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0087978fc: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008797900: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008797904: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff008797908: ffc30191  add	sp, sp, #0x70
0xfffffff00879790c: ff0f5fd6  retab	
0xfffffff008797910: 28008052  mov	w8, #1
0xfffffff008797914: 08f70139  strb	w8, [x24, #0x7d]
0xfffffff008797918: 080b40f9  ldr	x8, [x24, #0x10]
0xfffffff00879791c: 880100b5  cbnz	x8, #0xfffffff00879794c
0xfffffff008797920: 284eff90  adrp	x8, #0xfffffff00715b000
0xfffffff008797924: 086d1891  add	x8, x8, #0x61b
0xfffffff008797928: e87f00a9  stp	x8, xzr, [sp]
0xfffffff00879792c: c04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff008797930: 00403691  add	x0, x0, #0xd90
0xfffffff008797934: 2193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008797938: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879793c: 834dffb0  adrp	x3, #0xfffffff007148000
0xfffffff008797940: 63d82d91  add	x3, x3, #0xb76
0xfffffff008797944: 02008052  mov	w2, #0
0xfffffff008797948: fa6dee97  bl	#0xfffffff008333130
0xfffffff00879794c: 80be41f9  ldr	x0, [x20, #0x378]
