; Candidate 6244
; ADRP+ADD at VM 0xfffffff00881cbb8 (fileoff 0x1818bb8): page=0x1fe9cd000 add_imm=0xe80

0xfffffff00881cb38: 63b03991  add	x3, x3, #0xe6c
0xfffffff00881cb3c: 02008052  mov	w2, #0
0xfffffff00881cb40: 7c59ec97  bl	#0xfffffff008333130
0xfffffff00881cb44: e00316aa  mov	x0, x22
0xfffffff00881cb48: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff00881cb4c: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff00881cb50: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff00881cb54: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff00881cb58: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff00881cb5c: ffc30291  add	sp, sp, #0xb0
0xfffffff00881cb60: ff0f5fd6  retab	
0xfffffff00881cb64: 925d0294  bl	#0xfffffff0088b41ac
0xfffffff00881cb68: f80300aa  mov	x24, x0
0xfffffff00881cb6c: 80008052  mov	w0, #4
0xfffffff00881cb70: 387b0194  bl	#0xfffffff00887b850
0xfffffff00881cb74: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff00881cb78: e9c640b9  ldr	w9, [x23, #0xc4]
0xfffffff00881cb7c: f72705a9  stp	x23, x9, [sp, #0x50]
0xfffffff00881cb80: e90315aa  mov	x9, x21
0xfffffff00881cb84: f42704a9  stp	x20, x9, [sp, #0x40]
0xfffffff00881cb88: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff00881cb8c: a84fff90  adrp	x8, #0xfffffff007210000
0xfffffff00881cb90: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881cb94: 895f8152  mov	w9, #0xafc
0xfffffff00881cb98: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00881cb9c: 0850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff00881cba0: 08d12b91  add	x8, x8, #0xaf4
0xfffffff00881cba4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881cba8: 880e8052  mov	w8, #0x74
0xfffffff00881cbac: 6351ffb0  adrp	x3, #0xfffffff007249000
0xfffffff00881cbb0: 63703691  add	x3, x3, #0xd9c
0xfffffff00881cbb4: f82300a9  stp	x24, x8, [sp]
0xfffffff00881cbb8: 604effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881cbbc: 00003a91  add	x0, x0, #0xe80
0xfffffff00881cbc0: 618fff90  adrp	x1, #0xfffffff007a08000
0xfffffff00881cbc4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881cbc8: 02008052  mov	w2, #0
0xfffffff00881cbcc: 5959ec97  bl	#0xfffffff008333130
0xfffffff00881cbd0: aeffff17  b	#0xfffffff00881ca88
0xfffffff00881cbd4: e00313aa  mov	x0, x19
0xfffffff00881cbd8: e10317aa  mov	x1, x23
0xfffffff00881cbdc: 99e3ff97  bl	#0xfffffff008815a40
0xfffffff00881cbe0: 68ba4391  add	x8, x19, #0xee, lsl #12
0xfffffff00881cbe4: 08e12991  add	x8, x8, #0xa78
0xfffffff00881cbe8: 09678d52  mov	w9, #0x6b38
0xfffffff00881cbec: e902098b  add	x9, x23, x9
0xfffffff00881cbf0: 0a5d40b9  ldr	w10, [x8, #0x5c]
0xfffffff00881cbf4: 00c1c43c  ldur	q0, [x8, #0x4c]
0xfffffff00881cbf8: 01c1c33c  ldur	q1, [x8, #0x3c]
0xfffffff00881cbfc: 210100ad  stp	q1, q0, [x9]
0xfffffff00881cc00: 2a2100b9  str	w10, [x9, #0x20]
0xfffffff00881cc04: 602640f9  ldr	x0, [x19, #0x48]
0xfffffff00881cc08: e8c640b9  ldr	w8, [x23, #0xc4]
0xfffffff00881cc0c: 16008012  mov	w22, #-1
0xfffffff00881cc10: f61700b9  str	w22, [sp, #0x14]
0xfffffff00881cc14: 18008092  mov	x24, #-1
0xfffffff00881cc18: f8c300f8  stur	x24, [sp, #0xc]
0xfffffff00881cc1c: e80b00b9  str	w8, [sp, #8]
0xfffffff00881cc20: f30300f9  str	x19, [sp]
0xfffffff00881cc24: 01008012  mov	w1, #-1
0xfffffff00881cc28: 22008052  mov	w2, #1
0xfffffff00881cc2c: 03018052  mov	w3, #8
0xfffffff00881cc30: 040080d2  mov	x4, #0
0xfffffff00881cc34: 050080d2  mov	x5, #0
