; Candidate 13054
; ADRP+ADD at VM 0xfffffff0091dc858 (fileoff 0x21d8858): page=0x1fe2c1000 add_imm=0xcde

0xfffffff0091dc7d8: f52301a9  stp	x21, x8, [sp, #0x10]
0xfffffff0091dc7dc: e05300a9  stp	x0, x20, [sp]
0xfffffff0091dc7e0: 0016ffb0  adrp	x0, #0xfffffff00749d000
0xfffffff0091dc7e4: 00783391  add	x0, x0, #0xcde
0xfffffff0091dc7e8: 1e6baf97  bl	#0xfffffff007db7460
0xfffffff0091dc7ec: 190080d2  mov	x25, #0
0xfffffff0091dc7f0: 0d000014  b	#0xfffffff0091dc824
0xfffffff0091dc7f4: e00314aa  mov	x0, x20
0xfffffff0091dc7f8: ca8c8052  mov	w10, #0x466
0xfffffff0091dc7fc: 0816ffb0  adrp	x8, #0xfffffff00749d000
0xfffffff0091dc800: 08993591  add	x8, x8, #0xd66
0xfffffff0091dc804: 0916ffd0  adrp	x9, #0xfffffff00749e000
0xfffffff0091dc808: 29990f91  add	x9, x9, #0x3e6
0xfffffff0091dc80c: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0091dc810: e9d300a9  stp	x9, x20, [sp, #8]
0xfffffff0091dc814: e00300f9  str	x0, [sp]
0xfffffff0091dc818: 0016ffb0  adrp	x0, #0xfffffff00749d000
0xfffffff0091dc81c: 00783391  add	x0, x0, #0xcde
0xfffffff0091dc820: 106baf97  bl	#0xfffffff007db7460
0xfffffff0091dc824: ffff04a9  stp	xzr, xzr, [sp, #0x48]
0xfffffff0091dc828: ffff05a9  stp	xzr, xzr, [sp, #0x58]
0xfffffff0091dc82c: ff3700f9  str	xzr, [sp, #0x68]
0xfffffff0091dc830: 48000014  b	#0xfffffff0091dc950
0xfffffff0091dc834: e00314aa  mov	x0, x20
0xfffffff0091dc838: 4a8d8052  mov	w10, #0x46a
0xfffffff0091dc83c: 0816ffb0  adrp	x8, #0xfffffff00749d000
0xfffffff0091dc840: 08993591  add	x8, x8, #0xd66
0xfffffff0091dc844: 0916ffd0  adrp	x9, #0xfffffff00749e000
0xfffffff0091dc848: 29cd0f91  add	x9, x9, #0x3f3
0xfffffff0091dc84c: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0091dc850: e9d300a9  stp	x9, x20, [sp, #8]
0xfffffff0091dc854: e00300f9  str	x0, [sp]
0xfffffff0091dc858: 0016ffb0  adrp	x0, #0xfffffff00749d000
0xfffffff0091dc85c: 00783391  add	x0, x0, #0xcde
0xfffffff0091dc860: 006baf97  bl	#0xfffffff007db7460
0xfffffff0091dc864: ffff04a9  stp	xzr, xzr, [sp, #0x48]
0xfffffff0091dc868: ffff05a9  stp	xzr, xzr, [sp, #0x58]
0xfffffff0091dc86c: 39000014  b	#0xfffffff0091dc950
0xfffffff0091dc870: e00315aa  mov	x0, x21
0xfffffff0091dc874: c98d8052  mov	w9, #0x46e
0xfffffff0091dc878: 0816ffb0  adrp	x8, #0xfffffff00749d000
0xfffffff0091dc87c: 08993591  add	x8, x8, #0xd66
0xfffffff0091dc880: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0091dc884: f4d700a9  stp	x20, x21, [sp, #8]
0xfffffff0091dc888: e00300f9  str	x0, [sp]
0xfffffff0091dc88c: 0016ffb0  adrp	x0, #0xfffffff00749d000
0xfffffff0091dc890: 00783391  add	x0, x0, #0xcde
0xfffffff0091dc894: f36aaf97  bl	#0xfffffff007db7460
0xfffffff0091dc898: ffff04a9  stp	xzr, xzr, [sp, #0x48]
0xfffffff0091dc89c: ff2f00f9  str	xzr, [sp, #0x58]
0xfffffff0091dc8a0: 2c000014  b	#0xfffffff0091dc950
0xfffffff0091dc8a4: e00314aa  mov	x0, x20
0xfffffff0091dc8a8: 4a8e8052  mov	w10, #0x472
0xfffffff0091dc8ac: 0816ffb0  adrp	x8, #0xfffffff00749d000
0xfffffff0091dc8b0: 08993591  add	x8, x8, #0xd66
0xfffffff0091dc8b4: 0916ffd0  adrp	x9, #0xfffffff00749e000
0xfffffff0091dc8b8: 29391091  add	x9, x9, #0x40e
0xfffffff0091dc8bc: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff0091dc8c0: e9d300a9  stp	x9, x20, [sp, #8]
0xfffffff0091dc8c4: e00300f9  str	x0, [sp]
0xfffffff0091dc8c8: 0016ffb0  adrp	x0, #0xfffffff00749d000
0xfffffff0091dc8cc: 00783391  add	x0, x0, #0xcde
0xfffffff0091dc8d0: e46aaf97  bl	#0xfffffff007db7460
0xfffffff0091dc8d4: ffff04a9  stp	xzr, xzr, [sp, #0x48]
