; Candidate 10
; ADRP+ADD at VM 0xfffffff007d686d4 (fileoff 0xd646d4): page=0x1ffc07000 add_imm=0xe30

0xfffffff007d68654: 00021fd6  br	x16
0xfffffff007d68658: 9f2403d5  bti	j
0xfffffff007d6865c: 17008052  mov	w23, #0
0xfffffff007d68660: 95060091  add	x21, x20, #1
0xfffffff007d68664: d4ffff17  b	#0xfffffff007d685b4
0xfffffff007d68668: 9f2403d5  bti	j
0xfffffff007d6866c: d7018052  mov	w23, #0xe
0xfffffff007d68670: d1ffff17  b	#0xfffffff007d685b4
0xfffffff007d68674: 9f2403d5  bti	j
0xfffffff007d68678: b7048052  mov	w23, #0x25
0xfffffff007d6867c: ceffff17  b	#0xfffffff007d685b4
0xfffffff007d68680: 82dbff90  adrp	x2, #0xfffffff0078d8000
0xfffffff007d68684: 42201b91  add	x2, x2, #0x6c8
0xfffffff007d68688: 4f1a0194  bl	#0xfffffff007daefc4
0xfffffff007d6868c: 85ffff17  b	#0xfffffff007d684a0
0xfffffff007d68690: d3de1c94  bl	#0xfffffff0084a01dc
0xfffffff007d68694: 68a20191  add	x8, x19, #0x68
0xfffffff007d68698: 1fc1bfb8  ldapr	wzr, [x8]
0xfffffff007d6869c: e80313aa  mov	x8, x19
0xfffffff007d686a0: 090d45b8  ldr	w9, [x8, #0x50]!
0xfffffff007d686a4: 29090012  and	w9, w9, #7
0xfffffff007d686a8: 2a0d0051  sub	w10, w9, #3
0xfffffff007d686ac: 5f0d0071  cmp	w10, #3
0xfffffff007d686b0: e3000054  b.lo	#0xfffffff007d686cc
0xfffffff007d686b4: 2a050051  sub	w10, w9, #1
0xfffffff007d686b8: 5f090071  cmp	w10, #2
0xfffffff007d686bc: 42020054  b.hs	#0xfffffff007d68704
0xfffffff007d686c0: 68520191  add	x8, x19, #0x54
0xfffffff007d686c4: 09208052  mov	w9, #0x100
0xfffffff007d686c8: 081129b8  ldclr	w9, w8, [x8]
0xfffffff007d686cc: 60520191  add	x0, x19, #0x54
0xfffffff007d686d0: 0a1a0194  bl	#0xfffffff007daeef8
0xfffffff007d686d4: 20e0fff0  adrp	x0, #0xfffffff00796f000
0xfffffff007d686d8: 00c03891  add	x0, x0, #0xe30
0xfffffff007d686dc: e10313aa  mov	x1, x19
0xfffffff007d686e0: 4b850294  bl	#0xfffffff007e09c0c
0xfffffff007d686e4: bcffff17  b	#0xfffffff007d685d4
0xfffffff007d686e8: c896fff0  adrp	x8, #0xfffffff007043000
0xfffffff007d686ec: 08e51e91  add	x8, x8, #0x7b9
0xfffffff007d686f0: e9698052  mov	w9, #0x34f
0xfffffff007d686f4: e82700a9  stp	x8, x9, [sp]
0xfffffff007d686f8: c096fff0  adrp	x0, #0xfffffff007043000
0xfffffff007d686fc: 00641e91  add	x0, x0, #0x799
0xfffffff007d68700: 83af1c94  bl	#0xfffffff00849450c
0xfffffff007d68704: cae18052  mov	w10, #0x70e
0xfffffff007d68708: 0b97ffd0  adrp	x11, #0xfffffff00704a000
0xfffffff007d6870c: 6b090f91  add	x11, x11, #0x3c2
0xfffffff007d68710: eb2b01a9  stp	x11, x10, [sp, #0x10]
0xfffffff007d68714: e82700a9  stp	x8, x9, [sp]
0xfffffff007d68718: 0097ffd0  adrp	x0, #0xfffffff00704a000
0xfffffff007d6871c: 00fc1191  add	x0, x0, #0x47f
0xfffffff007d68720: 7baf1c94  bl	#0xfffffff00849450c
0xfffffff007d68724: 0c000000  udf	#0xc
