; Candidate 12705
; ADRP+ADD at VM 0xfffffff009122ce4 (fileoff 0x211ece4): page=0x1fe357000 add_imm=0xe5b

0xfffffff009122c64: 40e5054f  movi	v0.16b, #0xaa
0xfffffff009122c68: a0833bad  stp	q0, q0, [x29, #-0x90]
0xfffffff009122c6c: a14302d1  sub	x1, x29, #0x90
0xfffffff009122c70: e00316aa  mov	x0, x22
0xfffffff009122c74: f340c897  bl	#0xfffffff008333040
0xfffffff009122c78: e96f40b9  ldr	w9, [sp, #0x6c]
0xfffffff009122c7c: 090d0034  cbz	w9, #0xfffffff009122e1c
0xfffffff009122c80: 140080d2  mov	x20, #0
0xfffffff009122c84: f60317aa  mov	x22, x23
0xfffffff009122c88: 3c008052  mov	w28, #1
0xfffffff009122c8c: f903092a  mov	w25, w9
0xfffffff009122c90: 08058052  mov	w8, #0x28
0xfffffff009122c94: 9a6a089b  madd	x26, x20, x8, x26
0xfffffff009122c98: 40230091  add	x0, x26, #8
0xfffffff009122c9c: e10318aa  mov	x1, x24
0xfffffff009122ca0: 22028052  mov	w2, #0x11
0xfffffff009122ca4: 74f2b597  bl	#0xfffffff007e9f674
0xfffffff009122ca8: c0000034  cbz	w0, #0xfffffff009122cc0
0xfffffff009122cac: 94060091  add	x20, x20, #1
0xfffffff009122cb0: 5aa30091  add	x26, x26, #0x28
0xfffffff009122cb4: 9f0219eb  cmp	x20, x25
0xfffffff009122cb8: 03ffff54  b.lo	#0xfffffff009122c98
0xfffffff009122cbc: 54000014  b	#0xfffffff009122e0c
0xfffffff009122cc0: 68064039  ldrb	w8, [x19, #1]
0xfffffff009122cc4: 490340f9  ldr	x9, [x26]
0xfffffff009122cc8: f6a701a9  stp	x22, x9, [sp, #0x18]
0xfffffff009122ccc: fb0316aa  mov	x27, x22
0xfffffff009122cd0: a94302d1  sub	x9, x29, #0x90
0xfffffff009122cd4: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009122cd8: b61afff0  adrp	x22, #0xfffffff007479000
0xfffffff009122cdc: d6923a91  add	x22, x22, #0xea4
0xfffffff009122ce0: f60300f9  str	x22, [sp]
0xfffffff009122ce4: a01afff0  adrp	x0, #0xfffffff007479000
0xfffffff009122ce8: 006c3991  add	x0, x0, #0xe5b
0xfffffff009122cec: cdd0c897  bl	#0xfffffff008357020
0xfffffff009122cf0: 481340f9  ldr	x8, [x26, #0x20]
0xfffffff009122cf4: 69a241f8  ldur	x9, [x19, #0x1a]
0xfffffff009122cf8: 1f0109eb  cmp	x8, x9
0xfffffff009122cfc: c90b0054  b.ls	#0xfffffff009122e74
0xfffffff009122d00: 480340f9  ldr	x8, [x26]
0xfffffff009122d04: f62300a9  stp	x22, x8, [sp]
0xfffffff009122d08: a01afff0  adrp	x0, #0xfffffff007479000
0xfffffff009122d0c: 00a03c91  add	x0, x0, #0xf28
0xfffffff009122d10: c4d0c897  bl	#0xfffffff008357020
0xfffffff009122d14: e00315aa  mov	x0, x21
0xfffffff009122d18: e10317aa  mov	x1, x23
0xfffffff009122d1c: e9020094  bl	#0xfffffff0091238c0
0xfffffff009122d20: fc0300aa  mov	x28, x0
0xfffffff009122d24: 80140035  cbnz	w0, #0xfffffff009122fb4
0xfffffff009122d28: 94060091  add	x20, x20, #1
0xfffffff009122d2c: 9f0219eb  cmp	x20, x25
0xfffffff009122d30: fa3340f9  ldr	x26, [sp, #0x60]
0xfffffff009122d34: f6031baa  mov	x22, x27
0xfffffff009122d38: fb2340f9  ldr	x27, [sp, #0x40]
0xfffffff009122d3c: a3faff54  b.lo	#0xfffffff009122c90
0xfffffff009122d40: 5d000014  b	#0xfffffff009122eb4
0xfffffff009122d44: a8050035  cbnz	w8, #0xfffffff009122df8
0xfffffff009122d48: e00316aa  mov	x0, x22
0xfffffff009122d4c: 3940c897  bl	#0xfffffff008332e30
0xfffffff009122d50: a0080035  cbnz	w0, #0xfffffff009122e64
0xfffffff009122d54: 09034039  ldrb	w9, [x24]
0xfffffff009122d58: a81afff0  adrp	x8, #0xfffffff007479000
0xfffffff009122d5c: 08ed3591  add	x8, x8, #0xd7b
0xfffffff009122d60: e82700a9  stp	x8, x9, [sp]
