; Candidate 6917
; ADRP+ADD at VM 0xfffffff008849d78 (fileoff 0x1845d78): page=0x1fe9a0000 add_imm=0xe80

0xfffffff008849cf8: a91d8052  mov	w9, #0xed
0xfffffff008849cfc: e8ff02a9  stp	x8, xzr, [sp, #0x28]
0xfffffff008849d00: e84eff90  adrp	x8, #0xfffffff007225000
0xfffffff008849d04: 08ad1a91  add	x8, x8, #0x6ab
0xfffffff008849d08: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008849d0c: 28098052  mov	w8, #0x49
0xfffffff008849d10: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008849d14: f30300f9  str	x19, [sp]
0xfffffff008849d18: 004dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008849d1c: 00003a91  add	x0, x0, #0xe80
0xfffffff008849d20: e18dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008849d24: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008849d28: 4350ff90  adrp	x3, #0xfffffff007251000
0xfffffff008849d2c: 63e41491  add	x3, x3, #0x539
0xfffffff008849d30: 02008052  mov	w2, #0
0xfffffff008849d34: ffa4eb97  bl	#0xfffffff008333130
0xfffffff008849d38: 007d8012  mov	w0, #-0x3e9
0xfffffff008849d3c: 18000014  b	#0xfffffff008849d9c
0xfffffff008849d40: 1ba90194  bl	#0xfffffff0088b41ac
0xfffffff008849d44: f40300aa  mov	x20, x0
0xfffffff008849d48: 80008052  mov	w0, #4
0xfffffff008849d4c: c1c60094  bl	#0xfffffff00887b850
0xfffffff008849d50: e84eff90  adrp	x8, #0xfffffff007225000
0xfffffff008849d54: 08c11691  add	x8, x8, #0x5b0
0xfffffff008849d58: 091e8052  mov	w9, #0xf0
0xfffffff008849d5c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008849d60: e84eff90  adrp	x8, #0xfffffff007225000
0xfffffff008849d64: 08ad1a91  add	x8, x8, #0x6ab
0xfffffff008849d68: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008849d6c: 28098052  mov	w8, #0x49
0xfffffff008849d70: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008849d74: f40300f9  str	x20, [sp]
0xfffffff008849d78: 004dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008849d7c: 00003a91  add	x0, x0, #0xe80
0xfffffff008849d80: e18dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008849d84: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008849d88: 4350ff90  adrp	x3, #0xfffffff007251000
0xfffffff008849d8c: 63a01591  add	x3, x3, #0x568
0xfffffff008849d90: 02008052  mov	w2, #0
0xfffffff008849d94: e7a4eb97  bl	#0xfffffff008333130
0xfffffff008849d98: 407e8012  mov	w0, #-0x3f3
0xfffffff008849d9c: fd7b4ea9  ldp	x29, x30, [sp, #0xe0]
0xfffffff008849da0: f44f4da9  ldp	x20, x19, [sp, #0xd0]
0xfffffff008849da4: f6574ca9  ldp	x22, x21, [sp, #0xc0]
0xfffffff008849da8: f85f4ba9  ldp	x24, x23, [sp, #0xb0]
0xfffffff008849dac: fa674aa9  ldp	x26, x25, [sp, #0xa0]
0xfffffff008849db0: e923496d  ldp	d9, d8, [sp, #0x90]
0xfffffff008849db4: ffc30391  add	sp, sp, #0xf0
0xfffffff008849db8: ff0f5fd6  retab	
0xfffffff008849dbc: 1601781e  fcvtzs	w22, d8
0xfffffff008849dc0: 084dffb0  adrp	x8, #0xfffffff0071ea000
0xfffffff008849dc4: 091543fd  ldr	d9, [x8, #0x628]
0xfffffff008849dc8: 0009691e  fmul	d0, d8, d9
0xfffffff008849dcc: 0800781e  fcvtzs	w8, d0
0xfffffff008849dd0: f97c8012  mov	w25, #-0x3e8
0xfffffff008849dd4: da22191b  madd	w26, w22, w25, w8
0xfffffff008849dd8: f5a80194  bl	#0xfffffff0088b41ac
0xfffffff008849ddc: f40300aa  mov	x20, x0
0xfffffff008849de0: e00315aa  mov	x0, x21
0xfffffff008849de4: 9bc60094  bl	#0xfffffff00887b850
0xfffffff008849de8: 680640f9  ldr	x8, [x19, #8]
0xfffffff008849dec: 0911178b  add	x9, x8, x23, lsl #4
0xfffffff008849df0: 2a0140f9  ldr	x10, [x9]
0xfffffff008849df4: 0811188b  add	x8, x8, x24, lsl #4
