; Candidate 5424
; ADRP+ADD at VM 0xfffffff0087f015c (fileoff 0x17ec15c): page=0x1fea24000 add_imm=0xe68

0xfffffff0087f00dc: e8c240b9  ldr	w8, [x23, #0xc0]
0xfffffff0087f00e0: 1f050071  cmp	w8, #1
0xfffffff0087f00e4: e0070054  b.eq	#0xfffffff0087f01e0
0xfffffff0087f00e8: 680c0035  cbnz	w8, #0xfffffff0087f0274
0xfffffff0087f00ec: 082f4491  add	x8, x24, #0x10b, lsl #12
0xfffffff0087f00f0: 08812391  add	x8, x8, #0x8e0
0xfffffff0087f00f4: 080140f9  ldr	x8, [x8]
0xfffffff0087f00f8: 08510091  add	x8, x8, #0x14
0xfffffff0087f00fc: 3b000014  b	#0xfffffff0087f01e8
0xfffffff0087f0100: 88b23c91  add	x8, x20, #0xf2c
0xfffffff0087f0104: 080140b9  ldr	w8, [x8]
0xfffffff0087f0108: 68f606b9  str	w8, [x19, #0x6f4]
0xfffffff0087f010c: 000f8052  mov	w0, #0x78
0xfffffff0087f0110: e1008052  mov	w1, #7
0xfffffff0087f0114: af2d0294  bl	#0xfffffff00887b7d0
0xfffffff0087f0118: e0100034  cbz	w0, #0xfffffff0087f0334
0xfffffff0087f011c: 000f8052  mov	w0, #0x78
0xfffffff0087f0120: be2d0294  bl	#0xfffffff00887b818
0xfffffff0087f0124: f50300aa  mov	x21, x0
0xfffffff0087f0128: 21100394  bl	#0xfffffff0088b41ac
0xfffffff0087f012c: f40300aa  mov	x20, x0
0xfffffff0087f0130: e0008052  mov	w0, #7
0xfffffff0087f0134: c72d0294  bl	#0xfffffff00887b850
0xfffffff0087f0138: 550d0034  cbz	w21, #0xfffffff0087f02e0
0xfffffff0087f013c: 68be46b9  ldr	w8, [x19, #0x6bc]
0xfffffff0087f0140: 69c246b9  ldr	w9, [x19, #0x6c0]
0xfffffff0087f0144: 6ac646b9  ldr	w10, [x19, #0x6c4]
0xfffffff0087f0148: 6bca46b9  ldr	w11, [x19, #0x6c8]
0xfffffff0087f014c: eaaf02a9  stp	x10, x11, [sp, #0x28]
0xfffffff0087f0150: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f0154: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087f0158: 080f8052  mov	w8, #0x78
0xfffffff0087f015c: 2051ff90  adrp	x0, #0xfffffff007214000
0xfffffff0087f0160: 00a03991  add	x0, x0, #0xe68
0xfffffff0087f0164: f42300a9  stp	x20, x8, [sp]
0xfffffff0087f0168: be1cd797  bl	#0xfffffff007db7460
0xfffffff0087f016c: 72000014  b	#0xfffffff0087f0334
0xfffffff0087f0170: 0f100394  bl	#0xfffffff0088b41ac
0xfffffff0087f0174: f30300aa  mov	x19, x0
0xfffffff0087f0178: 80008052  mov	w0, #4
0xfffffff0087f017c: b52d0294  bl	#0xfffffff00887b850
0xfffffff0087f0180: e80316aa  mov	x8, x22
0xfffffff0087f0184: a91a40b9  ldr	w9, [x21, #0x18]
0xfffffff0087f0188: 0a5b40b9  ldr	w10, [x24, #0x58]
0xfffffff0087f018c: eaa304a9  stp	x10, x8, [sp, #0x48]
0xfffffff0087f0190: e9e303a9  stp	x9, x24, [sp, #0x38]
0xfffffff0087f0194: 0851ff90  adrp	x8, #0xfffffff007210000
0xfffffff0087f0198: 08b92791  add	x8, x8, #0x9ee
0xfffffff0087f019c: c9518052  mov	w9, #0x28e
0xfffffff0087f01a0: e8d702a9  stp	x8, x21, [sp, #0x28]
0xfffffff0087f01a4: 2851ff90  adrp	x8, #0xfffffff007214000
0xfffffff0087f01a8: 08b53291  add	x8, x8, #0xcad
0xfffffff0087f01ac: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f01b0: a80e8052  mov	w8, #0x75
0xfffffff0087f01b4: 6352fff0  adrp	x3, #0xfffffff00723f000
0xfffffff0087f01b8: 63e81991  add	x3, x3, #0x67a
0xfffffff0087f01bc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f01c0: f30300f9  str	x19, [sp]
0xfffffff0087f01c4: c04fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f01c8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f01cc: c190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087f01d0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f01d4: 02008052  mov	w2, #0
0xfffffff0087f01d8: d60bed97  bl	#0xfffffff008333130
