; Candidate 977
; ADRP+ADD at VM 0xfffffff00814a520 (fileoff 0x1146520): page=0x1fef34000 add_imm=0xe04

0xfffffff00814a4a0: fc0000b4  cbz	x28, #0xfffffff00814a4bc
0xfffffff00814a4a4: e0031caa  mov	x0, x28
0xfffffff00814a4a8: e10f40b9  ldr	w1, [sp, #0xc]
0xfffffff00814a4ac: 9a70f997  bl	#0xfffffff007fa6714
0xfffffff00814a4b0: e0031caa  mov	x0, x28
0xfffffff00814a4b4: 01008052  mov	w1, #0
0xfffffff00814a4b8: dc55f997  bl	#0xfffffff007f9fc28
0xfffffff00814a4bc: 60c1fff0  adrp	x0, #0xfffffff007979000
0xfffffff00814a4c0: 00c02191  add	x0, x0, #0x870
0xfffffff00814a4c4: e10315aa  mov	x1, x21
0xfffffff00814a4c8: d1fdf297  bl	#0xfffffff007e09c0c
0xfffffff00814a4cc: f50317aa  mov	x21, x23
0xfffffff00814a4d0: b7f2ffb5  cbnz	x23, #0xfffffff00814a324
0xfffffff00814a4d4: 19000014  b	#0xfffffff00814a538
0xfffffff00814a4d8: e00318aa  mov	x0, x24
0xfffffff00814a4dc: e10316aa  mov	x1, x22
0xfffffff00814a4e0: 02008052  mov	w2, #0
0xfffffff00814a4e4: 8585f197  bl	#0xfffffff007dabaf8
0xfffffff00814a4e8: a2ffff17  b	#0xfffffff00814a370
0xfffffff00814a4ec: e00318aa  mov	x0, x24
0xfffffff00814a4f0: e10316aa  mov	x1, x22
0xfffffff00814a4f4: 9c88f197  bl	#0xfffffff007dac764
0xfffffff00814a4f8: abffff17  b	#0xfffffff00814a3a4
0xfffffff00814a4fc: e00319aa  mov	x0, x25
0xfffffff00814a500: e10316aa  mov	x1, x22
0xfffffff00814a504: 02008052  mov	w2, #0
0xfffffff00814a508: 7c85f197  bl	#0xfffffff007dabaf8
0xfffffff00814a50c: acffff17  b	#0xfffffff00814a3bc
0xfffffff00814a510: e00319aa  mov	x0, x25
0xfffffff00814a514: e10316aa  mov	x1, x22
0xfffffff00814a518: 9388f197  bl	#0xfffffff007dac764
0xfffffff00814a51c: d5ffff17  b	#0xfffffff00814a470
0xfffffff00814a520: a079ff90  adrp	x0, #0xfffffff00707e000
0xfffffff00814a524: 00103891  add	x0, x0, #0xe04
0xfffffff00814a528: a179ff90  adrp	x1, #0xfffffff00707e000
0xfffffff00814a52c: 21942d91  add	x1, x1, #0xb65
0xfffffff00814a530: 02278052  mov	w2, #0x138
0xfffffff00814a534: b8540d94  bl	#0xfffffff00849f814
0xfffffff00814a538: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00814a53c: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00814a540: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff00814a544: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff00814a548: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff00814a54c: fc6f41a9  ldp	x28, x27, [sp, #0x10]
0xfffffff00814a550: ffc30191  add	sp, sp, #0x70
0xfffffff00814a554: ff0f5fd6  retab	
0xfffffff00814a558: a079ff90  adrp	x0, #0xfffffff00707e000
0xfffffff00814a55c: 00103691  add	x0, x0, #0xd84
0xfffffff00814a560: a179ff90  adrp	x1, #0xfffffff00707e000
0xfffffff00814a564: 21942d91  add	x1, x1, #0xb65
0xfffffff00814a568: e21e8052  mov	w2, #0xf7
0xfffffff00814a56c: aa540d94  bl	#0xfffffff00849f814
0xfffffff00814a570: a079ffb0  adrp	x0, #0xfffffff00707f000
0xfffffff00814a574: 00ac0d91  add	x0, x0, #0x36b
0xfffffff00814a578: a179ff90  adrp	x1, #0xfffffff00707e000
0xfffffff00814a57c: 21942d91  add	x1, x1, #0xb65
0xfffffff00814a580: 02208052  mov	w2, #0x100
0xfffffff00814a584: a4540d94  bl	#0xfffffff00849f814
0xfffffff00814a588: a079ffb0  adrp	x0, #0xfffffff00707f000
0xfffffff00814a58c: 00280e91  add	x0, x0, #0x38a
0xfffffff00814a590: a179ff90  adrp	x1, #0xfffffff00707e000
0xfffffff00814a594: 21942d91  add	x1, x1, #0xb65
0xfffffff00814a598: 22208052  mov	w2, #0x101
0xfffffff00814a59c: 9e540d94  bl	#0xfffffff00849f814
