; Candidate 943
; ADRP+ADD at VM 0xfffffff00810dc2c (fileoff 0x1109c2c): page=0x210a000 add_imm=0xda8

0xfffffff00810dbac: e00313aa  mov	x0, x19
0xfffffff00810dbb0: 41340494  bl	#0xfffffff00821acb4
0xfffffff00810dbb4: f30300aa  mov	x19, x0
0xfffffff00810dbb8: a0ffffb5  cbnz	x0, #0xfffffff00810dbac
0xfffffff00810dbbc: e02f40f9  ldr	x0, [sp, #0x58]
0xfffffff00810dbc0: a0e9ffb4  cbz	x0, #0xfffffff00810d8f4
0xfffffff00810dbc4: c7dbf997  bl	#0xfffffff007f84ae0
0xfffffff00810dbc8: 4bffff17  b	#0xfffffff00810d8f4
0xfffffff00810dbcc: e07bffb0  adrp	x0, #0xfffffff00708a000
0xfffffff00810dbd0: 00cc1d91  add	x0, x0, #0x773
0xfffffff00810dbd4: 617bffd0  adrp	x1, #0xfffffff00707b000
0xfffffff00810dbd8: 21ec2a91  add	x1, x1, #0xabb
0xfffffff00810dbdc: 22bc8052  mov	w2, #0x5e1
0xfffffff00810dbe0: 0d470e94  bl	#0xfffffff00849f814
0xfffffff00810dbe4: 400801d0  adrp	x0, #0xfffffff00a217000
0xfffffff00810dbe8: 00a03691  add	x0, x0, #0xda8
0xfffffff00810dbec: e10318aa  mov	x1, x24
0xfffffff00810dbf0: 02008052  mov	w2, #0
0xfffffff00810dbf4: c177f297  bl	#0xfffffff007dabaf8
0xfffffff00810dbf8: 08ffff17  b	#0xfffffff00810d818
0xfffffff00810dbfc: 400801d0  adrp	x0, #0xfffffff00a217000
0xfffffff00810dc00: 00a03691  add	x0, x0, #0xda8
0xfffffff00810dc04: e10318aa  mov	x1, x24
0xfffffff00810dc08: d77af297  bl	#0xfffffff007dac764
0xfffffff00810dc0c: f6e1ffb5  cbnz	x22, #0xfffffff00810d848
0xfffffff00810dc10: 33ffff17  b	#0xfffffff00810d8dc
0xfffffff00810dc14: 400801d0  adrp	x0, #0xfffffff00a217000
0xfffffff00810dc18: 00a03691  add	x0, x0, #0xda8
0xfffffff00810dc1c: e10314aa  mov	x1, x20
0xfffffff00810dc20: 02008052  mov	w2, #0
0xfffffff00810dc24: b577f297  bl	#0xfffffff007dabaf8
0xfffffff00810dc28: 90ffff17  b	#0xfffffff00810da68
0xfffffff00810dc2c: 400801d0  adrp	x0, #0xfffffff00a217000
0xfffffff00810dc30: 00a03691  add	x0, x0, #0xda8
0xfffffff00810dc34: e10314aa  mov	x1, x20
0xfffffff00810dc38: cb7af297  bl	#0xfffffff007dac764
0xfffffff00810dc3c: c80240f9  ldr	x8, [x22]
0xfffffff00810dc40: e8f2ffb5  cbnz	x8, #0xfffffff00810da9c
0xfffffff00810dc44: 47ffff17  b	#0xfffffff00810d960
0xfffffff00810dc48: 687bffb0  adrp	x8, #0xfffffff00707a000
0xfffffff00810dc4c: 082d3791  add	x8, x8, #0xdcb
0xfffffff00810dc50: 09b58052  mov	w9, #0x5a8
0xfffffff00810dc54: e82700a9  stp	x8, x9, [sp]
0xfffffff00810dc58: 807bff90  adrp	x0, #0xfffffff00707d000
0xfffffff00810dc5c: 00381a91  add	x0, x0, #0x68e
0xfffffff00810dc60: 2b1a0e94  bl	#0xfffffff00849450c
0xfffffff00810dc64: 60010000  udf	#0x160
0xfffffff00810dc68: f8000000  udf	#0xf8
0xfffffff00810dc6c: 0c010000  udf	#0x10c
0xfffffff00810dc70: 0c000000  udf	#0xc
0xfffffff00810dc74: 0c000000  udf	#0xc
0xfffffff00810dc78: 0c000000  udf	#0xc
0xfffffff00810dc7c: 1c000000  udf	#0x1c
0xfffffff00810dc80: 44000000  udf	#0x44
0xfffffff00810dc84: c4000000  udf	#0xc4
0xfffffff00810dc88: 7f2303d5  pacibsp	
0xfffffff00810dc8c: fa67bba9  stp	x26, x25, [sp, #-0x50]!
0xfffffff00810dc90: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff00810dc94: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff00810dc98: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff00810dc9c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff00810dca0: fd030191  add	x29, sp, #0x40
0xfffffff00810dca4: ff0307d1  sub	sp, sp, #0x1c0
0xfffffff00810dca8: bf7f3ba9  stp	xzr, xzr, [x29, #-0x50]
