; Candidate 4128
; ADRP+ADD at VM 0xfffffff0087931e4 (fileoff 0x178f1e4): page=0x1fe99e000 add_imm=0xd90

0xfffffff008793164: 4afd60d3  lsr	x10, x10, #0x20
0xfffffff008793168: 564eff90  adrp	x22, #0xfffffff00715b000
0xfffffff00879316c: d61e1991  add	x22, x22, #0x647
0xfffffff008793170: aa0100b4  cbz	x10, #0xfffffff0087931a4
0xfffffff008793174: e8078352  mov	w8, #0x183f
0xfffffff008793178: f62300a9  stp	x22, x8, [sp]
0xfffffff00879317c: e04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff008793180: 00403691  add	x0, x0, #0xd90
0xfffffff008793184: 4193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008793188: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00879318c: a34dffb0  adrp	x3, #0xfffffff007148000
0xfffffff008793190: 63dc3591  add	x3, x3, #0xd77
0xfffffff008793194: 02008052  mov	w2, #0
0xfffffff008793198: e67fee97  bl	#0xfffffff008333130
0xfffffff00879319c: 080340f9  ldr	x8, [x24]
0xfffffff0087931a0: e90308cb  neg	x9, x8
0xfffffff0087931a4: e802080b  add	w8, w23, w8
0xfffffff0087931a8: 08050051  sub	w8, w8, #1
0xfffffff0087931ac: 2801080a  and	w8, w9, w8
0xfffffff0087931b0: a88319f8  stur	x8, [x29, #-0x68]
0xfffffff0087931b4: a84eff90  adrp	x8, #0xfffffff007167000
0xfffffff0087931b8: 003547fd  ldr	d0, [x8, #0xe68]
0xfffffff0087931bc: a0031afc  stur	d0, [x29, #-0x60]
0xfffffff0087931c0: 37008052  mov	w23, #1
0xfffffff0087931c4: b7831b78  sturh	w23, [x29, #-0x48]
0xfffffff0087931c8: a1c301d1  sub	x1, x29, #0x70
0xfffffff0087931cc: e2430091  add	x2, sp, #0x10
0xfffffff0087931d0: e00315aa  mov	x0, x21
0xfffffff0087931d4: 5a0c0094  bl	#0xfffffff00879633c
0xfffffff0087931d8: f50300aa  mov	x21, x0
0xfffffff0087931dc: 80010034  cbz	w0, #0xfffffff00879320c
0xfffffff0087931e0: f65700a9  stp	x22, x21, [sp]
0xfffffff0087931e4: e04cffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087931e8: 00403691  add	x0, x0, #0xd90
0xfffffff0087931ec: 4193ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087931f0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087931f4: a34dffb0  adrp	x3, #0xfffffff007148000
0xfffffff0087931f8: 63ac3691  add	x3, x3, #0xdab
0xfffffff0087931fc: 02008052  mov	w2, #0
0xfffffff008793200: cc7fee97  bl	#0xfffffff008333130
0xfffffff008793204: 7f020039  strb	wzr, [x19]
0xfffffff008793208: 12000014  b	#0xfffffff008793250
0xfffffff00879320c: e18342ad  ldp	q1, q0, [sp, #0x50]
0xfffffff008793210: 6082853c  stur	q0, [x19, #0x58]
0xfffffff008793214: e08b43ad  ldp	q0, q2, [sp, #0x70]
0xfffffff008793218: 6082863c  stur	q0, [x19, #0x68]
0xfffffff00879321c: 6282873c  stur	q2, [x19, #0x78]
0xfffffff008793220: e28340ad  ldp	q2, q0, [sp, #0x10]
0xfffffff008793224: 6082813c  stur	q0, [x19, #0x18]
0xfffffff008793228: e08f41ad  ldp	q0, q3, [sp, #0x30]
0xfffffff00879322c: 6082823c  stur	q0, [x19, #0x28]
0xfffffff008793230: 6382833c  stur	q3, [x19, #0x38]
0xfffffff008793234: 6182843c  stur	q1, [x19, #0x48]
0xfffffff008793238: e84b40f9  ldr	x8, [sp, #0x90]
0xfffffff00879323c: 684600f9  str	x8, [x19, #0x88]
0xfffffff008793240: 6282803c  stur	q2, [x19, #8]
0xfffffff008793244: 77020039  strb	w23, [x19]
0xfffffff008793248: 680640f9  ldr	x8, [x19, #8]
0xfffffff00879324c: 880200f9  str	x8, [x20]
0xfffffff008793250: e00315aa  mov	x0, x21
0xfffffff008793254: fd7b51a9  ldp	x29, x30, [sp, #0x110]
0xfffffff008793258: f44f50a9  ldp	x20, x19, [sp, #0x100]
0xfffffff00879325c: f6574fa9  ldp	x22, x21, [sp, #0xf0]
0xfffffff008793260: f85f4ea9  ldp	x24, x23, [sp, #0xe0]
