; Candidate 3025
; ADRP+ADD at VM 0xfffffff008709bb4 (fileoff 0x1705bb4): page=0x1fea28000 add_imm=0xd90

0xfffffff008709b34: 202b00b9  str	w0, [x25, #0x28]
0xfffffff008709b38: e80315aa  mov	x8, x21
0xfffffff008709b3c: e90316aa  mov	x9, x22
0xfffffff008709b40: b60315b8  stur	w22, [x29, #-0xb0]
0xfffffff008709b44: 281f0079  strh	w8, [x25, #0xe]
0xfffffff008709b48: e0031caa  mov	x0, x28
0xfffffff008709b4c: 94060091  add	x20, x20, #1
0xfffffff008709b50: a88355f8  ldur	x8, [x29, #-0xa8]
0xfffffff008709b54: 1f0114eb  cmp	x8, x20
0xfffffff008709b58: 81caff54  b.ne	#0xfffffff0087094a8
0xfffffff008709b5c: 27feff17  b	#0xfffffff0087093f8
0xfffffff008709b60: f77b00b9  str	w23, [sp, #0x78]
0xfffffff008709b64: b70356b8  ldur	w23, [x29, #-0xa0]
0xfffffff008709b68: f9ffff17  b	#0xfffffff008709b4c
0xfffffff008709b6c: 0fd08452  mov	w15, #0x2680
0xfffffff008709b70: 0f250f9b  madd	x15, x8, x15, x9
0xfffffff008709b74: efd14039  ldrb	w15, [x15, #0x34]
0xfffffff008709b78: ff010071  cmp	w15, #0
0xfffffff008709b7c: a009417a  ccmp	w13, #1, #0, eq
0xfffffff008709b80: 8089407a  ccmp	w12, #0, #0, hi
0xfffffff008709b84: ec179f1a  cset	w12, eq
0xfffffff008709b88: ec9f00b9  str	w12, [sp, #0x9c]
0xfffffff008709b8c: ccfdff17  b	#0xfffffff0087092bc
0xfffffff008709b90: a8a776a9  ldp	x8, x9, [x29, #-0x98]
0xfffffff008709b94: 340940f9  ldr	x20, [x9, #0x10]
0xfffffff008709b98: 0941388b  add	x9, x8, w24, uxtw
0xfffffff008709b9c: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff008709ba0: c90100b4  cbz	x9, #0xfffffff008709bd8
0xfffffff008709ba4: a9d48052  mov	w9, #0x6a5
0xfffffff008709ba8: 2852ffd0  adrp	x8, #0xfffffff00714f000
0xfffffff008709bac: 08b90a91  add	x8, x8, #0x2ae
0xfffffff008709bb0: e82700a9  stp	x8, x9, [sp]
0xfffffff008709bb4: 4051ff90  adrp	x0, #0xfffffff007131000
0xfffffff008709bb8: 00403691  add	x0, x0, #0xd90
0xfffffff008709bbc: a197ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008709bc0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008709bc4: 6351ffb0  adrp	x3, #0xfffffff007136000
0xfffffff008709bc8: 63683791  add	x3, x3, #0xdda
0xfffffff008709bcc: 02008052  mov	w2, #0
0xfffffff008709bd0: 58a5f097  bl	#0xfffffff008333130
0xfffffff008709bd4: a88356f8  ldur	x8, [x29, #-0x98]
0xfffffff008709bd8: 0803080b  add	w8, w24, w8
0xfffffff008709bdc: 880208ab  adds	x8, x20, x8
0xfffffff008709be0: 03020054  b.lo	#0xfffffff008709c20
0xfffffff008709be4: 00008012  mov	w0, #-1
0xfffffff008709be8: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff008709bec: a997ff90  adrp	x9, #0xfffffff0079fd000
0xfffffff008709bf0: 29d941f9  ldr	x9, [x9, #0x3b0]
0xfffffff008709bf4: 290140f9  ldr	x9, [x9]
0xfffffff008709bf8: 3f0108eb  cmp	x9, x8
0xfffffff008709bfc: 610d0054  b.ne	#0xfffffff008709da8
0xfffffff008709c00: fd7b59a9  ldp	x29, x30, [sp, #0x190]
0xfffffff008709c04: f44f58a9  ldp	x20, x19, [sp, #0x180]
0xfffffff008709c08: f65757a9  ldp	x22, x21, [sp, #0x170]
0xfffffff008709c0c: f85f56a9  ldp	x24, x23, [sp, #0x160]
0xfffffff008709c10: fa6755a9  ldp	x26, x25, [sp, #0x150]
0xfffffff008709c14: fc6f54a9  ldp	x28, x27, [sp, #0x140]
0xfffffff008709c18: ff830691  add	sp, sp, #0x1a0
0xfffffff008709c1c: ff0f5fd6  retab	
0xfffffff008709c20: a98354b8  ldur	w9, [x29, #-0xb8]
0xfffffff008709c24: 2901184b  sub	w9, w9, w24
0xfffffff008709c28: 28a70229  stp	w8, w9, [x25, #0x14]
0xfffffff008709c2c: e9018052  mov	w9, #0xf
0xfffffff008709c30: c901a072  movk	w9, #0xe, lsl #16
