; Candidate 13790
; ADRP+ADD at VM 0xfffffff00958c104 (fileoff 0x2588104): page=0x1fdfd3000 add_imm=0xeae

0xfffffff00958c084: 821d184e  mov	v2.d[1], x12
0xfffffff00958c088: e3e5006f  movi	v3.2d, #0x000000ffffffff
0xfffffff00958c08c: 421c234e  and	v2.16b, v2.16b, v3.16b
0xfffffff00958c090: 211c234e  and	v1.16b, v1.16b, v3.16b
0xfffffff00958c094: 172943b9  ldr	w23, [x8, #0x328]
0xfffffff00958c098: aa0e4079  ldrh	w10, [x21, #6]
0xfffffff00958c09c: 6a060079  strh	w10, [x19, #2]
0xfffffff00958c0a0: 0a109652  mov	w10, #0xb080
0xfffffff00958c0a4: aa84af72  movk	w10, #0x7c25, lsl #16
0xfffffff00958c0a8: 2c010a0b  add	w12, w9, w10
0xfffffff00958c0ac: 3f7d40f2  tst	x9, #0xffffffff
0xfffffff00958c0b0: e9038c1a  csel	w9, wzr, w12, eq
0xfffffff00958c0b4: 691e00b9  str	w9, [x19, #0x1c]
0xfffffff00958c0b8: ab1200f9  str	x11, [x21, #0x20]
0xfffffff00958c0bc: 2198e04e  cmeq	v1.2d, v1.2d, #0
0xfffffff00958c0c0: 4298e04e  cmeq	v2.2d, v2.2d, #0
0xfffffff00958c0c4: 4118814e  uzp1	v1.4s, v2.4s, v1.4s
0xfffffff00958c0c8: 601d1c4e  mov	v0.s[3], w11
0xfffffff00958c0cc: 420d044e  dup	v2.4s, w10
0xfffffff00958c0d0: 0084a24e  add	v0.4s, v0.4s, v2.4s
0xfffffff00958c0d4: 001c614e  bic	v0.16b, v0.16b, v1.16b
0xfffffff00958c0d8: 60c2803c  stur	q0, [x19, #0xc]
0xfffffff00958c0dc: 092040b8  ldur	w9, [x0, #2]
0xfffffff00958c0e0: 0afd44b9  ldr	w10, [x8, #0x4fc]
0xfffffff00958c0e4: 3f010a6b  cmp	w9, w10
0xfffffff00958c0e8: 81010054  b.ne	#0xfffffff00958c118
0xfffffff00958c0ec: a95240b9  ldr	w9, [x21, #0x50]
0xfffffff00958c0f0: 690600b9  str	w9, [x19, #4]
0xfffffff00958c0f4: 0b000014  b	#0xfffffff00958c120
0xfffffff00958c0f8: 08710d91  add	x8, x8, #0x35c
0xfffffff00958c0fc: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff00958c100: e90300f9  str	x9, [sp]
0xfffffff00958c104: 80fefef0  adrp	x0, #0xfffffff00755f000
0xfffffff00958c108: 00b83a91  add	x0, x0, #0xeae
0xfffffff00958c10c: d5aca097  bl	#0xfffffff007db7460
0xfffffff00958c110: c0fb8f12  mov	w0, #-0x7fdf
0xfffffff00958c114: 8f000014  b	#0xfffffff00958c350
0xfffffff00958c118: c9064039  ldrb	w9, [x22, #1]
0xfffffff00958c11c: 695200b9  str	w9, [x19, #0x50]
0xfffffff00958c120: a042c53c  ldur	q0, [x21, #0x54]
0xfffffff00958c124: a142c63c  ldur	q1, [x21, #0x64]
0xfffffff00958c128: 608601ad  stp	q0, q1, [x19, #0x30]
0xfffffff00958c12c: 690a4039  ldrb	w9, [x19, #2]
0xfffffff00958c130: 89012836  tbz	w9, #5, #0xfffffff00958c160
0xfffffff00958c134: 69c20091  add	x9, x19, #0x30
0xfffffff00958c138: 290140b9  ldr	w9, [x9]
0xfffffff00958c13c: ca8c8c52  mov	w10, #0x6466
0xfffffff00958c140: 4a0eae72  movk	w10, #0x7072, lsl #16
0xfffffff00958c144: 3f010a6b  cmp	w9, w10
0xfffffff00958c148: c1000054  b.ne	#0xfffffff00958c160
0xfffffff00958c14c: 693640b9  ldr	w9, [x19, #0x34]
0xfffffff00958c150: aa298852  mov	w10, #0x414d
0xfffffff00958c154: 6a68aa72  movk	w10, #0x5343, lsl #16
0xfffffff00958c158: 3f010a6b  cmp	w9, w10
0xfffffff00958c15c: 20070054  b.eq	#0xfffffff00958c240
0xfffffff00958c160: 69564079  ldrh	w9, [x19, #0x2a]
0xfffffff00958c164: e9030034  cbz	w9, #0xfffffff00958c1e0
0xfffffff00958c168: 001940f9  ldr	x0, [x8, #0x30]
0xfffffff00958c16c: 92b0a697  bl	#0xfffffff007f383b4
0xfffffff00958c170: 8005a836  tbz	w0, #0x15, #0xfffffff00958c220
0xfffffff00958c174: 2d000014  b	#0xfffffff00958c228
0xfffffff00958c178: a94a40b9  ldr	w9, [x21, #0x48]
0xfffffff00958c17c: e9010035  cbnz	w9, #0xfffffff00958c1b8
0xfffffff00958c180: a90e40b9  ldr	w9, [x21, #0xc]
