; Candidate 10782
; ADRP+ADD at VM 0xfffffff008de6720 (fileoff 0x1de2720): page=0x1fe5de000 add_imm=0xe15

0xfffffff008de66a0: e92effd0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de66a4: 29493991  add	x9, x9, #0xe52
0xfffffff008de66a8: eb2effd0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de66ac: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de66b0: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de66b4: eb0300f9  str	x11, [sp]
0xfffffff008de66b8: e02effd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de66bc: 00543891  add	x0, x0, #0xe15
0xfffffff008de66c0: 58c2d597  bl	#0xfffffff008357020
0xfffffff008de66c4: ffc30091  add	sp, sp, #0x30
0xfffffff008de66c8: c8088052  mov	w8, #0x46
0xfffffff008de66cc: f5031caa  mov	x21, x28
0xfffffff008de66d0: dca800b0  adrp	x28, #0xfffffff00a2ff000
0xfffffff008de66d4: 9c432c91  add	x28, x28, #0xb10
0xfffffff008de66d8: c3ffff17  b	#0xfffffff008de65e4
0xfffffff008de66dc: f50300aa  mov	x21, x0
0xfffffff008de66e0: 080c8152  mov	w8, #0x860
0xfffffff008de66e4: 02000014  b	#0xfffffff008de66ec
0xfffffff008de66e8: 880c8152  mov	w8, #0x864
0xfffffff008de66ec: dca800b0  adrp	x28, #0xfffffff00a2ff000
0xfffffff008de66f0: 9c432c91  add	x28, x28, #0xb10
0xfffffff008de66f4: a97e4093  sxtw	x9, w21
0xfffffff008de66f8: ffc300d1  sub	sp, sp, #0x30
0xfffffff008de66fc: ca2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de6700: 4a490d91  add	x10, x10, #0x352
0xfffffff008de6704: eaa301a9  stp	x10, x8, [sp, #0x18]
0xfffffff008de6708: e82effd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de670c: 08493991  add	x8, x8, #0xe52
0xfffffff008de6710: eb2effd0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de6714: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de6718: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008de671c: eb0300f9  str	x11, [sp]
0xfffffff008de6720: e02effd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de6724: 00543891  add	x0, x0, #0xe15
0xfffffff008de6728: 3ec2d597  bl	#0xfffffff008357020
0xfffffff008de672c: ffc30091  add	sp, sp, #0x30
0xfffffff008de6730: c8088052  mov	w8, #0x46
0xfffffff008de6734: 9f020091  mov	sp, x20
0xfffffff008de6738: abffff17  b	#0xfffffff008de65e4
0xfffffff008de673c: ffc300d1  sub	sp, sp, #0x30
0xfffffff008de6740: 680a8152  mov	w8, #0x853
0xfffffff008de6744: c92efff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de6748: 29490d91  add	x9, x9, #0x352
0xfffffff008de674c: e81300f9  str	x8, [sp, #0x20]
0xfffffff008de6750: e82effd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de6754: 08493991  add	x8, x8, #0xe52
0xfffffff008de6758: ca2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de675c: 4a9d2191  add	x10, x10, #0x867
0xfffffff008de6760: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008de6764: ea7f00a9  stp	x10, xzr, [sp]
0xfffffff008de6768: e02effd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de676c: 00543891  add	x0, x0, #0xe15
0xfffffff008de6770: 2cc2d597  bl	#0xfffffff008357020
0xfffffff008de6774: ffc30091  add	sp, sp, #0x30
0xfffffff008de6778: c8088052  mov	w8, #0x46
0xfffffff008de677c: 55008012  mov	w21, #-3
0xfffffff008de6780: 99ffff17  b	#0xfffffff008de65e4
0xfffffff008de6784: f50300aa  mov	x21, x0
0xfffffff008de6788: a87e4093  sxtw	x8, w21
0xfffffff008de678c: ffc300d1  sub	sp, sp, #0x30
0xfffffff008de6790: 890d8152  mov	w9, #0x86c
0xfffffff008de6794: ca2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de6798: 4a490d91  add	x10, x10, #0x352
0xfffffff008de679c: eaa701a9  stp	x10, x9, [sp, #0x18]
