; Candidate 15940
; ADRP+ADD at VM 0xfffffff009dedea0 (fileoff 0x2de9ea0): page=0x5d1000 add_imm=0xd80

0xfffffff009dede20: ffc300d1  sub	sp, sp, #0x30
0xfffffff009dede24: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff009dede28: fd830091  add	x29, sp, #0x20
0xfffffff009dede2c: a8068052  mov	w8, #0x35
0xfffffff009dede30: 69c5fed0  adrp	x9, #0xfffffff00769b000
0xfffffff009dede34: 29110691  add	x9, x9, #0x184
0xfffffff009dede38: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff009dede3c: e00300f9  str	x0, [sp]
0xfffffff009dede40: 60c5fed0  adrp	x0, #0xfffffff00769b000
0xfffffff009dede44: 00e00591  add	x0, x0, #0x178
0xfffffff009dede48: b1999a97  bl	#0xfffffff00849450c
0xfffffff009dede4c: 7f2303d5  pacibsp	
0xfffffff009dede50: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009dede54: fd030091  mov	x29, sp
0xfffffff009dede58: 802e00b0  adrp	x0, #0xfffffff00a3be000
0xfffffff009dede5c: 00003691  add	x0, x0, #0xd80
0xfffffff009dede60: a1c5fe90  adrp	x1, #0xfffffff0076a1000
0xfffffff009dede64: 21dc0891  add	x1, x1, #0x237
0xfffffff009dede68: 82f9fe90  adrp	x2, #0xfffffff007d1d000
0xfffffff009dede6c: 427843f9  ldr	x2, [x2, #0x6f0]
0xfffffff009dede70: 03098152  mov	w3, #0x848
0xfffffff009dede74: 31d79397  bl	#0xfffffff0082e3b38
0xfffffff009dede78: d0f9fe90  adrp	x16, #0xfffffff007d25000
0xfffffff009dede7c: 10220691  add	x16, x16, #0x188
0xfffffff009dede80: 10420091  add	x16, x16, #0x10
0xfffffff009dede84: f10300aa  mov	x17, x0
0xfffffff009dede88: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009dede8c: 300ac1da  pacda	x16, x17
0xfffffff009dede90: 100000f9  str	x16, [x0]
0xfffffff009dede94: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009dede98: ff0f5fd6  retab	
0xfffffff009dede9c: 5f2403d5  bti	c
0xfffffff009dedea0: 802e00b0  adrp	x0, #0xfffffff00a3be000
0xfffffff009dedea4: 00003691  add	x0, x0, #0xd80
0xfffffff009dedea8: 13da9317  b	#0xfffffff0082e46f4
0xfffffff009dedeac: 7f2303d5  pacibsp	
0xfffffff009dedeb0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009dedeb4: fd030091  mov	x29, sp
0xfffffff009dedeb8: a1c5fe90  adrp	x1, #0xfffffff0076a1000
0xfffffff009dedebc: 21b81191  add	x1, x1, #0x46e
0xfffffff009dedec0: 82f9fe90  adrp	x2, #0xfffffff007d1d000
0xfffffff009dedec4: 427843f9  ldr	x2, [x2, #0x6f0]
0xfffffff009dedec8: 03128052  mov	w3, #0x90
0xfffffff009dedecc: 1bd79397  bl	#0xfffffff0082e3b38
0xfffffff009deded0: d0f9fe90  adrp	x16, #0xfffffff007d25000
0xfffffff009deded4: 10220c91  add	x16, x16, #0x308
0xfffffff009deded8: 10420091  add	x16, x16, #0x10
0xfffffff009dededc: f10300aa  mov	x17, x0
0xfffffff009dedee0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009dedee4: 300ac1da  pacda	x16, x17
0xfffffff009dedee8: 100000f9  str	x16, [x0]
0xfffffff009dedeec: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009dedef0: ff0f5fd6  retab	
0xfffffff009dedef4: 5f2403d5  bti	c
0xfffffff009dedef8: ffd99317  b	#0xfffffff0082e46f4
0xfffffff009dedefc: 7f2303d5  pacibsp	
0xfffffff009dedf00: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009dedf04: fd030091  mov	x29, sp
0xfffffff009dedf08: 19e69397  bl	#0xfffffff0082e776c
0xfffffff009dedf0c: d0f9fe90  adrp	x16, #0xfffffff007d25000
0xfffffff009dedf10: 10e20991  add	x16, x16, #0x278
0xfffffff009dedf14: 10420091  add	x16, x16, #0x10
0xfffffff009dedf18: f10300aa  mov	x17, x0
0xfffffff009dedf1c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
