; Candidate 13824
; ADRP+ADD at VM 0xfffffff0095a6e00 (fileoff 0x25a2e00): page=0x1fdfbc000 add_imm=0xde2

0xfffffff0095a6d80: e10314aa  mov	x1, x20
0xfffffff0095a6d84: 62beb697  bl	#0xfffffff00835670c
0xfffffff0095a6d88: 016f00f0  adrp	x1, #0xfffffff00a389000
0xfffffff0095a6d8c: 21c00391  add	x1, x1, #0xf0
0xfffffff0095a6d90: e0448092  mov	x0, #-0x228
0xfffffff0095a6d94: 4ff1b497  bl	#0xfffffff0082e32d0
0xfffffff0095a6d98: 680240b9  ldr	w8, [x19]
0xfffffff0095a6d9c: 08011d32  orr	w8, w8, #8
0xfffffff0095a6da0: 680200b9  str	w8, [x19]
0xfffffff0095a6da4: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff0095a6da8: 0932fff0  adrp	x9, #0xfffffff007be9000
0xfffffff0095a6dac: 290546f9  ldr	x9, [x9, #0xc08]
0xfffffff0095a6db0: 290140f9  ldr	x9, [x9]
0xfffffff0095a6db4: 3f0108eb  cmp	x9, x8
0xfffffff0095a6db8: 61050054  b.ne	#0xfffffff0095a6e64
0xfffffff0095a6dbc: ff431191  add	sp, sp, #0x450
0xfffffff0095a6dc0: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0095a6dc4: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0095a6dc8: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0095a6dcc: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff0095a6dd0: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff0095a6dd4: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff0095a6dd8: ff0f5fd6  retab	
0xfffffff0095a6ddc: e0fdfe90  adrp	x0, #0xfffffff007562000
0xfffffff0095a6de0: 00d03591  add	x0, x0, #0xd74
0xfffffff0095a6de4: 9f41a097  bl	#0xfffffff007db7460
0xfffffff0095a6de8: 15008052  mov	w21, #0
0xfffffff0095a6dec: 18008052  mov	w24, #0
0xfffffff0095a6df0: 37008052  mov	w23, #1
0xfffffff0095a6df4: cfffff17  b	#0xfffffff0095a6d30
0xfffffff0095a6df8: e8df40b9  ldr	w8, [sp, #0xdc]
0xfffffff0095a6dfc: e80300f9  str	x8, [sp]
0xfffffff0095a6e00: e0fdfe90  adrp	x0, #0xfffffff007562000
0xfffffff0095a6e04: 00883791  add	x0, x0, #0xde2
0xfffffff0095a6e08: 9641a097  bl	#0xfffffff007db7460
0xfffffff0095a6e0c: e00313aa  mov	x0, x19
0xfffffff0095a6e10: e10316aa  mov	x1, x22
0xfffffff0095a6e14: 6f020094  bl	#0xfffffff0095a77d0
0xfffffff0095a6e18: e00313aa  mov	x0, x19
0xfffffff0095a6e1c: 01008052  mov	w1, #0
0xfffffff0095a6e20: 02008052  mov	w2, #0
0xfffffff0095a6e24: 3ac2ff97  bl	#0xfffffff00959770c
0xfffffff0095a6e28: 18008052  mov	w24, #0
0xfffffff0095a6e2c: 35008052  mov	w21, #1
0xfffffff0095a6e30: c0ffff17  b	#0xfffffff0095a6d30
0xfffffff0095a6e34: e0fdfe90  adrp	x0, #0xfffffff007562000
0xfffffff0095a6e38: 00003791  add	x0, x0, #0xdc0
0xfffffff0095a6e3c: 8941a097  bl	#0xfffffff007db7460
0xfffffff0095a6e40: 37008052  mov	w23, #1
0xfffffff0095a6e44: 35008052  mov	w21, #1
0xfffffff0095a6e48: 38008052  mov	w24, #1
0xfffffff0095a6e4c: b9ffff17  b	#0xfffffff0095a6d30
0xfffffff0095a6e50: e0fdfe90  adrp	x0, #0xfffffff007562000
0xfffffff0095a6e54: 000c3591  add	x0, x0, #0xd43
0xfffffff0095a6e58: 8241a097  bl	#0xfffffff007db7460
0xfffffff0095a6e5c: 17008052  mov	w23, #0
0xfffffff0095a6e60: f2ffff17  b	#0xfffffff0095a6e28
0xfffffff0095a6e64: fadb9e97  bl	#0xfffffff007d5de4c
0xfffffff0095a6e68: 7f2303d5  pacibsp	
0xfffffff0095a6e6c: ff0303d1  sub	sp, sp, #0xc0
0xfffffff0095a6e70: fc6f06a9  stp	x28, x27, [sp, #0x60]
0xfffffff0095a6e74: fa6707a9  stp	x26, x25, [sp, #0x70]
0xfffffff0095a6e78: f85f08a9  stp	x24, x23, [sp, #0x80]
0xfffffff0095a6e7c: f65709a9  stp	x22, x21, [sp, #0x90]
