; Candidate 1196
; ADRP+ADD at VM 0xfffffff0082852b0 (fileoff 0x12812b0): page=0x1fee0b000 add_imm=0xd47

0xfffffff008285230: a81200b9  str	w8, [x21, #0x10]
0xfffffff008285234: 940000b4  cbz	x20, #0xfffffff008285244
0xfffffff008285238: 9f7e00a9  stp	xzr, xzr, [x20]
0xfffffff00828523c: 9f1a00b9  str	wzr, [x20, #0x18]
0xfffffff008285240: 9f0a00f9  str	xzr, [x20, #0x10]
0xfffffff008285244: 684241b9  ldr	w8, [x19, #0x140]
0xfffffff008285248: 08050011  add	w8, w8, #1
0xfffffff00828524c: 684201b9  str	w8, [x19, #0x140]
0xfffffff008285250: 68a655a9  ldp	x8, x9, [x19, #0x158]
0xfffffff008285254: 08050091  add	x8, x8, #1
0xfffffff008285258: 68ae00f9  str	x8, [x19, #0x158]
0xfffffff00828525c: 1f0109eb  cmp	x8, x9
0xfffffff008285260: 29010054  b.ls	#0xfffffff008285284
0xfffffff008285264: 00008052  mov	w0, #0
0xfffffff008285268: 68b200f9  str	x8, [x19, #0x160]
0xfffffff00828526c: 07000014  b	#0xfffffff008285288
0xfffffff008285270: 68420591  add	x8, x19, #0x150
0xfffffff008285274: 29008052  mov	w9, #1
0xfffffff008285278: 080129f8  ldadd	x9, x8, [x8]
0xfffffff00828527c: 80018052  mov	w0, #0xc
0xfffffff008285280: 02000014  b	#0xfffffff008285288
0xfffffff008285284: 00008052  mov	w0, #0
0xfffffff008285288: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00828528c: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008285290: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008285294: ff0f5fd6  retab	
0xfffffff008285298: 4070fff0  adrp	x0, #0xfffffff007090000
0xfffffff00828529c: 00a43191  add	x0, x0, #0xc69
0xfffffff0082852a0: 4170fff0  adrp	x1, #0xfffffff007090000
0xfffffff0082852a4: 21b02491  add	x1, x1, #0x92c
0xfffffff0082852a8: 42a08052  mov	w2, #0x502
0xfffffff0082852ac: 5a690894  bl	#0xfffffff00849f814
0xfffffff0082852b0: 4070fff0  adrp	x0, #0xfffffff007090000
0xfffffff0082852b4: 001c3591  add	x0, x0, #0xd47
0xfffffff0082852b8: 4170fff0  adrp	x1, #0xfffffff007090000
0xfffffff0082852bc: 21b02491  add	x1, x1, #0x92c
0xfffffff0082852c0: 22a68052  mov	w2, #0x531
0xfffffff0082852c4: 54690894  bl	#0xfffffff00849f814
0xfffffff0082852c8: 7f2303d5  pacibsp	
0xfffffff0082852cc: ffc301d1  sub	sp, sp, #0x70
0xfffffff0082852d0: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff0082852d4: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0082852d8: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0082852dc: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0082852e0: fd830191  add	x29, sp, #0x60
0xfffffff0082852e4: f30300aa  mov	x19, x0
0xfffffff0082852e8: 080080d2  mov	x8, #0
0xfffffff0082852ec: 94d038d5  mrs	x20, tpidr_el1
0xfffffff0082852f0: 891a44b9  ldr	w9, [x20, #0x418]
0xfffffff0082852f4: 15fe00d0  adrp	x21, #0xfffffff00a247000
0xfffffff0082852f8: b5821991  add	x21, x21, #0x660
0xfffffff0082852fc: a97ee8c8  casa	x8, x9, [x21]
0xfffffff008285300: 1f0100f1  cmp	x8, #0
0xfffffff008285304: c10e0054  b.ne	#0xfffffff0082854dc
0xfffffff008285308: 08fe00d0  adrp	x8, #0xfffffff00a247000
0xfffffff00828530c: 146503f9  str	x20, [x8, #0x6c8]
0xfffffff008285310: 69b640f9  ldr	x9, [x19, #0x168]
0xfffffff008285314: 890100b4  cbz	x9, #0xfffffff008285344
0xfffffff008285318: 6aa20591  add	x10, x19, #0x168
0xfffffff00828531c: 2bb940f9  ldr	x11, [x9, #0x170]
0xfffffff008285320: 7f010aeb  cmp	x11, x10
0xfffffff008285324: 41130054  b.ne	#0xfffffff00828558c
0xfffffff008285328: 6aba40f9  ldr	x10, [x19, #0x170]
0xfffffff00828532c: 4b0140f9  ldr	x11, [x10]
