; Candidate 6240
; ADRP+ADD at VM 0xfffffff00881c818 (fileoff 0x1818818): page=0x1fe9cd000 add_imm=0xe80

0xfffffff00881c798: 637c3291  add	x3, x3, #0xc9f
0xfffffff00881c79c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00881c7a0: f60300f9  str	x22, [sp]
0xfffffff00881c7a4: 604effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881c7a8: 00003a91  add	x0, x0, #0xe80
0xfffffff00881c7ac: 618fff90  adrp	x1, #0xfffffff007a08000
0xfffffff00881c7b0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881c7b4: 02008052  mov	w2, #0
0xfffffff00881c7b8: 5e5aec97  bl	#0xfffffff008333130
0xfffffff00881c7bc: f60317aa  mov	x22, x23
0xfffffff00881c7c0: b5000014  b	#0xfffffff00881ca94
0xfffffff00881c7c4: 7a5e0294  bl	#0xfffffff0088b41ac
0xfffffff00881c7c8: f70300aa  mov	x23, x0
0xfffffff00881c7cc: 80008052  mov	w0, #4
0xfffffff00881c7d0: 207c0194  bl	#0xfffffff00887b850
0xfffffff00881c7d4: e80316aa  mov	x8, x22
0xfffffff00881c7d8: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881c7dc: e82b00f9  str	x8, [sp, #0x50]
0xfffffff00881c7e0: e80315aa  mov	x8, x21
0xfffffff00881c7e4: f42304a9  stp	x20, x8, [sp, #0x40]
0xfffffff00881c7e8: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff00881c7ec: a84fff90  adrp	x8, #0xfffffff007210000
0xfffffff00881c7f0: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881c7f4: 895d8152  mov	w9, #0xaec
0xfffffff00881c7f8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00881c7fc: 0850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff00881c800: 08d12b91  add	x8, x8, #0xaf4
0xfffffff00881c804: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881c808: 880e8052  mov	w8, #0x74
0xfffffff00881c80c: 6351ffb0  adrp	x3, #0xfffffff007249000
0xfffffff00881c810: 634c3391  add	x3, x3, #0xcd3
0xfffffff00881c814: f72300a9  stp	x23, x8, [sp]
0xfffffff00881c818: 604effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00881c81c: 00003a91  add	x0, x0, #0xe80
0xfffffff00881c820: 618fff90  adrp	x1, #0xfffffff007a08000
0xfffffff00881c824: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881c828: 02008052  mov	w2, #0
0xfffffff00881c82c: 415aec97  bl	#0xfffffff008333130
0xfffffff00881c830: 99000014  b	#0xfffffff00881ca94
0xfffffff00881c834: 800e8052  mov	w0, #0x74
0xfffffff00881c838: 81008052  mov	w1, #4
0xfffffff00881c83c: e57b0194  bl	#0xfffffff00887b7d0
0xfffffff00881c840: 800e0034  cbz	w0, #0xfffffff00881ca10
0xfffffff00881c844: 800e8052  mov	w0, #0x74
0xfffffff00881c848: f47b0194  bl	#0xfffffff00887b818
0xfffffff00881c84c: f70300aa  mov	x23, x0
0xfffffff00881c850: 575e0294  bl	#0xfffffff0088b41ac
0xfffffff00881c854: f60300aa  mov	x22, x0
0xfffffff00881c858: 80008052  mov	w0, #4
0xfffffff00881c85c: fd7b0194  bl	#0xfffffff00887b850
0xfffffff00881c860: 770a0034  cbz	w23, #0xfffffff00881c9ac
0xfffffff00881c864: e80315aa  mov	x8, x21
0xfffffff00881c868: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff00881c86c: f42304a9  stp	x20, x8, [sp, #0x40]
0xfffffff00881c870: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff00881c874: 0850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff00881c878: 08e51191  add	x8, x8, #0x479
0xfffffff00881c87c: 295e8152  mov	w9, #0xaf1
0xfffffff00881c880: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00881c884: 0850fff0  adrp	x8, #0xfffffff00721f000
0xfffffff00881c888: 08d12b91  add	x8, x8, #0xaf4
0xfffffff00881c88c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00881c890: 880e8052  mov	w8, #0x74
0xfffffff00881c894: 0050fff0  adrp	x0, #0xfffffff00721f000
