; Candidate 2476
; ADRP+ADD at VM 0xfffffff00869d858 (fileoff 0x1699858): page=0x1fea89000 add_imm=0xd7e

0xfffffff00869d7d8: 080e4ef8  ldr	x8, [x16, #0xe0]!
0xfffffff00869d7dc: e90310aa  mov	x9, x16
0xfffffff00869d7e0: 4154ff90  adrp	x1, #0xfffffff007125000
0xfffffff00869d7e4: 21242491  add	x1, x1, #0x909
0xfffffff00869d7e8: e00313aa  mov	x0, x19
0xfffffff00869d7ec: 020080d2  mov	x2, #0
0xfffffff00869d7f0: 03048052  mov	w3, #0x20
0xfffffff00869d7f4: f10309aa  mov	x17, x9
0xfffffff00869d7f8: d17ee2f2  movk	x17, #0x13f6, lsl #48
0xfffffff00869d7fc: 11093fd7  blraa	x8, x17
0xfffffff00869d800: 6054ff90  adrp	x0, #0xfffffff007129000
0xfffffff00869d804: 00e00991  add	x0, x0, #0x278
0xfffffff00869d808: 06e6f297  bl	#0xfffffff008357020
0xfffffff00869d80c: 700240f9  ldr	x16, [x19]
0xfffffff00869d810: f10313aa  mov	x17, x19
0xfffffff00869d814: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00869d818: 301ac1da  autda	x16, x17
0xfffffff00869d81c: f10310aa  mov	x17, x16
0xfffffff00869d820: f147c1da  xpacd	x17
0xfffffff00869d824: 1f0211eb  cmp	x16, x17
0xfffffff00869d828: 40000054  b.eq	#0xfffffff00869d830
0xfffffff00869d82c: 408e38d4  brk	#0xc472
0xfffffff00869d830: 08820a91  add	x8, x16, #0x2a0
0xfffffff00869d834: 095241f9  ldr	x9, [x16, #0x2a0]
0xfffffff00869d838: e00313aa  mov	x0, x19
0xfffffff00869d83c: 01008052  mov	w1, #0
0xfffffff00869d840: f10308aa  mov	x17, x8
0xfffffff00869d844: 31abeff2  movk	x17, #0x7d59, lsl #48
0xfffffff00869d848: 31093fd7  blraa	x9, x17
0xfffffff00869d84c: 6054ff90  adrp	x0, #0xfffffff007129000
0xfffffff00869d850: 00800a91  add	x0, x0, #0x2a0
0xfffffff00869d854: f3e5f297  bl	#0xfffffff008357020
0xfffffff00869d858: 4054ffb0  adrp	x0, #0xfffffff007126000
0xfffffff00869d85c: 00f83591  add	x0, x0, #0xd7e
0xfffffff00869d860: e10313aa  mov	x1, x19
0xfffffff00869d864: f5aaf397  bl	#0xfffffff008388438
0xfffffff00869d868: 6054ff90  adrp	x0, #0xfffffff007129000
0xfffffff00869d86c: 00180b91  add	x0, x0, #0x2c6
0xfffffff00869d870: ece5f297  bl	#0xfffffff008357020
0xfffffff00869d874: 20008052  mov	w0, #1
0xfffffff00869d878: a8835df8  ldur	x8, [x29, #-0x28]
0xfffffff00869d87c: 299affd0  adrp	x9, #0xfffffff0079e3000
0xfffffff00869d880: 294547f9  ldr	x9, [x9, #0xe88]
0xfffffff00869d884: 290140f9  ldr	x9, [x9]
0xfffffff00869d888: 3f0108eb  cmp	x9, x8
0xfffffff00869d88c: c1000054  b.ne	#0xfffffff00869d8a4
0xfffffff00869d890: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff00869d894: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff00869d898: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff00869d89c: ffc30191  add	sp, sp, #0x70
0xfffffff00869d8a0: ff0f5fd6  retab	
0xfffffff00869d8a4: 6a01db97  bl	#0xfffffff007d5de4c
0xfffffff00869d8a8: 7f2303d5  pacibsp	
0xfffffff00869d8ac: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff00869d8b0: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00869d8b4: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00869d8b8: fd830091  add	x29, sp, #0x20
0xfffffff00869d8bc: f30303aa  mov	x19, x3
0xfffffff00869d8c0: f40302aa  mov	x20, x2
0xfffffff00869d8c4: f50301aa  mov	x21, x1
0xfffffff00869d8c8: f60300aa  mov	x22, x0
0xfffffff00869d8cc: 100040f9  ldr	x16, [x0]
0xfffffff00869d8d0: f10300aa  mov	x17, x0
0xfffffff00869d8d4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
