; Candidate 6186
; ADRP+ADD at VM 0xfffffff008819264 (fileoff 0x1815264): page=0x1fe9d0000 add_imm=0xe80

0xfffffff0088191e4: 63640191  add	x3, x3, #0x59
0xfffffff0088191e8: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088191ec: f90300f9  str	x25, [sp]
0xfffffff0088191f0: 804eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088191f4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088191f8: 618ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088191fc: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008819200: 02008052  mov	w2, #0
0xfffffff008819204: cb67ec97  bl	#0xfffffff008333130
0xfffffff008819208: ccfdff17  b	#0xfffffff008818938
0xfffffff00881920c: e86b0294  bl	#0xfffffff0088b41ac
0xfffffff008819210: f90300aa  mov	x25, x0
0xfffffff008819214: 80008052  mov	w0, #4
0xfffffff008819218: 8e890194  bl	#0xfffffff00887b850
0xfffffff00881921c: e80318aa  mov	x8, x24
0xfffffff008819220: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff008819224: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff008819228: e80316aa  mov	x8, x22
0xfffffff00881922c: e8d704a9  stp	x8, x21, [sp, #0x48]
0xfffffff008819230: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff008819234: a84ffff0  adrp	x8, #0xfffffff007210000
0xfffffff008819238: 08b92791  add	x8, x8, #0x9ee
0xfffffff00881923c: a9278152  mov	w9, #0x93d
0xfffffff008819240: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008819244: 2850ffd0  adrp	x8, #0xfffffff00721f000
0xfffffff008819248: 08210091  add	x8, x8, #8
0xfffffff00881924c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008819250: 880e8052  mov	w8, #0x74
0xfffffff008819254: 8351ff90  adrp	x3, #0xfffffff007249000
0xfffffff008819258: 63c00391  add	x3, x3, #0xf0
0xfffffff00881925c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008819260: f90300f9  str	x25, [sp]
0xfffffff008819264: 804eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008819268: 00003a91  add	x0, x0, #0xe80
0xfffffff00881926c: 618ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff008819270: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008819274: 02008052  mov	w2, #0
0xfffffff008819278: ae67ec97  bl	#0xfffffff008333130
0xfffffff00881927c: affdff17  b	#0xfffffff008818938
0xfffffff008819280: 601e40f9  ldr	x0, [x19, #0x38]
0xfffffff008819284: 611240f9  ldr	x1, [x19, #0x20]
0xfffffff008819288: 635a40b9  ldr	w3, [x19, #0x58]
0xfffffff00881928c: e2031aaa  mov	x2, x26
0xfffffff008819290: e4031baa  mov	x4, x27
0xfffffff008819294: eee10194  bl	#0xfffffff008891a4c
0xfffffff008819298: e0070034  cbz	w0, #0xfffffff008819394
0xfffffff00881929c: f80300aa  mov	x24, x0
0xfffffff0088192a0: 800e8052  mov	w0, #0x74
0xfffffff0088192a4: 81008052  mov	w1, #4
0xfffffff0088192a8: 4a890194  bl	#0xfffffff00887b7d0
0xfffffff0088192ac: 60b4ff34  cbz	w0, #0xfffffff008818938
0xfffffff0088192b0: 800e8052  mov	w0, #0x74
0xfffffff0088192b4: 59890194  bl	#0xfffffff00887b818
0xfffffff0088192b8: fa0300aa  mov	x26, x0
0xfffffff0088192bc: bc6b0294  bl	#0xfffffff0088b41ac
0xfffffff0088192c0: f90300aa  mov	x25, x0
0xfffffff0088192c4: 80008052  mov	w0, #4
0xfffffff0088192c8: 62890194  bl	#0xfffffff00887b850
0xfffffff0088192cc: 1a110034  cbz	w26, #0xfffffff0088194ec
0xfffffff0088192d0: e80318aa  mov	x8, x24
0xfffffff0088192d4: 695a40b9  ldr	w9, [x19, #0x58]
0xfffffff0088192d8: f7a305a9  stp	x23, x8, [sp, #0x58]
0xfffffff0088192dc: e80316aa  mov	x8, x22
0xfffffff0088192e0: e8d704a9  stp	x8, x21, [sp, #0x48]
