; Candidate 10146
; ADRP+ADD at VM 0xfffffff008cb6518 (fileoff 0x1cb2518): page=0x1fe69c000 add_imm=0xce1

0xfffffff008cb6498: d8b02a94  bl	#0xfffffff0097627f8
0xfffffff008cb649c: 14008052  mov	w20, #0
0xfffffff008cb64a0: 40010037  tbnz	w0, #0, #0xfffffff008cb64c8
0xfffffff008cb64a4: 0035ffb0  adrp	x0, #0xfffffff007357000
0xfffffff008cb64a8: 00b83491  add	x0, x0, #0xd2e
0xfffffff008cb64ac: 94578052  mov	w20, #0x2bc
0xfffffff008cb64b0: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008cb64b4: 68a27c39  ldrb	w8, [x19, #0xf28]
0xfffffff008cb64b8: e80300f9  str	x8, [sp]
0xfffffff008cb64bc: d982da97  bl	#0xfffffff008357020
0xfffffff008cb64c0: 02000014  b	#0xfffffff008cb64c8
0xfffffff008cb64c4: 14008052  mov	w20, #0
0xfffffff008cb64c8: e00314aa  mov	x0, x20
0xfffffff008cb64cc: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008cb64d0: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008cb64d4: ffc30091  add	sp, sp, #0x30
0xfffffff008cb64d8: ff0f5fd6  retab	
0xfffffff008cb64dc: 7f2303d5  pacibsp	
0xfffffff008cb64e0: ffc300d1  sub	sp, sp, #0x30
0xfffffff008cb64e4: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff008cb64e8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff008cb64ec: fd830091  add	x29, sp, #0x20
0xfffffff008cb64f0: 08847e39  ldrb	w8, [x0, #0xfa1]
0xfffffff008cb64f4: 28030034  cbz	w8, #0xfffffff008cb6558
0xfffffff008cb64f8: f40301aa  mov	x20, x1
0xfffffff008cb64fc: f30300aa  mov	x19, x0
0xfffffff008cb6500: 610000b4  cbz	x1, #0xfffffff008cb650c
0xfffffff008cb6504: 880240f9  ldr	x8, [x20]
0xfffffff008cb6508: 480100b4  cbz	x8, #0xfffffff008cb6530
0xfffffff008cb650c: 14008052  mov	w20, #0
0xfffffff008cb6510: 68f27d39  ldrb	w8, [x19, #0xf7c]
0xfffffff008cb6514: 48022036  tbz	w8, #4, #0xfffffff008cb655c
0xfffffff008cb6518: e034ff90  adrp	x0, #0xfffffff007352000
0xfffffff008cb651c: 00843391  add	x0, x0, #0xce1
0xfffffff008cb6520: 68a27c39  ldrb	w8, [x19, #0xf28]
0xfffffff008cb6524: e80300f9  str	x8, [sp]
0xfffffff008cb6528: be82da97  bl	#0xfffffff008357020
0xfffffff008cb652c: 0c000014  b	#0xfffffff008cb655c
0xfffffff008cb6530: 68f27d39  ldrb	w8, [x19, #0xf7c]
0xfffffff008cb6534: c8002036  tbz	w8, #4, #0xfffffff008cb654c
0xfffffff008cb6538: 68a27c39  ldrb	w8, [x19, #0xf28]
0xfffffff008cb653c: e80300f9  str	x8, [sp]
0xfffffff008cb6540: e034ff90  adrp	x0, #0xfffffff007352000
0xfffffff008cb6544: 00743191  add	x0, x0, #0xc5d
0xfffffff008cb6548: b682da97  bl	#0xfffffff008357020
0xfffffff008cb654c: 98492a94  bl	#0xfffffff009748bac
0xfffffff008cb6550: 800200f9  str	x0, [x20]
0xfffffff008cb6554: e00000b4  cbz	x0, #0xfffffff008cb6570
0xfffffff008cb6558: 14008052  mov	w20, #0
0xfffffff008cb655c: e00314aa  mov	x0, x20
0xfffffff008cb6560: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008cb6564: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008cb6568: ffc30091  add	sp, sp, #0x30
0xfffffff008cb656c: ff0f5fd6  retab	
0xfffffff008cb6570: 94578052  mov	w20, #0x2bc
0xfffffff008cb6574: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008cb6578: 68f27d39  ldrb	w8, [x19, #0xf7c]
0xfffffff008cb657c: 08ff2736  tbz	w8, #4, #0xfffffff008cb655c
0xfffffff008cb6580: e034ff90  adrp	x0, #0xfffffff007352000
0xfffffff008cb6584: 00a43291  add	x0, x0, #0xca9
0xfffffff008cb6588: e6ffff17  b	#0xfffffff008cb6520
0xfffffff008cb658c: 7f2303d5  pacibsp	
0xfffffff008cb6590: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff008cb6594: f44f01a9  stp	x20, x19, [sp, #0x10]
